#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-15-40
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1339763433.420354	CUvzTW1z0ezJ0BET44	192.168.109.10	1043	37.157.255.194	80	3	GET	filelae.tk	/33982.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	67852	200	OK	-	-	-	(empty)	-	-	-	-	-	F2A4YP1tsRfFJD7s	application/zip
1339763433.794991	CUvzTW1z0ezJ0BET44	192.168.109.10	1043	37.157.255.194	80	4	GET	filelae.tk	/1.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	35328	200	OK	-	-	-	(empty)	-	-	-	-	-	FZTR1Q3YuR9Ywuep24	application/x-dosexec
1339763435.530103	CilqcDEcuJI6UQbMj	192.168.109.10	1039	67.196.37.2	80	7	GET	www.danielnyc.com	/epicerie_photos/f3.jpg	http://www.danielnyc.com/epiciere.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31874	200	OK	-	-	-	(empty)	-	-	-	-	-	FnI2541HsTEmfDIlu4	image/jpeg
1339763427.576424	CrhjED33qy48UBbLgb	192.168.109.10	1030	67.196.37.2	80	5	GET	www.danielnyc.com	/tracks/koop.mp3	http://www.danielnyc.com/epiciere.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7866635	200	OK	-	-	-	(empty)	-	-	-	-	-	FFz2nU5HhZXMNLwca	binary
1339763443.124468	CniDPaIsgwWPfEVy6	192.168.109.10	1047	37.157.255.194	80	1	GET	37.157.255.194	/472395.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	49152	200	OK	-	-	-	(empty)	-	-	-	-	-	FjtwMQ2Sp8ZD9zOr9i	binary
1339763443.548422	CniDPaIsgwWPfEVy6	192.168.109.10	1047	37.157.255.194	80	2	GET	37.157.255.194	/472395.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	188928	200	OK	-	-	-	(empty)	-	-	-	-	-	FH4rDU6FKR6skNMR9	binary
1339763444.128197	CniDPaIsgwWPfEVy6	192.168.109.10	1047	37.157.255.194	80	3	GET	37.157.255.194	/472395.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	385024	200	OK	-	-	-	(empty)	-	-	-	-	-	F6SuJvH2TqeqnUQ1	binary
1339763445.001599	CniDPaIsgwWPfEVy6	192.168.109.10	1047	37.157.255.194	80	4	GET	37.157.255.194	/472395.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	122368	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg9I511IsEdEQr6Pd	binary
1339763445.436763	CniDPaIsgwWPfEVy6	192.168.109.10	1047	37.157.255.194	80	5	GET	37.157.255.194	/472395.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	167936	200	OK	-	-	-	(empty)	-	-	-	-	-	FwqyBQ1dOUBkSzcX7f	binary
1339763445.856807	CniDPaIsgwWPfEVy6	192.168.109.10	1047	37.157.255.194	80	6	GET	37.157.255.194	/472395.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	338498	200	OK	-	-	-	(empty)	-	-	-	-	-	FKVv2y4Yo6W55Hrhy7	binary
1339763447.080663	CniDPaIsgwWPfEVy6	192.168.109.10	1047	37.157.255.194	80	7	GET	37.157.255.194	/472395.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	79328	200	OK	-	-	-	(empty)	-	-	-	-	-	FcGj6WwCE3XR2tPoh	binary
1339763447.514333	CniDPaIsgwWPfEVy6	192.168.109.10	1047	37.157.255.194	80	8	GET	37.157.255.194	/472395.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	666	200	OK	-	-	-	(empty)	-	-	-	-	-	F5jjiW3jjhRclEuKl4	binary
1339763462.324605	CqCT3BD6xzok9ewz	192.168.109.10	1050	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	FrH5Jj49LUOF7pwe81	text/plain
1339763462.526358	CbMtfB3zhXKR3wdO6b	192.168.109.10	1051	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=526&c=1&d=7&s=0	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339763462.629197	Cl4F6h4T8BDtUy7kOe	192.168.109.10	1053	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=526&c=2&d=7&s=121	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339763462.964808	CwCvjx2EKYJst7fiOh	192.168.109.10	1055	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=526&c=3&d=7&s=131	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339763463.033626	Cn7HedisvnZoYvRI6	192.168.109.10	1057	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=526&c=4&d=7&s=1	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339763463.064881	Cu3vtU1D576SRmKRU3	192.168.109.10	1059	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=526&c=5&d=7&s=20	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339763463.216239	CERHah17ChfvGdin1	192.168.109.10	1061	78.140.131.157	80	1	GET	megaupload.com	/file/id=BAAyAAEA3uIAAAEFBRcAAAAAAAAAAAAAAAAAAAAjDAYOCwAAAIMbgrvhEeO2rLhwgiZvmW8AAFVVVVVVVVVVVVVVVVVVVVUTS80B9lo69tPPAABVd3Vtc219Y29lczMyaGc4Zzg4AkaTNQrd_hNvAAAAAAA0VgAA&rt=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	523	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FPZCbz39bkhdzDlPu4	text/html
1339763465.028483	CcZvk14CkIIssVy2Bd	192.168.109.10	1067	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=526&c=7&d=7&s=30	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339763465.028261	CR3DtHwUi9yCEdGy8	192.168.109.10	1065	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=526&c=6&d=7&s=21	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339763465.061063	CzCunn3JyYEJ6cFILl	192.168.109.10	1069	184.172.204.122	80	1	GET	livecounter.co	/count.php?id=526&c=8&d=7&s=31	-	Opera/9 (Windows NT 5.1; US; x86)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1339763464.017161	CsPWLy3uCc986IY9Cj	192.168.109.10	1062	116.255.235.9	80	1	GET	116.255.235.9	/api/urls/?ts=5c54f209&affid=56300	-	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	0	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-11-15-40
