#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-55-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338403893.413225	CMgaUH3HQZpFsux6wi	192.168.110.10	1032	217.111.179.113	80	4	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/detection/detect_config.js	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	355	200	OK	-	-	-	(empty)	-	-	-	-	-	FMnPOA1iClJe7SPw9b	text/plain
1338403893.611431	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	10	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/detection/detect_blacklist_maee.js	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	217	200	OK	-	-	-	(empty)	-	-	-	-	-	FAIaS22wPeqR30q76c	text/plain
1338403893.814279	CMgaUH3HQZpFsux6wi	192.168.110.10	1032	217.111.179.113	80	5	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/detection/detect_whitelist_maee.js	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	672	200	OK	-	-	-	(empty)	-	-	-	-	-	F36TUc42d4xNf1BXIh	text/plain
1338403894.017226	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	11	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/detection/browser_detect.js	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4874	200	OK	-	-	-	(empty)	-	-	-	-	-	FtdF124aerUOMaUuKd	text/plain
1338403894.222838	CMgaUH3HQZpFsux6wi	192.168.110.10	1032	217.111.179.113	80	6	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/detection/system_detect_common.js	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2394	200	OK	-	-	-	(empty)	-	-	-	-	-	F4wkvb4Q0Ij8UdzUe	text/plain
1338403894.425552	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	12	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/detection/system_detect_applet.js	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6723	200	OK	-	-	-	(empty)	-	-	-	-	-	FsXvl64QUhCuXqGICe	text/plain
1338403894.685432	CMgaUH3HQZpFsux6wi	192.168.110.10	1032	217.111.179.113	80	7	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/applet_detect.html	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect.html?siteLanguage=fr	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	863	200	OK	-	-	-	(empty)	-	-	-	-	-	FyfxFo48Nimfw8IeO3	application/xml
1338403894.685862	CyjrmC4vZGDJERyhdf	192.168.110.10	1031	217.111.179.113	80	13	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/themes/maee/images/footer_stretch.jpg	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1213	200	OK	-	-	-	(empty)	-	-	-	-	-	F5wDc24Z4jA0kxekS9	image/jpeg
1338403894.87346	CMgaUH3HQZpFsux6wi	192.168.110.10	1032	217.111.179.113	80	8	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/resources/js/deployJava.js	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/applet_detect.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13523	200	OK	-	-	-	(empty)	-	-	-	-	-	Fd6ytt2JQGzckQlFh9	text/plain
1338403895.703281	CGnnDP2vSeHBibqkCk	192.168.110.10	1037	137.254.16.66	80	1	GET	java.com	/inc/dtoolkit.xml	-	deployHelper	0	5747	200	OK	-	-	-	(empty)	-	-	-	-	-	Fw40is1Dnsd77IBJWj	application/xml
1338403895.840422	Cvcgjy22JpjW0tSe2h	192.168.110.10	1038	192.9.162.55	80	1	GET	java.sun.com	/webapps/download/AutoDL?BundleId=63698	-	deployHelper	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1338403895.897976	CxnxLs3gXnD52UVzOd	192.168.110.10	1039	137.254.16.64	80	1	GET	javadl.sun.com	/webapps/download/AutoDL?BundleId=63698	-	deployHelper	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1338403895.959475	CJ5nn14hMq2zCWxPVc	192.168.110.10	1040	198.87.51.18	80	1	GET	sdlc-esd.sun.com	/ESD6/JSCDL/jdk/7u4-b22/jre-7u4-windows-i586-iftw.exe?AuthParam=1338403899_d07d64d1c0af901e3416b45b7ba52806&GroupName=JSC&FilePath=/ESD6/JSCDL/jdk/7u4-b22/jre-7u4-windows-i586-iftw.exe&File=jre-7u4-windows-i586-iftw.exe&BHost=javadl.sun.com	-	deployHelper	0	892360	200	OK	-	-	-	(empty)	-	-	-	-	-	FfBvj71DwwBiw0Sang	application/x-dosexec
1338403896.271438	CnwA8m4kODmbsWdrp3	192.168.110.10	1041	199.7.59.190	80	1	GET	crl.verisign.com	/pca3.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	898	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk7eE13a0McHOPxe83	binary
1338403896.434639	C9MRwH1fwDAjym7wx1	192.168.110.10	1042	199.7.59.190	80	1	GET	csc3-2009-2-crl.verisign.com	/CSC3-2009-2.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	36233	200	OK	-	-	-	(empty)	-	-	-	-	-	FUJwp21UX2KsFmQf3c	binary
1338403955.137967	CtYKaX1Jw7v5yiIQfa	192.168.110.10	1043	217.111.179.113	80	1	GET	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/themes/default/images/global/critical.png	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	909	200	OK	-	-	-	(empty)	-	-	-	-	-	FW4z5X1FnaPZzlhCS7	image/png
1338403955.147766	CjLyTdEj7vhHLrgB5	192.168.110.10	1044	217.111.179.113	80	1	POST	monvotesecurise.votezaletranger.gouv.fr	/testconfiguration/detectjvm-callback.html?_lt=1338418236203&white=false&black=true&gray=false&javaProperties=&cause=JAVA_VERSION	http://monvotesecurise.votezaletranger.gouv.fr/testconfiguration/browser_detect_inner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-09-55-34
