#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1346414487.801329	C2pgYv4J8g0o5zO1Ri	192.168.74.10	1050	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=2&digits=10&siteId=751	-	Opera/9 (Windows NT 5.1; US; x86)	0	2198	200	OK	-	-	-	(empty)	-	-	-	-	-	FOTVwo1CfStsxDdM4j	image/jpeg
1346414487.895593	C0uYb64SJuBEdRyG46	192.168.74.10	1052	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=3&digits=10&siteId=760	-	Opera/9 (Windows NT 5.1; US; x86)	0	2165	200	OK	-	-	-	(empty)	-	-	-	-	-	FrpJ28FGXNoBFkHu5	image/jpeg
1346414487.913361	CIeriz4R76bmyAhkfi	192.168.74.10	1054	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=4&digits=10&siteId=761	-	Opera/9 (Windows NT 5.1; US; x86)	0	2108	200	OK	-	-	-	(empty)	-	-	-	-	-	FY4FMf15MYkqe7bpd9	image/jpeg
1346414487.970162	C1DvNNshZNhwqYYk6	192.168.74.10	1056	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=5&digits=10&siteId=631	-	Opera/9 (Windows NT 5.1; US; x86)	0	1717	200	OK	-	-	-	(empty)	-	-	-	-	-	FlSLA34XY4GPJIHkK1	image/jpeg
1346414487.970303	Cjc1fl3RJkMZZSLZld	192.168.74.10	1058	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=6&digits=10&siteId=650	-	Opera/9 (Windows NT 5.1; US; x86)	0	1744	200	OK	-	-	-	(empty)	-	-	-	-	-	F4oPLU2JU14cWAOYOa	image/jpeg
1346414488.430032	CM7pzh2n9MGc0rmRHj	192.168.74.10	1065	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=8&digits=10&siteId=660	-	Opera/9 (Windows NT 5.1; US; x86)	0	1513	200	OK	-	-	-	(empty)	-	-	-	-	-	F97hmj4xdJMCrNZyJ3	image/jpeg
1346414488.429893	CoZDtz12buC50et7na	192.168.74.10	1063	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=7&digits=10&siteId=651	-	Opera/9 (Windows NT 5.1; US; x86)	0	1508	200	OK	-	-	-	(empty)	-	-	-	-	-	F16QVlelZ3FFvrSR1	image/jpeg
1346414488.567625	CwJ66F1a60S7magyha	192.168.74.10	1067	213.108.252.185	80	1	GET	bigfatcounters.com	/5699017-3C912481A04E584CDF231C519E1DF857/counter.img?theme=9&digits=10&siteId=661	-	Opera/9 (Windows NT 5.1; US; x86)	0	1962	200	OK	-	-	-	(empty)	-	-	-	-	-	FlBphz3BUASAYWhdA4	image/jpeg
1346414488.300772	CftPRt2jt0yURK41D2	192.168.74.10	1060	175.41.28.156	80	1	GET	175.41.28.156	/api/urls/?ts=5cf02b4c&affid=56300	-	(empty)	0	0	404	NOT FOUND	-	-	-	(empty)	-	-	-	-	-	-	-
1346414504.979208	CnMDu61ju28LXARku1	192.168.74.10	1077	78.140.131.158	80	1	GET	megaupload.com	/file/id=BgBgAAEAKSIBAAEFCAAAAAAAAAAAAAAAAAAAAABrDAgeCwAAAPpZYWrhEWLzrLhwgiZvmW-dpUBQAABVVVVVVVVVVVVVVVVVVVVVkYfNAbpBJ6QpIgEAVXd1bXNtfWNvZXMzMmhnOGc4OAJGkzUK3f4TbwAAAAAAATRW&rt=AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	523	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FutNKZdWnEVdL7dvb	text/html
#close	2014-04-03-10-30-48
