#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-58-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1364342249.629772	CuSfqv1mqAiPMCDsFa	192.168.68.10	1030	109.206.178.78	80	1	GET	suck-x.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1364342249.868933	CNlXuS3rPIU0K91bM8	192.168.68.10	1031	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/?8cf05e8e3bf7cf9cbbe32100472005f8=x9	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1716	200	OK	-	-	-	(empty)	-	-	-	-	-	FdB3nN2VV0098B8zc6	text/html
1364342250.232112	C397YG362zI3TPNip2	192.168.68.10	1032	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/534f33f7729cf0fd87c3a46eea43342c.eot	http://emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info/?8cf05e8e3bf7cf9cbbe32100472005f8=x9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4201	200	OK	-	-	-	(empty)	-	-	-	-	-	FVmLoCVGfwZAUhCDh	application/vnd.ms-fontobject
1364342250.583381	C3ikWh3vdZU7vpTly	192.168.68.10	1033	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/0954484a01268adb9ecb480b7ca77049.swf	http://emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info/?8cf05e8e3bf7cf9cbbe32100472005f8=x9	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FYc5yPYkiUfCU82xe	text/html
1364342250.895207	CJMlU63MU2v3dyh9Fe	192.168.68.10	1035	65.49.23.2	80	1	GET	65.49.23.2	/?b2a8294d75916a4a3e4d63e27df09c2c	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	FIbkiM2SfU6dCvCqce	application/x-dosexec
1364342253.496106	CDsOmzoEZUX5lnYnh	192.168.68.10	1037	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/9d9568881bcca96b945cb77167d67e6e/7ae5f9036674668bc5f34dada46fc119.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3294	200	OK	-	-	-	(empty)	-	-	-	-	-	Fndmlf3pYFshFjjYl2	application/zip
1364342253.498681	CLD266Ztps393gBaf	192.168.68.10	1036	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/cdefd474cc0ced5f4c3fe5066821ab59.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9983	200	OK	-	-	-	(empty)	-	-	-	-	-	FEjNQj1Arm467T7rO7	application/jar
1364342253.975366	C5QOKQ1J7Vblq1FpWh	192.168.68.10	1038	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/cdefd474cc0ced5f4c3fe5066821ab59.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9983	200	OK	-	-	-	(empty)	-	-	-	-	-	FYnsPCe8XItt8SJ14	application/jar
1364342254.187449	C2GusF4wOyJgqvLLr6	192.168.68.10	1043	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/9d9568881bcca96b945cb77167d67e6e/7ae5f9036674668bc5f34dada46fc119.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3294	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu88e83HAMnTT7SnDg	application/zip
1364342254.41664	CMSHtb4lzCYYgIULd4	192.168.68.10	1044	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/cdefd474cc0ced5f4c3fe5066821ab59.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9983	200	OK	-	-	-	(empty)	-	-	-	-	-	FYvGR12rNIOIAslD6j	application/jar
1364342254.639934	C6C6fU20m74MjWNEI3	192.168.68.10	1045	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	55808	200	OK	-	-	-	(empty)	-	-	-	-	-	FRay5v1OXtxnlau6w3	binary
1364342255.15081	CMEbLq20fCOVNNEnk1	192.168.68.10	1046	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	130560	200	OK	-	-	-	(empty)	-	-	-	-	-	F6JtDI1s1ryrymYdok	binary
1364342256.161663	CFFiHW2zRd63G1XPN1	192.168.68.10	1047	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FopVFCDCOefuDJvOe	text/html
1364342256.324027	CJ2iPp3oZqoxL9CXx9	192.168.68.10	1048	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FI7P704CGppY4QXMP9	text/html
1364342256.453362	CtP1Kw3J2kJl78ep4a	192.168.68.10	1049	65.49.23.2	80	1	GET	emergency.microsoft.security.software.update.patch.bwxr.7yebatek.info	/b4a91eccebbc70f02f3087875d90c90c/4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FAh5193tNeklgn4uef	text/html
#close	2014-04-03-10-58-07
