#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-43-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1364415228.538437	CfoAPx2zA1kpl4vkCg	192.168.108.10	1030	96.45.82.4	80	1	GET	charleyfoundation.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1364415228.656693	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	1	GET	www.charleyfoundation.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13412	200	OK	-	-	-	(empty)	-	-	-	-	-	FrWhGm200a4WwLdj23	text/html
1364415228.714424	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	2	GET	www.charleyfoundation.org	/templates/default/style.css	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5033	200	OK	-	-	-	(empty)	-	-	-	-	-	FcJ3tWgCqpvklRoA2	text/plain
1364415228.73419	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	1	GET	www.charleyfoundation.org	/lightbox/css/lightbox.css	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1640	200	OK	-	-	-	(empty)	-	-	-	-	-	FlYto52dC4AosyIwkf	text/plain
1364415228.739629	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	3	GET	www.charleyfoundation.org	/includes/calendar/calendarDateInput.js	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32172	200	OK	-	-	-	(empty)	-	-	-	-	-	FwA8Q83QBM7LINWOb4	text/html
1364415228.827797	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	2	GET	www.charleyfoundation.org	/javascript/jquery.js	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55774	200	OK	-	-	-	(empty)	-	-	-	-	-	FoJ2Lh2wd70eqWGZi9	text/plain
1364415229.078586	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	4	GET	www.charleyfoundation.org	/javascript/bujax.js	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1586	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Zwla34HrOqMito46	text/plain
1364415229.113643	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	3	GET	www.charleyfoundation.org	/javascript/liv.php	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	510	200	OK	-	-	-	(empty)	-	-	-	-	-	FBgQWe4Lrl2td8v592	text/html
1364415229.237566	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	5	GET	www.charleyfoundation.org	/javascript/swfobject.js	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9759	200	OK	-	-	-	(empty)	-	-	-	-	-	FLoE0okP93H4dNw78	text/plain
1364415229.274405	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	4	GET	www.charleyfoundation.org	/templates/default/images/bkg.jpg	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	75559	200	OK	-	-	-	(empty)	-	-	-	-	-	FyctuX3J8Fq3UzWIN4	image/jpeg
1364415229.38583	CGIwZp2SrHEiyHJAc	192.168.108.10	1033	176.31.50.187	81	1	GET	thehorserunsleft.com	/forum/late.php	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30322	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ5Rlb2Ly7dEu45NWc	text/html
1364415229.574829	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	6	GET	www.charleyfoundation.org	/javascript/flowplayer.js	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15815	200	OK	-	-	-	(empty)	-	-	-	-	-	F1NIbB3ouIQaeVOuA8	text/plain
1364415229.46307	C8IPdO3fuLRsWRfU61	192.168.108.10	1034	88.212.196.69	80	1	GET	counter.yadro.ru	/hit?t50.6;rhttp://www.charleyfoundation.org/;s800*600*24;uhttp://www.charleyfoundation.org/javascript/liv.php;0.7531387082527	http://www.charleyfoundation.org/javascript/liv.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	704	403	Forbidden	-	-	-	(empty)	-	-	-	-	-	FN7X8D3wp7FX7RuQPj	text/html
1364415229.808598	CXUXL44GETPIlDLeD7	192.168.108.10	1035	64.4.52.169	80	1	POST	activex.microsoft.com	/objects/ocget.dll	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	44	13	404	Not Found	-	-	-	(empty)	-	-	-	FBdMpV10Wb0NnaOTnb	text/plain	FG28GU3Vji3m16wFU2	text/plain
1364415230.290443	Cw4fzj19ghXWV7Mlp7	192.168.108.10	1032	50.17.234.240	80	5	GET	www.charleyfoundation.org	/templates/default/images/spacer.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpb3ng2U88hV1rHSNa	image/gif
1364415230.291123	CywIqms7CUH1xKUPc	192.168.108.10	1031	50.17.234.240	80	7	GET	www.charleyfoundation.org	/templates/default/images/nav_home.gif	http://www.charleyfoundation.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2198	200	OK	-	-	-	(empty)	-	-	-	-	-	FYN8ok2BUZxF2FUmwh	image/gif
