#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-42-06
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1329016981.232498	Ct0JCY2ogXJzmdGad7	192.168.42.10	1031	186.50.95.161	80	1	GET	8a77.abroadwasted.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1329016982.054502	CHOaLm4Iiho9DbaWDa	192.168.42.10	1032	199.30.91.102	80	1	GET	jumptoinformer.com	/stats/counter.php?id=3eb83ef603bca04a	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	110246	200	OK	-	-	-	(empty)	-	-	-	-	-	FwItNhQdPEvETTqz7	text/html
1329016996.006675	CHOaLm4Iiho9DbaWDa	192.168.42.10	1032	199.30.91.102	80	2	GET	jumptoinformer.com	/stats/loading_animation.gif	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5895	200	OK	-	-	-	(empty)	-	-	-	-	-	FnZj5g36nkTpyncL6f	image/gif
1329016996.339196	CnVaQF3n8WbKjE2UZ7	192.168.42.10	1037	95.215.0.153	8000	1	GET	95.215.0.153	/stats/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42496	200	OK	-	-	-	(empty)	-	-	-	-	-	FNl97uLBlgfTmBoD1	application/x-dosexec
1329016998.217916	CiclEe4li8xnETiI1i	192.168.42.10	1038	199.30.91.102	80	1	GET	jumptoinformer.com	/stats/content/field.swf	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1552	200	OK	-	-	-	(empty)	-	-	-	-	-	FPJQAzqsFVumuQR7l	application/x-shockwave-flash
1329016997.119455	CHOaLm4Iiho9DbaWDa	192.168.42.10	1032	199.30.91.102	80	3	GET	jumptoinformer.com	/stats/content/fdp2.php?f=19	http://jumptoinformer.com/stats/counter.php?id=3eb83ef603bca04a	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96776	200	OK	-	-	-	(empty)	-	-	-	-	-	F42Jss1o5Yw4XEA5u5	application/pdf
1329017000.624421	CNVqNp1AjXdYs0Q6Ci	192.168.42.10	1041	98.192.61.115	80	1	POST	downtraff.ru	/and/image.php	-	Mozilla/4.0	66	78	200	OK	-	-	-	(empty)	-	-	-	F4Y5G62DQijLAvDgmd	text/plain	FFSsSx92olrGfvz6e	binary
1329017001.01985	C8t3yQYmm9nEwWB7g	192.168.42.10	1043	98.192.61.115	80	1	GET	downtraff.ru	/sol.exe	-	Mozilla/4.0	0	446464	200	OK	-	-	-	(empty)	-	-	-	-	-	FbT6uy3skqWtuAuGo3	application/x-dosexec
1329017004.384949	CYgPL9LSgxWxsTeud	192.168.42.10	1045	98.192.61.115	80	1	POST	downtraff.ru	/and/image.php	-	Mozilla/4.0	46	0	200	OK	-	-	-	(empty)	-	-	-	FjpCkp3hoe6bQUAM6e	text/plain	-	-
1329017004.825564	CkflMU2mc66l6JZ6V	192.168.42.10	1047	67.210.244.40	80	1	GET	spenergy.com.co	/888.exe	-	Mozilla/4.0	0	27136	200	OK	-	-	-	(empty)	-	-	-	-	-	F37ngy4NC7LrhKGh9d	application/x-dosexec
1329017004.89596	CM2P5p31QxuhV7hpO3	192.168.42.10	1049	98.192.61.115	80	1	POST	downtraff.ru	/and/image.php	-	Mozilla/4.0	46	0	200	OK	-	-	-	(empty)	-	-	-	FPed7G3217FNRWbWHj	text/plain	-	-
