#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-20-08
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322196433.399057	CKSj0zZ9hNaxHudWb	192.168.18.10	1030	95.168.165.225	80	1	GET	lolpix.asia	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FCsieM2gvn3pXlOuAl	text/html
1322196433.536986	CnQ5ig3MFcT9CeZi28	192.168.18.10	1031	69.4.230.25	80	1	GET	backupmp2.in	/?site=26	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1322196433.932398	CaebmQ1RsQCH73BZb7	192.168.18.10	1032	109.123.116.51	80	1	GET	googleads4.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FdFVPE1wXC8tsrJ46l	text/html
1322196434.161528	CrlVWC4zeVCmisPMuh	192.168.18.10	1036	109.123.116.51	80	1	GET	googleads4.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	182	302	Found	-	-	-	(empty)	-	-	-	-	-	Fby5my3czaAiv7tpcd	text/html
1322196434.337034	CHA9Pr4cT5boWqmew2	192.168.18.10	1037	69.4.230.25	80	1	GET	backupmp1.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	152	200	OK	-	-	-	(empty)	-	-	-	-	-	FoO2hgDirmXLNt6hh	text/html
1322196436.617743	ClbJZu218fdJmVQmR8	192.168.18.10	1042	69.4.230.25	80	1	GET	backupmp1.in	/?ab9e118ea6e898651e466f2626b6e8ef	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3990	200	OK	-	-	-	(empty)	-	-	-	-	-	FdY04b3hxJ0xAjUZUd	application/jar
1322196436.681894	CqGBNI1aGy0qwqaW29	192.168.18.10	1043	69.4.230.25	80	1	GET	backupmp1.in	/?ab9e118ea6e898651e466f2626b6e8ef	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3990	200	OK	-	-	-	(empty)	-	-	-	-	-	FR5LtXZtSdFJEVCS6	application/jar
1322196436.815708	CePs8t1DOZhXc8WKtg	192.168.18.10	1044	69.4.230.25	80	1	GET	backupmp1.in	/?ab9e118ea6e898651e466f2626b6e8ef	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3990	200	OK	-	-	-	(empty)	-	-	-	-	-	FLc5UI3sTd9nHBu1xb	application/jar
1322196436.929028	Ct056t2kk6GBELFs81	192.168.18.10	1045	69.4.230.25	80	1	GET	backupmp1.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FxT7Tu3Yjd9L8ijgm8	text/html
1322196436.971297	CVOF9XVkVOIXsfmRi	192.168.18.10	1046	69.4.230.25	80	1	GET	backupmp1.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FOorjv29EIObgn4ktj	text/html
1322196437.02753	Cu1Jd94QhZtFZDxZmi	192.168.18.10	1047	69.4.230.25	80	1	GET	backupmp1.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FHjznD2fJzvLo0M0Y8	text/html
1322196437.066951	CmmGWk4HmQMuBO09i	192.168.18.10	1048	69.4.230.25	80	1	GET	backupmp1.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	286	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FJPyOgbepRy8yj0B7	text/html
1322196437.214749	CPMic41FAuhJpPyE4f	192.168.18.10	1049	69.4.230.25	80	1	GET	backupmp2.in	/?9b9939fea6729456fda48478004d7afe	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	456704	200	OK	-	-	-	(empty)	-	-	-	-	-	FarkoD248kAqwVswdl	application/x-dosexec
#close	2014-04-03-10-20-09
