#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-23
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1345033601.876111	Cdv4Gi2gJeIOAaFjf2	192.168.97.10	1035	62.149.128.163	80	1	GET	scuolaartedanza.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	239	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FJ4XDE4gFqst2nau34	text/html
1345033602.250168	Cq6PEb2CYOzyL0Dts1	192.168.97.10	1036	62.149.140.83	80	1	GET	www.scuolaartedanza.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34778	200	OK	-	-	-	(empty)	-	-	-	-	-	FI7WIW3Mv2UA3MHU63	text/html
1345033602.971836	CO2CK82QREDrK2KwC3	192.168.97.10	1037	62.149.140.83	80	1	GET	www.scuolaartedanza.net	/wp-content/themes/twentyten/style.css	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22817	200	OK	-	-	-	(empty)	-	-	-	-	-	FNgXQ1204Y7bwgEgl7	text/plain
1345033603.482304	CO2CK82QREDrK2KwC3	192.168.97.10	1037	62.149.140.83	80	2	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/06/sofy.-150x150.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7821	200	OK	-	-	-	(empty)	-	-	-	-	-	FSTxND1MakV3xl51ok	image/jpeg
1345033603.63581	CO2CK82QREDrK2KwC3	192.168.97.10	1037	62.149.140.83	80	3	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/06/advanced-150x150.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11555	200	OK	-	-	-	(empty)	-	-	-	-	-	FQyzAfRVYsgJj9a26	image/jpeg
1345033603.480423	Cq6PEb2CYOzyL0Dts1	192.168.97.10	1036	62.149.140.83	80	2	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/08/cropped-0227.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42806	200	OK	-	-	-	(empty)	-	-	-	-	-	F7KYmgKIOTuPhkeLl	image/jpeg
1345033603.750998	CS596W17GTKXc0KUd1	192.168.97.10	1040	195.210.96.4	80	1	GET	codice.shinystat.com	/cgi-bin/getcod.cgi?USER=scuolaartedanza	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2829	200	OK	-	-	-	(empty)	-	-	-	-	-	FgtLjK2f9MR6YTNRz2	text/plain
1345033603.774191	CO2CK82QREDrK2KwC3	192.168.97.10	1037	62.149.140.83	80	4	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/06/advanced1-150x150.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11555	200	OK	-	-	-	(empty)	-	-	-	-	-	F5f0h71cZQlGBAgIbb	image/jpeg
1345033603.865634	Cq6PEb2CYOzyL0Dts1	192.168.97.10	1036	62.149.140.83	80	3	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/06/lara..-287x300.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28992	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa08qc3IkfyB9vlX28	image/jpeg
1345033604.052258	CAaRJW1n2Cx7NJLPv4	192.168.97.10	1041	195.210.96.23	80	1	GET	s4.shinystat.com	/cgi-bin/shinystat.cgi?USER=scuolaartedanza&REFER=&COLOR=24&SIZE=800&VUT=-1&NUT=y&JS=Y&VJS=4011	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	767	200	OK	-	-	-	(empty)	-	-	-	-	-	FjzaO14GTysUbqD8bh	image/png
1345033603.934934	CO2CK82QREDrK2KwC3	192.168.97.10	1037	62.149.140.83	80	5	GET	www.scuolaartedanza.net	/wp-content/uploads/2012/05/DSCF4009-300x225.jpg	http://www.scuolaartedanza.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23761	200	OK	-	-	-	(empty)	-	-	-	-	-	FNWHHR36gjacQylJKi	image/jpeg
