#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-53-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1341364565.468405	CFHxP6ylPHla6LKU2	192.168.58.10	1030	50.116.97.139	80	1	GET	designprestashop.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1341364565.854377	ClR4Yc14JnVZmupmu	192.168.58.10	1031	50.116.97.139	80	1	GET	www.designprestashop.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	22752	200	OK	-	-	-	(empty)	-	-	-	-	-	Ftr6Si2cn24DcJPim8	text/html
1341364566.224418	ClR4Yc14JnVZmupmu	192.168.58.10	1031	50.116.97.139	80	2	GET	www.designprestashop.com	/wp-content/uploads/swift_custom/custom-style.css	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2971	200	OK	-	-	-	(empty)	-	-	-	-	-	FeVYbp1YEN0zIOkv99	text/plain
1341364566.205221	CMTB7S1NLChmOL05m9	192.168.58.10	1032	50.116.97.139	80	1	GET	www.designprestashop.com	/wp-content/themes/SWIFT-v5.74/style.css	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31444	200	OK	-	-	-	(empty)	-	-	-	-	-	FvFV3a3hDiDPjJDZY1	text/plain
1341364566.291103	ClR4Yc14JnVZmupmu	192.168.58.10	1031	50.116.97.139	80	3	GET	www.designprestashop.com	/wp-includes/js/l10n.js?ver=20101110	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	FSVQkJ1jJadWqGJUP9	text/plain
1341364566.60302	CMTB7S1NLChmOL05m9	192.168.58.10	1032	50.116.97.139	80	2	GET	www.designprestashop.com	/wp-includes/js/jquery/jquery.js?ver=1.6.1	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91363	200	OK	-	-	-	(empty)	-	-	-	-	-	FfuCTv11DQzgnUDXd	text/html
1341364567.114381	ClR4Yc14JnVZmupmu	192.168.58.10	1031	50.116.97.139	80	4	GET	www.designprestashop.com	/wp-content/uploads/swift_custom/swift-js-functions.js	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	17023	200	OK	-	-	-	(empty)	-	-	-	-	-	FihuHYGBRwydVu9M8	text/plain
1341364567.241021	CMTB7S1NLChmOL05m9	192.168.58.10	1032	50.116.97.139	80	3	GET	www.designprestashop.com	/wp-content/themes/SWIFT-v5.74/images/default.jpg	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7762	200	OK	-	-	-	(empty)	-	-	-	-	-	FjzY212GFf8jSbbIoj	image/png
1341364567.305254	CAT59Nys2k2a2hFD	192.168.58.10	1034	173.194.79.118	80	1	GET	feeds.feedburner.com	/~fc/?bg=006699&fg=FFFFFF&anim=0	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1804	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FMS0nfIa0a5qZvVL4	text/html
1341364567.284283	ClR4Yc14JnVZmupmu	192.168.58.10	1031	50.116.97.139	80	5	GET	www.designprestashop.com	/wp-includes/js/jquery/ui.core.js?ver=1.8.12	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4326	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff96n03HeyELaIF2Ff	text/plain
1341364567.382391	ClR4Yc14JnVZmupmu	192.168.58.10	1031	50.116.97.139	80	6	GET	www.designprestashop.com	/wp-content/themes/SWIFT-v5.74/images/search.png	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	304	200	OK	-	-	-	(empty)	-	-	-	-	-	FSINdf1Q5NZeCKde8g	image/png
1341364567.370816	CMTB7S1NLChmOL05m9	192.168.58.10	1032	50.116.97.139	80	4	GET	www.designprestashop.com	/wp-content/themes/SWIFT-v5.74/images/sprites.png	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55642	200	OK	-	-	-	(empty)	-	-	-	-	-	F5ElPL37yqKJTft2I4	image/png
1341364567.822179	ClR4Yc14JnVZmupmu	192.168.58.10	1031	50.116.97.139	80	7	GET	www.designprestashop.com	/wp-includes/js/jquery/ui.widget.js?ver=1.8.12	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3274	200	OK	-	-	-	(empty)	-	-	-	-	-	FPnX4z4wYonrk0lxKc	text/plain
1341364567.91984	CMTB7S1NLChmOL05m9	192.168.58.10	1032	50.116.97.139	80	5	GET	www.designprestashop.com	/wp-includes/js/jquery/ui.tabs.js?ver=1.8.12	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11632	200	OK	-	-	-	(empty)	-	-	-	-	-	FGrt4D1W1BHLzNcto8	text/html
1341364568.238847	C2Vhwb1vzdEAiQzuo6	192.168.58.10	1039	178.33.88.93	80	1	GET	authentication.myvnc.com	/index.php	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	143	200	OK	-	-	-	(empty)	-	-	-	-	-	FbONTO3PedWTdP8t6e	text/html
1341364568.392165	C2Vhwb1vzdEAiQzuo6	192.168.58.10	1039	178.33.88.93	80	2	GET	authentication.myvnc.com	/cool.js	http://authentication.myvnc.com/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1360	200	OK	-	-	-	(empty)	-	-	-	-	-	FvQhr41cGdWeu1Kkhh	text/plain
1341364568.585833	C2Vhwb1vzdEAiQzuo6	192.168.58.10	1039	178.33.88.93	80	3	GET	authentication.myvnc.com	/variables.php	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	270	200	OK	-	-	-	(empty)	-	-	-	-	-	F3xFb31wVOcHX4NbGa	text/html
1341364568.3033	C5qpbLL2hqA9S1Os9	192.168.58.10	1040	80.86.87.250	80	1	GET	eggthemes.com	/media/cache/theme/image/delizza/Layout_PizzaStore_01_Home_sliceR500x0D500x650.jpg?1339571728048	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	77628	200	OK	-	-	-	(empty)	-	-	-	-	-	FNfiHIqgbNz9TEGrj	image/jpeg
1341364569.174983	CSRfGfCtEa3FC7SC3	192.168.58.10	1041	83.69.226.189	80	1	GET	auth-validation.redirectme.net	/main.php?page=39dd1d441474f0da	http://authentication.myvnc.com/variables.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	84375	200	OK	-	-	-	(empty)	-	-	-	-	-	FI7htM1vL8A7obH438	text/html
1341364576.09718	CSRfGfCtEa3FC7SC3	192.168.58.10	1041	83.69.226.189	80	2	GET	auth-validation.redirectme.net	/w.php?f=a52dc&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	452216	200	OK	-	-	-	(empty)	-	-	-	-	-	FvNEWt4tQDl8d4X9Ca	application/x-dosexec
1341364578.414032	CSRfGfCtEa3FC7SC3	192.168.58.10	1041	83.69.226.189	80	3	GET	auth-validation.redirectme.net	/w.php?f=e7f66&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	73728	200	OK	-	-	-	(empty)	-	-	-	-	-	Folt0jIEVcCfECQI2	application/x-dosexec
1341364579.119758	CSRfGfCtEa3FC7SC3	192.168.58.10	1041	83.69.226.189	80	4	GET	auth-validation.redirectme.net	/data/ap2.php	http://auth-validation.redirectme.net/main.php?page=39dd1d441474f0da	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25025	200	OK	-	-	-	(empty)	-	-	-	-	-	FCNVJz4XU5avWDqFU	application/pdf
1341364579.439826	CcIcNl1SOlLbPjbbf1	192.168.58.10	1042	83.69.226.189	80	1	GET	auth-validation.redirectme.net	/data/field.swf	http://www.designprestashop.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1008	200	OK	-	-	-	(empty)	-	-	-	-	-	FEY6pY1h0c4f2px64a	application/x-shockwave-flash
1341364603.814231	C908o02LmyTiy2YiR8	192.168.58.10	1043	83.69.226.189	80	1	GET	auth-validation.redirectme.net	/Ktu.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	61326	200	OK	-	-	-	(empty)	-	-	-	-	-	FT6s8G46r13bffzSi7	application/zip
1341364606.002392	CYQpp5hEKDYuX1ZM5	192.168.58.10	1044	83.69.226.189	80	1	GET	auth-validation.redirectme.net	/w.php?f=a52dc&e=0	-	Java/1.6.0_10	0	452216	200	OK	-	-	-	(empty)	-	-	-	-	-	F97KcQ3iXZYqcphFYd	application/x-dosexec
1341364608.695098	CYQpp5hEKDYuX1ZM5	192.168.58.10	1044	83.69.226.189	80	2	GET	auth-validation.redirectme.net	/w.php?f=e7f66&e=0	-	Java/1.6.0_10	0	73728	200	OK	-	-	-	(empty)	-	-	-	-	-	FLC3WG3UPLSptHemh9	application/x-dosexec
#close	2014-04-03-09-53-49
