#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-36-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1356126856.368742	CsAjb22g2029izxgLc	192.168.83.10	1030	95.168.177.51	80	1	GET	bestspornvideo.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1356126856.816429	CHr4eg2zuntoqTlvCb	192.168.83.10	1031	188.165.24.210	80	1	GET	pdqjy.d24alentomiaxxx.info	/?a4da448c5eebcd70d02a61712e96d62c=23&02634727b92efab364ae7aa07583bf51=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	539	200	OK	-	-	-	(empty)	-	-	-	-	-	F2Zmka2Ij6jbK9BMGf	text/html
1356126857.111928	C2iLDU1Wn35U1h7gci	192.168.83.10	1032	188.165.24.210	80	1	GET	pdqjy.d24alentomiaxxx.info	/e8b9bdff6483a475d9349595773bcabb.eot	http://pdqjy.d24alentomiaxxx.info/?a4da448c5eebcd70d02a61712e96d62c=23&02634727b92efab364ae7aa07583bf51=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4191	200	OK	-	-	-	(empty)	-	-	-	-	-	FmX5sG4Ddoizrb2FH1	application/vnd.ms-fontobject
1356126858.472415	CJNW37157ce3lCicug	192.168.83.10	1034	188.165.24.210	80	1	GET	188.165.24.210	/?5703ce69c99438089a26a044866b37c2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	99840	200	OK	-	-	-	(empty)	-	-	-	-	-	FB2W8d20zgmndPG73k	application/x-dosexec
1356126860.778723	C7lBZlWGzvOwg6Yyk	192.168.83.10	1039	188.165.24.210	80	1	GET	pdqjy.d24alentomiaxxx.info	/6bf55a2cc544ccd501f8eb12c5913a00/af9138893e47186e3ab39536ebb527ae.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	FwYlys4C09u9ef6X89	application/jar
1356126861.059445	CUH5JnzcCC7s5j4g	192.168.83.10	1040	188.165.24.210	80	1	GET	pdqjy.d24alentomiaxxx.info	/6bf55a2cc544ccd501f8eb12c5913a00/af9138893e47186e3ab39536ebb527ae.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	FBv7nW2XhiWcOtFY3b	application/jar
1356126861.448062	CHcZqx1WGEWbZkfJue	192.168.83.10	1041	188.165.24.210	80	1	GET	pdqjy.d24alentomiaxxx.info	/6bf55a2cc544ccd501f8eb12c5913a00/af9138893e47186e3ab39536ebb527ae.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9045	200	OK	-	-	-	(empty)	-	-	-	-	-	FaRTt82X3HKI04mCn	application/jar
1356126861.759317	CeHeGj1BtxpOpHi8bg	192.168.83.10	1042	188.165.24.210	80	1	GET	pdqjy.d24alentomiaxxx.info	/6bf55a2cc544ccd501f8eb12c5913a00/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	99840	200	OK	-	-	-	(empty)	-	-	-	-	-	F2u79q4FzD9W8owBKc	binary
1356126864.647708	CbAcImUAZJlH7atZj	192.168.83.10	1046	199.71.234.210	80	1	GET	ighklplong.funnycar.info	/get.php?id=10	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FN7TSz2KTjyzMpo3ub	text/html
1356126864.671993	C8Pwrb1PkyPsOA0Tyl	192.168.83.10	1045	188.165.24.210	80	1	GET	pdqjy.d24alentomiaxxx.info	/6bf55a2cc544ccd501f8eb12c5913a00/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	74752	200	OK	-	-	-	(empty)	-	-	-	-	-	FA6iws36ZoVrpJeVCe	binary
1356126867.306517	C3QC111EAMVueGNq1c	192.168.83.10	1050	199.71.234.210	80	1	GET	ighklplong.funnycar.info	/get.php?id=10	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FrHBt13eP2y9vWGbO	text/html
