#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-54-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314948756.176213	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	10	GET	www.cfcare.org	/images/img_index_gi3.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20531	200	OK	-	-	-	(empty)	-	-	-	-	-	F7LOQj2HqfmskGiaNf	image/jpeg
1314948756.590737	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	14	GET	www.cfcare.org	/stylesheets/images/vidInfo_bkg.png	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	109	200	OK	-	-	-	(empty)	-	-	-	-	-	FMp8Lk1fa2sSpBTWCd	image/png
1314948756.590191	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	11	GET	www.cfcare.org	/stylesheets/images/vidGallery_bkg.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2705	200	OK	-	-	-	(empty)	-	-	-	-	-	FOFqPm28ISOUjs2k38	image/jpeg
1314948756.590522	CJK1ID1d5Z8LdEBKFk	192.168.2.10	1034	199.59.149.200	80	1	GET	api.twitter.com	/1/trends/daily.json?callback=jsonp1314963034750&_=1314963036296	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42721	200	OK	-	-	-	(empty)	-	-	-	-	-	F1vfKy19HqY2MiRjuh	text/plain
1314948756.64865	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	15	GET	www.cfcare.org	/stylesheets/images/giBox_bkg.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1829	200	OK	-	-	-	(empty)	-	-	-	-	-	F9k9sI33XR4FCbs7H4	image/jpeg
1314948756.648973	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	12	GET	www.cfcare.org	/stylesheets/images/nav1.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2436	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb3uB81TJxm3sfHwbb	image/jpeg
1314948756.720547	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	16	GET	www.cfcare.org	/stylesheets/images/nav2.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4022	200	OK	-	-	-	(empty)	-	-	-	-	-	FgCiv81LOJwDKHwXr3	image/jpeg
1314948756.731903	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	13	GET	www.cfcare.org	/stylesheets/images/bkg_dropdown.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4445	200	OK	-	-	-	(empty)	-	-	-	-	-	FMb0Vk40K5Qjawk7g8	image/jpeg
1314948756.772227	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	17	GET	www.cfcare.org	/stylesheets/images/nav3.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4032	200	OK	-	-	-	(empty)	-	-	-	-	-	F37ByW3MkEc5Mxyyah	image/jpeg
1314948756.773682	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	14	GET	www.cfcare.org	/stylesheets/images/nav4.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4890	200	OK	-	-	-	(empty)	-	-	-	-	-	F62e384LoI0C8iwoui	image/jpeg
1314948756.81903	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	18	GET	www.cfcare.org	/stylesheets/images/nav5.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4949	200	OK	-	-	-	(empty)	-	-	-	-	-	FPygba4qVAfMAWHi96	image/jpeg
1314948756.819359	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	15	GET	www.cfcare.org	/stylesheets/images/nav6.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7999	200	OK	-	-	-	(empty)	-	-	-	-	-	FdpIYY3tpK9clmWYWa	image/jpeg
1314948756.87372	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	19	GET	www.cfcare.org	/stylesheets/images/nav7.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2889	200	OK	-	-	-	(empty)	-	-	-	-	-	FIgXxs246eyQSh0rD4	image/jpeg
1314948756.880609	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	16	GET	www.cfcare.org	/stylesheets/images/news_tape_top.png	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3544	200	OK	-	-	-	(empty)	-	-	-	-	-	FkiBMh18vm6ZpBJn0l	image/png
1314948756.915639	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	20	GET	www.cfcare.org	/stylesheets/images/news_tape_bottom.png	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3193	200	OK	-	-	-	(empty)	-	-	-	-	-	Fke3882DeynIBy5rIa	image/png
1314948756.934629	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	17	GET	www.cfcare.org	/stylesheets/images/slidecontrols.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	636	200	OK	-	-	-	(empty)	-	-	-	-	-	FIGWXF1HZLiEeEUv6i	image/jpeg
1314948756.965237	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	21	GET	www.cfcare.org	/stylesheets/images/slideNumbers.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1752	200	OK	-	-	-	(empty)	-	-	-	-	-	FaiGsM2r1UNDAH5Z1j	image/jpeg
1314948757.007742	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	22	GET	www.cfcare.org	/images/homeslides/2.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	364821	200	OK	-	-	-	(empty)	-	-	-	-	-	FAE0yt49CJtOxO7sHb	image/jpeg
1314948756.973493	CXcX2S14EijwwbrFN	192.168.2.10	1032	208.109.174.38	80	18	GET	www.cfcare.org	/images/homeslides/1.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	501691	200	OK	-	-	-	(empty)	-	-	-	-	-	FFR1fLjP9VAzc5rQk	image/jpeg
