#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-54-15
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314948773.618535	C4ojIV29JSO1DEu4Oh	192.168.2.10	1039	208.109.174.38	80	7	GET	www.cfcare.org	/images/homeslides/2.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1314948772.851655	CyhR9d1pIqCZDfpRC1	192.168.2.10	1058	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/w.php?f=26&e=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	61952	200	OK	-	-	-	(empty)	-	-	-	-	-	FyIRTO5AckbPkK284	application/x-dosexec
1314948774.161553	C4ojIV29JSO1DEu4Oh	192.168.2.10	1039	208.109.174.38	80	8	GET	www.cfcare.org	/images/homeslides/3.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	304	Not Modified	-	-	-	(empty)	-	-	-	-	-	-	-
1314948773.525553	CfJkXL2VFCrvb7EY8h	192.168.2.10	1031	208.109.174.38	80	29	GET	www.cfcare.org	/images/homeslides/1.jpg	http://www.cfcare.org/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1314948779.522845	CF72cL2SmF6gptR40h	192.168.2.10	1050	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/content/worms.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4962	200	OK	-	-	-	(empty)	-	-	-	-	-	FEGZbC2bmjnc28rog5	application/zip
1314948779.523163	CXWxVp2qedREHlnJgi	192.168.2.10	1052	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	F1avdk4v2HtEAXLdZ5	application/x-java-applet
1314948779.521459	CjDfwT15C9Yb9iTfL	192.168.2.10	1051	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	Ft5A3p4w1fxEX6DLX7	application/x-java-applet
1314948779.530217	Cr6J3C1pObrjXCmQd3	192.168.2.10	1054	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	FJBsOI1JmkOuZmgvl	application/x-java-applet
1314948779.525156	CByE5r36ykNmhEcbdk	192.168.2.10	1056	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	FGXanj2Olb7FDy3dzi	application/x-java-applet
1314948779.523783	Cj1ab92XhoQELljhf2	192.168.2.10	1055	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	FJTW411RfEqFBX7ui5	application/x-java-applet
1314948779.523453	Cbnll63ITw2Z8sVTql	192.168.2.10	1053	95.163.66.188	80	1	GET	1604534972	/RAW.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6063	200	OK	-	-	-	(empty)	-	-	-	-	-	FVOvVU4p019sjEftf	application/x-java-applet
1314948780.680897	CI4OTz24dBsnl9DuJk	192.168.2.10	1061	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/w.php?f=26&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	61952	200	OK	-	-	-	(empty)	-	-	-	-	-	FHyB692l290K7uCkJ2	application/x-dosexec
1314948780.961674	C6d4Wt1HZbgkC5ka1	192.168.2.10	1062	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/w.php?f=26&e=1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	61952	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy8VBo4x4tXxu3VIf	application/x-dosexec
1314948780.965538	CuwcEX2Alf1IF11aLh	192.168.2.10	1063	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/w.php?f=26&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	61952	200	OK	-	-	-	(empty)	-	-	-	-	-	F8konp1OSqUPlAvmye	application/x-dosexec
1314948781.385627	CcVvq22LFmp1O89xs5	192.168.2.10	1064	67.210.105.156	80	1	GET	gdedkxwgbvf.com	/w.php?f=26&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	61952	200	OK	-	-	-	(empty)	-	-	-	-	-	FNhAFi3nWoq9Y9aBg1	application/x-dosexec
1314948783.811291	CmC1xW3LLdfgfknTDb	192.168.2.10	1066	95.163.66.188	80	1	OPTIONS	95.163.66.188	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	166	405	Not Allowed	-	-	-	(empty)	-	-	-	-	-	FvcwPN2uV3ccT8Pqu9	text/html
1314948783.517148	CAKPwT2ysNmugEoDca	192.168.2.10	1065	93.147.34.100	80	1	POST	dioweihgsg3.com	/search?fr=altavista&itag=ody&q=50J6ILTA6F3HDKKcNU3B,d5fa8ff57ad763fe&kgs=1&kls=0&p=1000	-	-	8	0	200	OK	-	-	-	(empty)	-	-	-	FNkyyr1JAXXLSQAE0f	text/plain	-	-
1314948771.078968	CLgN3n10TuqgnU25yj	192.168.2.10	1057	93.147.34.100	80	1	POST	dioweihgsg3.com	/search?fr=altavista&itag=ody&q=50J6ILTA6F3HDKKcNU3B,d5fa8ff57ad763fe&kgs=1&kls=0	-	-	451	500736	200	OK	-	-	-	(empty)	-	-	-	FEoNFa4bfeZ0m8QxR1	text/plain	FI6xjm2kPIZ98hz9j	binary
#close	2014-04-03-09-54-16
