#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-51-10
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323852950.0866	CBzj2t4p0366XP5Cy6	192.168.80.10	1030	213.186.33.19	80	1	GET	flash-forward.fr	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1323852952.532063	CR7B4SzOVKc4X8IAg	192.168.80.10	1031	213.186.33.19	80	1	GET	www.flash-forward.fr	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34274	200	OK	-	-	-	(empty)	-	-	-	-	-	FziHfx2UREYKE6FNbj	text/html
1323852955.342452	CR7B4SzOVKc4X8IAg	192.168.80.10	1031	213.186.33.19	80	2	GET	www.flash-forward.fr	/wp-content/themes/church_40/style.css	http://www.flash-forward.fr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26985	200	OK	-	-	-	(empty)	-	-	-	-	-	Fvb0SO245SFNpmuKwc	text/plain
1323852955.745537	CZTFNo2v69iBrQf7r9	192.168.80.10	1038	74.125.47.100	80	1	GET	www.google-analytics.com	/ga.js	http://www.flash-forward.fr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32614	200	OK	-	-	-	(empty)	-	-	-	-	-	F5QD7Z1uwwssb4lKW7	text/plain
1323852955.87312	CZTFNo2v69iBrQf7r9	192.168.80.10	1038	74.125.47.100	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.2&utms=1&utmn=2047448531&utmhn=www.flash-forward.fr&utmcs=utf-8&utmsr=800x600&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=FlashForward site web de la s\xc3\xa9rie TV Flash-Forward actuellement diffus\xc3\xa9e sur TF1 et ABC&utmhid=899771100&utmr=-&utmp=/&utmac=UA-17150100-4&utmcc=__utma=136080870.1531701292.1323867237.1323867237.1323867237.1;+__utmz=136080870.1323867237.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.flash-forward.fr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	F7qbe94tpyC98Uni6j	image/gif
1323852955.847166	Cwrnc5416fMUzzmCij	192.168.80.10	1037	213.186.33.19	80	1	GET	www.flash-forward.fr	/wp-content/plugins/nextgen-gallery/css/nggallery.css?ver=1.0.0	http://www.flash-forward.fr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7106	200	OK	-	-	-	(empty)	-	-	-	-	-	FiEBJf4sJfA3HHFtn4	text/plain
1323852955.490809	CbJFfv14vqF6I23Ncg	192.168.80.10	1036	88.198.50.138	80	1	GET	country.renardresources.com	/main.php?page=951b13d1f2ca138f	http://www.flash-forward.fr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	92350	200	OK	-	-	-	(empty)	-	-	-	-	-	Fruuj24WjzYyivUO9	text/html
1323852955.701793	CR7B4SzOVKc4X8IAg	192.168.80.10	1031	213.186.33.19	80	3	GET	www.flash-forward.fr	/wp-content/themes/church_40/images/fond.jpg	http://www.flash-forward.fr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	172694	200	OK	-	-	-	(empty)	-	-	-	-	-	F5DaPL1DxWL4axleFi	image/jpeg
1323852956.163963	Cwrnc5416fMUzzmCij	192.168.80.10	1037	213.186.33.19	80	2	GET	www.flash-forward.fr	/wp-content/plugins/nextgen-gallery/shutter/shutter-reloaded.css?ver=1.3.0	http://www.flash-forward.fr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1595	200	OK	-	-	-	(empty)	-	-	-	-	-	FY0wXB2EXqJogcoJL4	text/plain
1323852956.372129	CR7B4SzOVKc4X8IAg	192.168.80.10	1031	213.186.33.19	80	4	GET	www.flash-forward.fr	/wp-content/plugins/sexybookmarks/spritegen/shr-custom-sprite.css?ver=3.3.2	http://www.flash-forward.fr/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3203	200	OK	-	-	-	(empty)	-	-	-	-	-	FFF4GeVjdQ3HlsEyk	text/plain
1323852961.804428	CbJFfv14vqF6I23Ncg	192.168.80.10	1036	88.198.50.138	80	2	GET	country.renardresources.com	/w.php?f=78&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	203264	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkhilk4r8RF7HwqgUk	application/x-dosexec
