#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-53-21
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328638727.690404	C07i6MbXDxLqz5YUa	192.168.85.10	1051	78.159.105.120	80	1	GET	abcfunny.info	/?bc3534d1461b24923f163658dc7389fa	-	-	0	221696	200	OK	-	-	-	(empty)	-	-	-	-	-	FGzVQa3Jhvmfttepxg	application/x-dosexec
1328638728.561894	CTz7nnNEVh42tavRh	192.168.85.10	1053	78.159.105.120	80	1	GET	abcfunny.info	/?bc3534d1461b24923f163658dc7389fa	-	-	0	221696	200	OK	-	-	-	(empty)	-	-	-	-	-	FAXzq43NRD2P6eNHPf	application/x-dosexec
1328638731.000706	ComBzr2Hb4pVg1cKO6	192.168.85.10	1057	208.91.207.10	80	1	GET	promos.fling.com	/geo/txt/city.php	-	-	0	28	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm1eP82g7QbkPzZJH3	text/plain
1328638731.188733	CE25doSqrtSmIEzTa	192.168.85.10	1058	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=1	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	FJ1DOa2ROaANLc01Jc	text/html
1328638731.369981	C3SsvNTY5bYaXrnv5	192.168.85.10	1060	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=19	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	FVO291a8ZYh2Ypfe1	text/html
1328638732.470274	CfG7Dr3WQ2D27RDKvi	192.168.85.10	1064	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=4	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	Fw1Etx1whgAHTNZlDi	text/html
1328638732.470519	Cbcp2EOQQNqqDuug6	192.168.85.10	1068	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=6	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	FMoKQ645U2y1ArteT6	text/html
1328638732.470125	CgoiFo2HCCXQt8752k	192.168.85.10	1062	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=21	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	FUiOfs3kYtXAv56RP	text/html
1328638732.4704	CwIKxxFFgLVaA5b9a	192.168.85.10	1066	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=5	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	Fi8hcU1hGdXe3TZqth	text/html
1328638732.470757	CMpTQg3vMd164TPrDi	192.168.85.10	1072	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=8	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	FkR2tW3n2fTW9duLV6	text/html
1328638732.470641	CP3eoz2ob7nlD0s8Uj	192.168.85.10	1070	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=7	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	FOsIIV1jVMiODHu7di	text/html
1328638732.470874	CpkTAlUhMu2E76Hma	192.168.85.10	1074	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=23	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	F6C09immWfpm3RIFe	text/html
1328638732.47099	CYNm0Qjwov6MGD336	192.168.85.10	1076	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=24	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	FBiKWk2nm9QaxJj003	text/html
1328638732.471105	CZkyB84K0en6bfx5Pb	192.168.85.10	1078	178.32.190.142	80	1	GET	tlxjbcve.cn	/stat2.php?w=30336&i=000000000000000000000000c82bd0e3&a=25	-	Opera/6 (Windows NT 5.1; US; LangID=409; x86)	0	326	503	Service Unavailable	-	-	-	(empty)	-	-	-	-	-	Fc9NvXbySjeXIlZzk	text/html
