#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-02-10
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1382395856.957138	Cvl1BBWab9d8QJPl7	192.168.22.10	1036	199.71.234.194	80	1	GET	swftrackingstats.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1382395857.157777	CYP4uQ1wuV8Lm9CPI4	192.168.22.10	1037	76.73.48.170	80	1	GET	yzbnu.rizzuti2gunderson.us	/O5U1th0J7k/w0Td_Oe07/YJs08coX-0204_O03dfC0/GxAY0wQ_oB0HS_Pl05-3pX15HMR-0xbcP_/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1382395857.229221	CYP4uQ1wuV8Lm9CPI4	192.168.22.10	1037	76.73.48.170	80	2	GET	yzbnu.rizzuti2gunderson.us	/cb5r/7d0T8c/L14b_TW09JGr0R2T_j0IA/3s/0jKNn_0XXN_O0DsdW_0m7NB0T5bs_0L58V0xh9u/0haJ-P0UJdJ1_4Omj0g7/k1_0EIjJ0VK/qP-04-2Hi/092a_N0_Gd/fY136UD0/QrP/E0mtRc10/xF60/dmKB/0B7av1_4N1I0-sFmt05YCx0_WSv-h073Yh-01JhV-0Er-SI0Cf/Zd0/ZlM_b0W6N-R0BvdX0_euRN0CmIu0_MpSb/0jlbV-0Ci8Q0cOgQ1-1c2/r0o/cBp0pDCe_0yKZt1/7u6T-/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	32932	200	OK	-	-	-	(empty)	-	-	-	-	-	FGOZxb2JXrYhuQl6dh	text/html
1382395857.369805	CYP4uQ1wuV8Lm9CPI4	192.168.22.10	1037	76.73.48.170	80	3	GET	yzbnu.rizzuti2gunderson.us	/cb5r/7d0T8c/L14b_TW09JGr0R2T_j0IA/3s/0jKNn_0XXN_O0DsdW_0m7NB0T5bs_0L58V0xh9u/0haJ-P0UJdJ1_4Omj0g7/k1_0EIjJ0VK/qP-04-2Hi/092a_N0_Gd/fY136UD0/QrP/E0mtRc10/xF60/dmKB/0B7av1_4N1I0-sFmt05YCx0_WSv-h073Yh-01JhV-0Er-SI0Cf/Zd0/ZlM_b0W6N-R0BvdX0_euRN0CmIu0_MpSb/0jlbV-0Ci8Q0cOgQ1-1c2/r0o/cBp0pDCe_0yKZt1/7u6T-/dvuyrrvd.html	http://yzbnu.rizzuti2gunderson.us/cb5r/7d0T8c/L14b_TW09JGr0R2T_j0IA/3s/0jKNn_0XXN_O0DsdW_0m7NB0T5bs_0L58V0xh9u/0haJ-P0UJdJ1_4Omj0g7/k1_0EIjJ0VK/qP-04-2Hi/092a_N0_Gd/fY136UD0/QrP/E0mtRc10/xF60/dmKB/0B7av1_4N1I0-sFmt05YCx0_WSv-h073Yh-01JhV-0Er-SI0Cf/Zd0/ZlM_b0W6N-R0BvdX0_euRN0CmIu0_MpSb/0jlbV-0Ci8Q0cOgQ1-1c2/r0o/cBp0pDCe_0yKZt1/7u6T-/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4128	200	OK	-	-	-	(empty)	-	-	-	-	-	FPQcJo1AapVZKfyJZ4	text/html
1382395857.481057	CYP4uQ1wuV8Lm9CPI4	192.168.22.10	1037	76.73.48.170	80	4	GET	yzbnu.rizzuti2gunderson.us	/favicon.ico	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
1382395857.570808	CYP4uQ1wuV8Lm9CPI4	192.168.22.10	1037	76.73.48.170	80	5	GET	yzbnu.rizzuti2gunderson.us	/cb5r/7d0T8c/L14b_TW09JGr0R2T_j0IA/3s/0jKNn_0XXN_O0DsdW_0m7NB0T5bs_0L58V0xh9u/0haJ-P0UJdJ1_4Omj0g7/k1_0EIjJ0VK/qP-04-2Hi/092a_N0_Gd/fY136UD0/QrP/E0mtRc10/xF60/dmKB/0B7av1_4N1I0-sFmt05YCx0_WSv-h073Yh-01JhV-0Er-SI0Cf/Zd0/ZlM_b0W6N-R0BvdX0_euRN0CmIu0_MpSb/0jlbV-0Ci8Q0cOgQ1-1c2/r0o/cBp0pDCe_0yKZt1/7u6T-/jorg.html	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2686	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs85Vr1j06Y5y8YPQb	text/html
1382395860.146657	CbxBk7CxGf5aflkbj	192.168.22.10	1038	76.73.48.170	80	1	GET	yzbnu.rizzuti2gunderson.us	/cb5r/7d0T8c/L14b_TW09JGr0R2T_j0IA/3s/0jKNn_0XXN_O0DsdW_0m7NB0T5bs_0L58V0xh9u/0haJ-P0UJdJ1_4Omj0g7/k1_0EIjJ0VK/qP-04-2Hi/092a_N0_Gd/fY136UD0/QrP/E0mtRc10/xF60/dmKB/0B7av1_4N1I0-sFmt05YCx0_WSv-h073Yh-01JhV-0Er-SI0Cf/Zd0/ZlM_b0W6N-R0BvdX0_euRN0CmIu0_MpSb/0jlbV-0Ci8Q0cOgQ1-1c2/r0o/cBp0pDCe_0yKZt1/7u6T-/SuxUmaME.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	15447	200	OK	-	-	-	(empty)	-	-	-	-	-	FXnplY28KeicZCadWa	application/zip
1382395860.346547	CbxBk7CxGf5aflkbj	192.168.22.10	1038	76.73.48.170	80	2	GET	yzbnu.rizzuti2gunderson.us	/cb5r/7d0T8c/L14b_TW09JGr0R2T_j0IA/3s/0jKNn_0XXN_O0DsdW_0m7NB0T5bs_0L58V0xh9u/0haJ-P0UJdJ1_4Omj0g7/k1_0EIjJ0VK/qP-04-2Hi/092a_N0_Gd/fY136UD0/QrP/E0mtRc10/xF60/dmKB/0B7av1_4N1I0-sFmt05YCx0_WSv-h073Yh-01JhV-0Er-SI0Cf/Zd0/ZlM_b0W6N-R0BvdX0_euRN0CmIu0_MpSb/0jlbV-0Ci8Q0cOgQ1-1c2/r0o/cBp0pDCe_0yKZt1/7u6T-/SuxUmaME.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	15446	200	OK	-	-	-	(empty)	-	-	-	-	-	FURWuH3BIztGstVji	application/zip
1382395860.68479	CbxBk7CxGf5aflkbj	192.168.22.10	1038	76.73.48.170	80	3	GET	yzbnu.rizzuti2gunderson.us	/cb5r/7d0T8c/L14b_TW09JGr0R2T_j0IA/3s/0jKNn_0XXN_O0DsdW_0m7NB0T5bs_0L58V0xh9u/0haJ-P0UJdJ1_4Omj0g7/k1_0EIjJ0VK/qP-04-2Hi/092a_N0_Gd/fY136UD0/QrP/E0mtRc10/xF60/dmKB/0B7av1_4N1I0-sFmt05YCx0_WSv-h073Yh-01JhV-0Er-SI0Cf/Zd0/ZlM_b0W6N-R0BvdX0_euRN0CmIu0_MpSb/0jlbV-0Ci8Q0cOgQ1-1c2/r0o/cBp0pDCe_0yKZt1/7u6T-/SuxUmaME.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	15446	200	OK	-	-	-	(empty)	-	-	-	-	-	FlHGzd4flAdAjwFC12	application/zip
1382395860.871884	CYP4uQ1wuV8Lm9CPI4	192.168.22.10	1037	76.73.48.170	80	6	GET	yzbnu.rizzuti2gunderson.us	/favicon.ico	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
1382395861.089052	CbxBk7CxGf5aflkbj	192.168.22.10	1038	76.73.48.170	80	4	GET	yzbnu.rizzuti2gunderson.us	/rmxYY8/16x2J0L-JAJ0HJR/202_u7p_0XppM_0H7-jx0_0RyH_0OF8-L0p_JCw0XH_OF16PVC0_RO2_J03E/op0r_D740_7ktZ_0K3_bc0e_M0E0HuP_r0O/MjB-00i-vK0m2pM1/1OMc0U_Zdy02_9XO11Wa-00/doD_R12gV-n0lFj/b0CJ9G0-v9MG05r/1c0/gN0j0Ju-2i09/SeM0iA_AM-0bbl_f0LA-ZF0/kqfp/16HA_g0CB_hQ0tn_4J0/cTKC0e/HD1/0GcpS0N_bc-j01yAq0-Xw/EG0l/hXJ0TCo90_k2GR0q-aoG/XoZ3s52LJ5.exe?ymtvc2fJo2yvLn96Z51=92c95&h=11	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	76288	200	OK	-	-	-	(empty)	-	-	-	-	-	FG2jha4W8MYhITeP7f	application/x-dosexec
