#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-30-45
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1364596460.260569	CXyRFu4iEichKuFWfa	192.168.53.10	1030	173.214.253.85	80	1	GET	free-mp-3downloads.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1364596460.495194	CwVktFHua9vqoACue	192.168.53.10	1031	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/?cf6b0e6ab45683ad5b0b47a835d3bd72=c15&94e627cb004ec30b66bcaad0610360a0=free-mp-3downloads.net	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1679	200	OK	-	-	-	(empty)	-	-	-	-	-	FvwwsH2QcUKLdg1lS5	text/html
1364596460.644096	CHkscB4PcjQkfr7Efi	192.168.53.10	1032	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/4e7c638829b0a0a1e4713a1b4bd87f9c.eot	http://critical.browser.software.security.patch.update.tzzgb.3davendo.info/?cf6b0e6ab45683ad5b0b47a835d3bd72=c15&94e627cb004ec30b66bcaad0610360a0=free-mp-3downloads.net	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4199	200	OK	-	-	-	(empty)	-	-	-	-	-	F8TRFA2mqaTYCms6W4	application/vnd.ms-fontobject
1364596460.909314	Ck9AJt2OyxCa6fgAX	192.168.53.10	1033	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/a83e83b2bb778049d9cf70f088ec71db/4bbfa1d6d1122336da188de2b1d64e64.swf	http://critical.browser.software.security.patch.update.tzzgb.3davendo.info/?cf6b0e6ab45683ad5b0b47a835d3bd72=c15&94e627cb004ec30b66bcaad0610	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fp2NAMeNVNXz7zC64	text/html
1364596461.297668	CfaTPC1oDh8oNdD8He	192.168.53.10	1035	65.49.23.4	80	1	GET	65.49.23.4	/?bf3ef5f6e705f0f7a3d490bcbabe4fc8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	117760	200	OK	-	-	-	(empty)	-	-	-	-	-	FLStLh1MY1iWq9hpV7	application/x-dosexec
1364596465.547911	CAiLPInYvzTyAKOK	192.168.53.10	1040	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/06ca08b6dd4d073f3098f65e50bbde99/561cc88a253f807d1eb5ae97e016bf94.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3504	200	OK	-	-	-	(empty)	-	-	-	-	-	F52bNK8cv1hATfJIh	application/zip
1364596465.556956	CbLIyF1iQpLkTVwuui	192.168.53.10	1041	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/a83e83b2bb778049d9cf70f088ec71db/df8575743b867cdd882d10c07c03beb6.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9812	200	OK	-	-	-	(empty)	-	-	-	-	-	FdR5wXJmul1Bkhylc	application/jar
1364596465.707989	CuRfzq2BkxJjwxU1z	192.168.53.10	1042	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/06ca08b6dd4d073f3098f65e50bbde99/561cc88a253f807d1eb5ae97e016bf94.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3504	200	OK	-	-	-	(empty)	-	-	-	-	-	FfO6va4IdWTJ38xXx5	application/zip
1364596465.72151	CH72Zy1s82VIuF4nEi	192.168.53.10	1043	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/a83e83b2bb778049d9cf70f088ec71db/df8575743b867cdd882d10c07c03beb6.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9812	200	OK	-	-	-	(empty)	-	-	-	-	-	FlOZGA2eL0ObsDZdlc	application/jar
1364596467.689762	CAIryx2mNmhF2utIce	192.168.53.10	1044	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/a83e83b2bb778049d9cf70f088ec71db/df8575743b867cdd882d10c07c03beb6.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9812	200	OK	-	-	-	(empty)	-	-	-	-	-	FC2XPy2VtWZBSz1BUj	application/jar
1364596468.057462	CNIoVv4jb7xGfIN0ya	192.168.53.10	1045	65.49.23.4	80	1	GET	critical.browser.software.security.patch.update.tzzgb.3davendo.info	/a83e83b2bb778049d9cf70f088ec71db/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	117760	200	OK	-	-	-	(empty)	-	-	-	-	-	FNVZ0F4NWHKZJQcXli	binary
