#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-05-25
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327637186.166106	CMbYMD3wFKbeHq8zn6	192.168.31.10	1030	208.64.123.45	80	1	GET	0e3eschc1uz5y2.l91.me	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	178	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FefndF4BcrWYQ4Z3S4	text/html
1327637186.374135	CHpPrq3qXoK5V3MKX2	192.168.31.10	1031	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/d/traf2.com	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1748	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FQgG3hO5xgtD0SEj6	text/html
1327637186.478417	CHeXsS38q1lUZpQUya	192.168.31.10	1032	209.17.74.150	80	1	GET	i35.tinypic.com	/n4ts0p.png	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	97370	200	OK	-	-	-	(empty)	-	-	-	-	-	FBVv5X2cyQItxlZBKi	image/png
1327637187.043875	CpnJZw2A521qu3wIH1	192.168.31.10	1033	64.34.154.74	80	1	GET	i.d2f3.com	/oops/index.php?e9cb9458b4b97866bf6dfbbc558dfc77	http://fasttrackonlinesurveys.com/d/traf2.com	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43951	200	OK	-	-	-	(empty)	-	-	-	-	-	FtBfp73uPQIZDhO0al	text/html
1327637188.771229	CbFcf944l9YPQ1jQxi	192.168.31.10	1034	64.34.154.74	80	1	GET	i.d2f3.com	/oops/server_privileges.php?dd6fbea61d7367a4b2ce79086ce1519e=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	267776	200	OK	-	-	-	(empty)	-	-	-	-	-	FGfOCB3bAReUc6KQt9	application/x-dosexec
1327637191.029009	CTOElrK8fkqsEfE7b	192.168.31.10	1040	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FEizSg4cfKAEWSIAa8	application/jar
1327637191.032609	CfhW142OhEUBEzU2Fl	192.168.31.10	1041	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/r/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2909	200	OK	-	-	-	(empty)	-	-	-	-	-	FzYyGt1AWNlWFay0Tc	application/jar
1327637191.034915	C9r5uc1cEFyyWJU82k	192.168.31.10	1039	64.34.154.74	80	1	GET	fasttrackonlinesurveys.com	/Java.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2755	200	OK	-	-	-	(empty)	-	-	-	-	-	FiwHuzc8AMG3e6izc	application/zip
1327637191.049858	CWM0Mea0cmmOLe1Lc	192.168.31.10	1042	65.39.172.126	80	1	GET	network.stripthere.com	/mars/iLog.php?dl=5.9&log=Loader: 507^BB	-	IE7.0	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1327637191.225793	CkUvw61eB6hGDYxmee	192.168.31.10	1044	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FmOCTpEfxllzqYd6i	application/jar
1327637191.812305	C4BD0y1NZBIXvKYBrd	192.168.31.10	1045	64.34.154.74	80	1	GET	i.d2f3.com	/oops/images/a03cb4b8e5bb148134a57a2c87ddacd9.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5380	200	OK	-	-	-	(empty)	-	-	-	-	-	FaOvKC4bUEzzBtDbtk	application/jar
