#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-58-10
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323196481.986529	CUg7V11Ci0ZtYLUoKa	192.168.61.10	1030	109.236.82.78	80	1	GET	tempdom7-2.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F5gzk14spNok2lVwZj	text/html
1323196482.186929	COpuJ9jzhJaJAdX55	192.168.61.10	1031	109.236.82.79	80	1	GET	softportal8.in	/?site=7	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	156	200	OK	-	-	-	(empty)	-	-	-	-	-	FJTkBP3h5L4p2zEC7j	text/html
1323196483.999638	CwuVLv36V39W2zMj1c	192.168.61.10	1036	109.236.82.79	80	1	GET	softportal8.in	/?74b0998069fa9345946a1ed0fdb64ce3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3995	200	OK	-	-	-	(empty)	-	-	-	-	-	FA25uA1bpyR6CLdr22	application/jar
1323196484.239619	CakCsz49r0yyZtp1Bg	192.168.61.10	1037	109.236.82.79	80	1	GET	softportal8.in	/?74b0998069fa9345946a1ed0fdb64ce3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3995	200	OK	-	-	-	(empty)	-	-	-	-	-	FQm9CI2JNC45vEIuc	application/jar
1323196484.523286	C8HKrj3mn0DFaxzQBb	192.168.61.10	1038	109.236.82.79	80	1	GET	softportal8.in	/?74b0998069fa9345946a1ed0fdb64ce3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3995	200	OK	-	-	-	(empty)	-	-	-	-	-	FVwl6oDapJEuX8O43	application/jar
1323196486.097982	C44Jrr4mwjCKqWBp8a	192.168.61.10	1039	109.236.82.79	80	1	GET	softportal8.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fjyk6e5DpJn4KSD4l	text/html
1323196486.300398	C8ZVa4LfcGyavxA94	192.168.61.10	1040	109.236.82.79	80	1	GET	softportal8.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FBkN4gympqDhUw6jc	text/html
1323196486.508251	CUE8eh1ra7jrdjJS3	192.168.61.10	1041	109.236.82.79	80	1	GET	softportal8.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fejt6ZPJ0WBGwRlnf	text/html
1323196486.743824	CYujX82y9oFF7ylW46	192.168.61.10	1042	109.236.82.79	80	1	GET	softportal8.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FcoDVH3iTteCvytpYf	text/html
1323196487.085612	CCqRpWkNojvbhLRMf	192.168.61.10	1043	109.236.82.79	80	1	GET	softportal8.in	/?cfdc362231c7710cf7b3e315022a47ae	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	845312	200	OK	-	-	-	(empty)	-	-	-	-	-	FQoepD2swIXtINCknl	application/x-dosexec
1323196490.549084	CEc1Ay3xSpIzZslPJk	192.168.61.10	1044	64.202.163.8	80	1	GET	getmilfs.com	/logo/go.php?id=95	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	F0xNVU3PIYL3Y8z7Q	text/plain
1323196491.985446	CMfz4q2f4CKy6nXNJg	192.168.61.10	1045	72.167.207.74	80	1	GET	oneathleticmom.com	/images/b.php?id=95	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
1323196551.997738	CVbtUp4I1p6w0EGh6a	192.168.61.10	1046	194.54.81.21	80	1	GET	malware4download.com	/404.php?id=95	-	Mozilla	0	253	200	OK	-	-	-	(empty)	-	-	-	-	-	FFBWMi1NfqtjR8Prvd	text/plain
#close	2014-04-03-10-58-11
