#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-19-29
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319670142.261061	CF3Usm4SWO0zJE6mVg	192.168.41.10	1030	69.65.9.55	80	1	GET	csrahomesales.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1319670142.466431	CBQ3Za3h2OgaSeij2i	192.168.41.10	1031	64.120.163.149	80	1	GET	shawneemissionschoolsreidteam.com	/main.php?page=a15bdf754aac5f0d	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96413	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo48a61YJNwcfHntAl	text/html
1319670157.04395	CBQ3Za3h2OgaSeij2i	192.168.41.10	1031	64.120.163.149	80	2	GET	shawneemissionschoolsreidteam.com	/w.php?f=51&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	283648	200	OK	-	-	-	(empty)	-	-	-	-	-	F4sqzs5ok2EQWbvS3	application/x-dosexec
1319670157.917185	CBQ3Za3h2OgaSeij2i	192.168.41.10	1031	64.120.163.149	80	3	GET	shawneemissionschoolsreidteam.com	/content/2ddfp.php?f=51	http://shawneemissionschoolsreidteam.com/main.php?page=a15bdf754aac5f0d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12178	200	OK	-	-	-	(empty)	-	-	-	-	-	FjSaYn2Z7zUJColXf8	application/pdf
1319670161.948767	CBQ3Za3h2OgaSeij2i	192.168.41.10	1031	64.120.163.149	80	4	GET	shawneemissionschoolsreidteam.com	/content/field.swf	http://shawneemissionschoolsreidteam.com/main.php?page=a15bdf754aac5f0d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1351	200	OK	-	-	-	(empty)	-	-	-	-	-	F7Pm4yQomfU3vwVJa	application/x-shockwave-flash
1319670165.38816	CYbLDLOQWlVqKtiXh	192.168.41.10	1041	199.7.51.190	80	1	GET	crl.verisign.com	/pca3.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	898	200	OK	-	-	-	(empty)	-	-	-	-	-	Fnn6vr4Tlu8rKsCYBf	binary
1319670165.452739	CgYkAo3Rw6J5qLlk0h	192.168.41.10	1042	199.7.51.190	80	1	GET	CSC3-2004-crl.verisign.com	/CSC3-2004.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	96089	200	OK	-	-	-	(empty)	-	-	-	-	-	F6GfZg3KU1hEJjdapj	binary
1319670168.788529	CBQ3Za3h2OgaSeij2i	192.168.41.10	1031	64.120.163.149	80	5	GET	shawneemissionschoolsreidteam.com	/w.php?f=51&e=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	283648	200	OK	-	-	-	(empty)	-	-	-	-	-	F2HcS62oyPPqaJJ6zl	application/x-dosexec
1319670169.761702	CvBcDA15dSM7DtcZz3	192.168.41.10	1050	64.191.72.165	80	1	GET	transfersakk.com	/logo.png?tq=gKZEtzoYwLzEvUb5dQzRsrCqAPAoTca3l74EgC5OjrPGpgfib1XFp5zpRPksUt+A/gSoSEU=&pr=41	-	chrome/9.0	0	172552	200	OK	-	-	-	(empty)	-	-	-	-	-	FMSfcFHQgQbNrDOp4	binary
1319670169.896059	CTkEyMWPaCioFy4m7	192.168.41.10	1044	64.120.163.149	80	1	GET	shawneemissionschoolsreidteam.com	/content/field.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5808	200	OK	-	-	-	(empty)	-	-	-	-	-	FrFNQn2E3HNL2znTPi	application/zip
1319670169.896448	Cy1XTb3N7yx8nvDwI5	192.168.41.10	1043	93.187.142.14	80	1	GET	1572572686	/Main.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5673	200	OK	-	-	-	(empty)	-	-	-	-	-	FCRYRp2mSKc3otTL8h	application/x-java-applet
