#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-26-17
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1358058813.436878	CZWCs02vvdq1pv4Spb	192.168.32.10	1030	188.72.204.18	80	1	GET	watchhervideo.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1358058813.822605	CmX07n47H55d87ofAj	192.168.32.10	1031	109.206.168.2	80	1	GET	eqy.10elicktiko.info	/?dd8c16208eb02b6147590256d6b2bed4=15&79ad490902ca58102bcb1d1d0b655ea1=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	527	200	OK	-	-	-	(empty)	-	-	-	-	-	F1on2U1EiRRXP0Tddb	text/html
1358058813.9931	CS4inB2hcMNDa7d59f	192.168.32.10	1032	109.206.168.2	80	1	GET	eqy.10elicktiko.info	/f86719bff72ce4069cf1ef2ffc310130.eot	http://eqy.10elicktiko.info/?dd8c16208eb02b6147590256d6b2bed4=15&79ad490902ca58102bcb1d1d0b655ea1=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4194	200	OK	-	-	-	(empty)	-	-	-	-	-	F7XaaGlO68bgzMAu8	application/vnd.ms-fontobject
1358058815.854058	CHbnUZ3pkwrC0YY6Uh	192.168.32.10	1034	109.206.168.2	80	1	GET	109.206.168.2	/?5b3474fb98c28f540579af3623acdd5f	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	191488	200	OK	-	-	-	(empty)	-	-	-	-	-	FumuFO3kNcM1YmxBm9	application/x-dosexec
1358058817.06018	CO5cPfGxTlJ8rz9C	192.168.32.10	1036	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	FwkaQo3PTdij4s8xT8	text/plain
1358058817.957646	CDXBcK10De8U2lbsk8	192.168.32.10	1062	109.206.168.2	80	1	GET	eqy.10elicktiko.info	/b5e0e0ca5a9e602ade88b28c4e33945a/ee7b7a44548fae20bc6a2283630cd4e8.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10110	200	OK	-	-	-	(empty)	-	-	-	-	-	FDMAs11Muz04p5LYYk	application/jar
1358058818.1327	CkvpKcmIHbyMICZ9	192.168.32.10	1063	109.206.168.2	80	1	GET	eqy.10elicktiko.info	/b5e0e0ca5a9e602ade88b28c4e33945a/ee7b7a44548fae20bc6a2283630cd4e8.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10110	200	OK	-	-	-	(empty)	-	-	-	-	-	FpxFW62czUcbVFU4B8	application/jar
1358058818.339353	C8k1tY1sxfEWvS3yhd	192.168.32.10	1064	109.206.168.2	80	1	GET	eqy.10elicktiko.info	/b5e0e0ca5a9e602ade88b28c4e33945a/ee7b7a44548fae20bc6a2283630cd4e8.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10110	200	OK	-	-	-	(empty)	-	-	-	-	-	FGAUbL21mnfhcKiOCj	application/jar
1358058818.55179	CFIb7p4E9eI4HSGrul	192.168.32.10	1065	109.206.168.2	80	1	GET	eqy.10elicktiko.info	/b5e0e0ca5a9e602ade88b28c4e33945a/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	191488	200	OK	-	-	-	(empty)	-	-	-	-	-	F2RVYG1L3buimJDYx2	binary
1358058820.014848	C1qqUi1q4s9Zz9Bfoa	192.168.32.10	1067	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	FHnQRy2W8dP3vIimzf	text/plain
1358058820.080894	CQxUNlwZzYct2c2e2	192.168.32.10	1068	109.206.168.2	80	1	GET	eqy.10elicktiko.info	/b5e0e0ca5a9e602ade88b28c4e33945a/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FRtkcH3ZSf1vETods3	text/html
