#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-56-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1326996917.649355	CraWlW2qPEbvkc1qf3	192.168.117.10	1030	98.124.198.1	80	1	GET	thefamily4life.org	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	174	302	Object moved	-	-	-	(empty)	-	-	-	-	-	FQA2Ib9hvVes0BSHi	text/html
1326996918.245055	C2D3Ht4RUPMDtG4Aug	192.168.117.10	1031	203.170.193.102	80	1	GET	boeingmiles.com	/main.php?page=f01569c984bcc11c	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79766	200	OK	-	-	-	(empty)	-	-	-	-	-	FpuVBZviggRXG2Q7	text/html
1326996927.57966	C2D3Ht4RUPMDtG4Aug	192.168.117.10	1031	203.170.193.102	80	2	GET	boeingmiles.com	/w.php?f=16&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	191488	200	OK	-	-	-	(empty)	-	-	-	-	-	FxdIsr1kcw2nSkRbF9	application/x-dosexec
1326996936.309747	C2D3Ht4RUPMDtG4Aug	192.168.117.10	1031	203.170.193.102	80	3	GET	boeingmiles.com	/content/fdp2.php?f=16	http://boeingmiles.com/main.php?page=f01569c984bcc11c	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	94807	200	OK	-	-	-	(empty)	-	-	-	-	-	FMfIzE3f9OL09SpbRf	application/pdf
1326996948.457909	C87urA2DQuwWp00TWf	192.168.117.10	1037	203.170.193.102	80	1	GET	boeingmiles.com	/content/field.swf	http://boeingmiles.com/main.php?page=f01569c984bcc11c	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1464	200	OK	-	-	-	(empty)	-	-	-	-	-	FYV74g2dx2rhAv6gA	application/x-shockwave-flash
1326996947.56844	C2D3Ht4RUPMDtG4Aug	192.168.117.10	1031	203.170.193.102	80	4	GET	boeingmiles.com	/w.php?f=16&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	191488	200	OK	-	-	-	(empty)	-	-	-	-	-	F1ifPU1No5LvKk9Ok7	application/x-dosexec
1326996958.068431	C8I7fR3YB4yOZOd5Jd	192.168.117.10	1039	203.170.193.102	80	1	GET	boeingmiles.com	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4270	200	OK	-	-	-	(empty)	-	-	-	-	-	FIDmWT1QCN5B0xnNq7	application/zip
1326996960.170548	CUxvir159537tArmua	192.168.117.10	1040	203.170.193.102	80	1	GET	boeingmiles.com	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fr5yhy3raZMahOTYo1	text/html
1326996960.749299	CUxvir159537tArmua	192.168.117.10	1040	203.170.193.102	80	2	GET	boeingmiles.com	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FpO5kB4MlnCwI7cys3	text/html
1326996961.319302	CUxvir159537tArmua	192.168.117.10	1040	203.170.193.102	80	3	GET	boeingmiles.com	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FtaR7Z3WMtNArH3Y67	text/html
1326996961.888024	CUxvir159537tArmua	192.168.117.10	1040	203.170.193.102	80	4	GET	boeingmiles.com	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FefPkh45ESBPSmS82l	text/html
1326996952.324922	CG3JZ01dimNzEX72l	192.168.117.10	1038	118.212.168.131	80	1	POST	potvamp.ru	/fukterama.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	77	11555	200	OK	-	-	-	(empty)	-	-	-	FdYCWlBP3Yn2f0i35	text/plain	FAA1zx21xLhcf9YUR4	binary
