#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-04-45
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328900493.865678	C5gwPk3Jxiuz465DW5	192.168.45.10	1030	146.185.18.50	80	1	GET	filmscollection.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1328900494.090146	CTWhl6wx8qR0bQu6d	192.168.45.10	1031	78.159.105.120	80	1	GET	klmtom.info	/?site=10	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	286	200	OK	-	-	-	(empty)	-	-	-	-	-	FrlX833TSdJy0cCf8e	text/html
1328900496.325556	CeVmfj4vpdzDcywHS6	192.168.45.10	1037	78.159.105.120	80	1	GET	klmtom.info	/?d329d946f66a05ec047f21b4b7591d5c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2508	200	OK	-	-	-	(empty)	-	-	-	-	-	F5jvFs3DCg0Zbltgq2	application/jar
1328900496.332011	CbZuTZ50JtOJyx1Ke	192.168.45.10	1036	78.159.105.120	80	1	GET	klmtom.info	/?48b652ba77dc017770b82003f418792d	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2891	200	OK	-	-	-	(empty)	-	-	-	-	-	FQOhy8kfDzzqiFFLc	application/jar
1328900496.577018	C4StijUgxlCJh0Lac	192.168.45.10	1038	78.159.105.120	80	1	GET	klmtom.info	/?48b652ba77dc017770b82003f418792d	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2891	200	OK	-	-	-	(empty)	-	-	-	-	-	FvWWUK2ANoZzoDYdUc	application/jar
1328900496.582115	C3DTSK3onrwEqpKew8	192.168.45.10	1039	78.159.105.120	80	1	GET	klmtom.info	/?d329d946f66a05ec047f21b4b7591d5c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2508	200	OK	-	-	-	(empty)	-	-	-	-	-	FcsP7y2ckW1ZIpBXsk	application/jar
1328900496.957516	C8dhMEl5UwTcd11og	192.168.45.10	1040	78.159.105.120	80	1	GET	klmtom.info	/?d329d946f66a05ec047f21b4b7591d5c	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2508	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb7r7e2nq9TsIJKxVf	application/jar
1328900497.061365	CTKZqE4nlnknAVBc91	192.168.45.10	1041	78.159.105.120	80	1	GET	klmtom.info	/?48b652ba77dc017770b82003f418792d	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2891	200	OK	-	-	-	(empty)	-	-	-	-	-	F46y2xZY4JJC2z3Hb	application/jar
1328900497.26589	CPFLeq1Q8W9lsB0UTh	192.168.45.10	1042	78.159.105.120	80	1	GET	klmtom.info	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FCLvNC2yIbUBFlOjo8	text/html
1328900497.529171	C9HQMj2ZlgLGykjrxj	192.168.45.10	1044	78.159.105.120	80	1	GET	klmtom.info	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FjnT5o4bd2aLdWVPW6	text/html
1328900497.324965	C0cuSD2ARFdiPFxsm5	192.168.45.10	1043	78.159.105.120	80	1	GET	klmtom.info	/?fbf877a97401a6046f41a7f03203e8c1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	280576	200	OK	-	-	-	(empty)	-	-	-	-	-	FbMzG64szZCiOGrBp2	application/x-dosexec
1328900504.699007	CkcNj21BJ2wpfRwdVc	192.168.45.10	1046	199.7.51.190	80	1	GET	crl.verisign.com	/pca3.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	898	200	OK	-	-	-	(empty)	-	-	-	-	-	FadKh33skmteywYZ89	binary
1328900504.747137	CxdHlV3e00uDaUult6	192.168.45.10	1047	199.7.51.190	80	1	GET	CSC3-2004-crl.verisign.com	/CSC3-2004.crl	-	Microsoft-CryptoAPI/5.131.2600.2180	0	96159	200	OK	-	-	-	(empty)	-	-	-	-	-	F1jfru1aLY94Q7Cul2	binary
1328900505.608858	CwhWgdmxgJm0dZCml	192.168.45.10	1048	109.123.210.163	80	1	GET	highspeedinternetlosangeles.webnode.com	/news/2.php?sv=837&tq=gwY92w4AP2vlPdCTVkiS5SM8CheIZnpR+2Ha6AvQV/GOIT4n1tIfWtk60H96ZrVjHlaBqCysM0XLI3lXB1xhTndXK+pDSBMUv3EhuHqrceJi1RwrfEGhZKeauNLrux2ue0uCvZ+UtFFd5pCs5hvmOcQLH+L7UC649k/tT+XvnxzE7GDi2VT4cmaz8XQ6r9B6yOgpE/dFzp5djxaT+oagpwlY3hDwdqy9m84+oj3d32CyYyvJ5iulfCZFfjL	-	chrome/9.0	0	552	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FtDyK9FBUnYOkP0Pb	text/html
1328900505.544912	C0s1Zm3LDCp9gbnac3	192.168.45.10	1049	64.120.147.117	80	1	GET	nnxq.datastoreplus.com	/logo.png?sv=786&tq=gL5HtzoYwLzEpUb5fU3HxcazAfc6EsazybMRtyFZ0umG8Ar0SsSA/gSoSEU=	-	chrome/9.0	0	280	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FQwACd1XMz5nzbJi22	text/html
1328900516.131545	ChHzKA1GuWSAroIdpk	192.168.45.10	1050	64.120.147.117	80	1	GET	-bumn.randomasystems.com	/logo.png?sv=632&tq=gKZEtzoYwLzEvUb5dQzRsrCpB/IvTca3l74EgC5OjrPGpgfib1XFp5zpRPksUt+A/gSoSEU=	-	chrome/9.0	0	167432	200	OK	-	-	-	(empty)	-	-	-	-	-	FTKuCEfpaUE5BW6N4	binary
1328900519.588771	CLEySa3ry1Y5Yq2f94	192.168.45.10	1051	78.159.105.120	80	1	GET	klmtom.info	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	261	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FlBNK8TBeYv15Elz7	text/html
1328900520.05932	CADVK323LjpSjxR87j	192.168.45.10	1052	78.159.105.120	80	1	GET	klmtom.info	/?f7c838a3a0cf004dfc850930b523c97f	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	280576	200	OK	-	-	-	(empty)	-	-	-	-	-	F73AYc1utYO9wAjBXe	application/x-dosexec
1328900537.354516	CaY1Io4LoXYcxJAKm9	192.168.45.10	1054	66.70.127.101	80	1	GET	istockanalyst.com	/png/intel.jpg?sv=967&tq=gJ4WK/SUh6zGkUR8oY+QrMWTUj26kJHjyZJTNbqVyaBqtUn5CGFYVw==	-	chrome/9.0	0	244	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FD0mYz17knlWhaDDD4	text/html
1328900547.506342	Cx380QDvOv3jN0ekb	192.168.45.10	1055	64.120.147.117	80	1	GET	16a.datastoreplus.com	/logo.png?sv=24&tq=gKZEtzoYwLzEvUb5dQzRsrCpB/IvTca3l74EgC9OjrPGpgfib1XFp5zpRPksUt+A/gSoSEU=	-	chrome/9.0	0	184328	200	OK	-	-	-	(empty)	-	-	-	-	-	FQZl4Q1V67RUFroEA2	binary
1328900521.382728	Cjt8UT2aVXWxBwtrh	192.168.45.10	1053	78.159.105.120	80	1	GET	klmtom.info	/?f7c838a3a0cf004dfc850930b523c97f	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	81398	200	OK	-	-	-	(empty)	-	-	-	-	-	FKD11M2vm9PhhA1d23	application/x-dosexec
#close	2014-04-03-11-04-46
