#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1334454553.514817	CTyirB1bpRMG53R4f	192.168.67.10	1030	91.142.249.5	80	1	GET	deharlekein.nl	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1334454553.744238	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	1	GET	www.deharlekein.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8398	200	OK	-	-	-	(empty)	-	-	-	-	-	FXxkeS3dhQIUdW7Ru6	text/html
1334454554.201941	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	2	GET	www.deharlekein.com	/styles.css	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2171	200	OK	-	-	-	(empty)	-	-	-	-	-	FEVKRvWQ5QWN2vjLj	text/plain
1334454554.22614	CPzIsa4dH87cenOYh	192.168.67.10	1034	174.120.83.7	80	1	GET	geocacherzone.pt	/mediamarkt/images/.tyt/.unzushlagen/sys/index.php	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	119	200	OK	-	-	-	(empty)	-	-	-	-	-	FGTPn74YFMoSViCwjg	text/plain
1334454554.305739	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	1	GET	www.deharlekein.com	/gui/flashdetect.js	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8243	200	OK	-	-	-	(empty)	-	-	-	-	-	Fizker1o4hvjcWZOD8	text/plain
1334454554.550236	C5jUjqAc6DG6l7aEl	192.168.67.10	1035	188.127.229.182	80	1	GET	kumbtenli.dlinkddns.com	/i/00004	http://geocacherzone.pt/mediamarkt/images/.tyt/.unzushlagen/sys/index.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2930	200	OK	-	-	-	(empty)	-	-	-	-	-	F3fAKv1p1Xxu0h8mna	text/html
1334454554.655593	CM2DqFKX2vG0b4kOh	192.168.67.10	1033	91.142.249.37	80	2	GET	www.deharlekein.com	/gui/top.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3182	200	OK	-	-	-	(empty)	-	-	-	-	-	FY2KXS31cu8BYrLBJ	image/png
1334454554.654313	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	3	GET	www.deharlekein.com	/gui/logo-top.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10497	200	OK	-	-	-	(empty)	-	-	-	-	-	FKuqXQ3eyFrUTlu8Zf	image/png
1334454555.105201	CI1Ci41h8GWBtDPCf4	192.168.67.10	1037	213.206.87.134	80	1	GET	www.seatme.org	/buttonfiles/css/colorbox.css	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5105	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwx6SK3rLWLDVc1Oik	text/plain
1334454555.2199	CSSncB3dzYM7y6gu54	192.168.67.10	1031	91.142.249.37	80	4	GET	www.deharlekein.com	/gui/dot.png	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	166	200	OK	-	-	-	(empty)	-	-	-	-	-	FirbXn40gZALpvNnpf	image/png
1334454555.104956	CVKrkx4R39ADDFsit2	192.168.67.10	1036	213.206.87.134	80	1	GET	www.seatme.org	/buttonfiles/js/jquery-1.4.2.min.js	http://www.deharlekein.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	72174	200	OK	-	-	-	(empty)	-	-	-	-	-	FuEhKAjdCGJGO1hha	text/plain
