#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-11-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337233695.253978	CT4jpMdPWZF9rJGO1	192.168.77.10	1030	62.149.128.163	80	1	GET	restaurocarta.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	236	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FWKV074lOzKKBnY3lf	text/html
1337233696.526655	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	1	GET	www.restaurocarta.it	/wp-content/themes/custom-community/style.css	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1614	200	OK	-	-	-	(empty)	-	-	-	-	-	Fnwrdg2GJK9UsEzry7	text/x-c
1337233696.701506	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	2	GET	www.restaurocarta.it	/wp-content/themes/custom-community/_inc/css/reset.css	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1331	200	OK	-	-	-	(empty)	-	-	-	-	-	F2pHMg2rkHQq8lCPlf	text/plain
1337233696.895373	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	3	GET	www.restaurocarta.it	/wp-content/plugins/buddypress/bp-core/css/buddybar.css?ver=20110723	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3198	200	OK	-	-	-	(empty)	-	-	-	-	-	FoMkrxJXtsdBMKlA3	text/plain
1337233695.51918	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	1	GET	www.restaurocarta.it	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	98400	200	OK	-	-	-	(empty)	-	-	-	-	-	FLv08x3EBDIOHbKcql	text/html
1337233697.075934	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	4	GET	www.restaurocarta.it	/wp-includes/js/comment-reply.js?ver=20090102	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	786	200	OK	-	-	-	(empty)	-	-	-	-	-	Fola02M3zDVyC1aJ9	text/plain
1337233697.261797	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	2	GET	www.restaurocarta.it	/wp-includes/js/jquery/jquery.js?ver=1.7.1	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	93889	200	OK	-	-	-	(empty)	-	-	-	-	-	FUKrYF2NnUsD5r6trh	text/html
1337233697.644431	CkE0Au3rs9dkLFukAh	192.168.77.10	1032	62.149.140.235	80	5	GET	www.restaurocarta.it	/wp-content/themes/custom-community/_inc/js/reflection.js?ver=3.3.2	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1829	200	OK	-	-	-	(empty)	-	-	-	-	-	FwZ6iIheMDBeY1Sbg	text/plain
1337233697.799488	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	3	GET	www.restaurocarta.it	/wp-content/themes/custom-community/_inc/global.js?ver=20110830	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47622	200	OK	-	-	-	(empty)	-	-	-	-	-	F41KHm2vVbJ68iaAs8	text/plain
1337233698.182769	CKrUtPiKbsHM2K3b8	192.168.77.10	1038	8.19.34.206	80	1	GET	d.envolve.com	/env.nocache.js	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10096	200	OK	-	-	-	(empty)	-	-	-	-	-	FfWqBO1VZN0AKbqyne	text/html
1337233698.3175	CKrUtPiKbsHM2K3b8	192.168.77.10	1038	8.19.34.206	80	2	GET	d.envolve.com	/CCA4D89A985F3750E10CD59D6F8DF194.cache.js	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	401970	200	OK	-	-	-	(empty)	-	-	-	-	-	FFC30P1faGGyBSHnC8	text/plain
1337233698.838378	CTaAKQ392548HnPFra	192.168.77.10	1031	62.149.140.235	80	4	GET	www.restaurocarta.it	/wp-content/uploads/2011/02/firenze-arno1.jpg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13166	200	OK	-	-	-	(empty)	-	-	-	-	-	FsFopm2iAPYLcLkCti	image/jpeg
1337233699.308058	CWq8Nt4bOmODvtVerh	192.168.77.10	1040	173.194.37.82	80	1	GET	t1.gstatic.com	/images?q=tbn:ANd9GcTZDlBs_P6tfHelWyp9dgk4qIxw_mQ9KB5RKwwagEP-Sg4Bz2V5	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10147	200	OK	-	-	-	(empty)	-	-	-	-	-	FVZZMl2MzIAtBRBi5a	image/jpeg
1337233699.30878	CakFXdB4x2Sgkqqoe	192.168.77.10	1041	173.194.37.82	80	1	GET	t1.gstatic.com	/images?q=tbn:ANd9GcQaDROTjAEumrjoLUMdz6Wf9jGotMIHue7f7Hqxh2pJAQqHXUiBjg	http://www.restaurocarta.it/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12731	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbofxh1jpJ8zj4mmd1	image/jpeg
