#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-09-04
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319848412.631617	CcbPeZ1I0CCtVkjpw9	192.168.124.10	1056	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp5DDc3IqT69nYRZBk	application/x-java-applet
1319848412.633064	CHma9s1Gcxfb3fdZB6	192.168.124.10	1055	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FFywp63LgTH4Il1iq2	application/x-java-applet
1319848412.644523	Ci3tA82l4sZFUGhk7l	192.168.124.10	1058	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FcH09T17j25J2kyFBb	application/x-java-applet
1319848412.649077	C9bRSJ3G7FrE6diqIh	192.168.124.10	1059	109.236.85.57	80	1	GET	1844204857	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FRA2Xy2YcTwpuS6d8d	application/x-java-applet
1319848412.573257	Ce1l9o3VEefcPMjh6d	192.168.124.10	1052	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	FGkajnGV6yoEU3Bhk	application/jar
1319848412.91492	Cc3jjo4CycmMdqikpk	192.168.124.10	1061	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FTUB9H2oKjtMCXffHc	application/jar
1319848412.803983	CavZ7x4ZF54zytOAni	192.168.124.10	1060	91.229.90.71	80	1	GET	start-520186.com	/404.php?type=stats&affid=440&subid=01&awok	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1319848413.195589	CJ8HZd4HKstBn0diEj	192.168.124.10	1063	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	FPwMFj1pQ8nhZBiTt	application/jar
1319848413.496537	CGMj334uxLVffgYsGl	192.168.124.10	1064	193.105.154.34	80	1	GET	quick-416336.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FBrJrR3BMzc8PNcRGg	text/html
1319848413.606135	CGMj334uxLVffgYsGl	192.168.124.10	1064	193.105.154.34	80	2	GET	quick-416336.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FqQk651z5TYQjoOZlk	text/html
1319848412.958212	CpEveT3qIa8yS5wCbj	192.168.124.10	1062	109.236.85.57	80	1	GET	109.236.85.57	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	403344	200	OK	-	-	-	(empty)	-	-	-	-	-	FLA5vr2FT3TRGwmnib	application/x-dosexec
1319848413.732276	CmJ82C3Bgm26W7Zh6h	192.168.124.10	1065	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	403344	200	OK	-	-	-	(empty)	-	-	-	-	-	FPNuoU1RUjDQldkzte	application/x-dosexec
1319848415.096781	C8kXxh1pVT9TCcDhS5	192.168.124.10	1067	193.105.154.22	80	1	GET	open-994233.com	/404.php?type=stats&affid=440&subid=01&awok	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1319848415.805963	CvRHFR1JCcq2lSuWS8	192.168.124.10	1069	31.44.184.47	80	1	GET	natastead.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F4fQ291wemQh3Rqrw	text/html
1319848416.018596	CgfL1J1mVuMHEabTwc	192.168.124.10	1070	193.105.154.34	80	1	GET	quick-416336.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FSuVrcPydwmnT9uOd	text/html
1319848417.855696	CYAqOy2Xk6qD1b2ePb	192.168.124.10	1072	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	518	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsm5Moj7xg29Gy1cd	binary
1319848418.087132	CPaPne32npplPTCde4	192.168.124.10	1073	109.236.85.57	80	1	GET	bondadventures-pro.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FxvS7p3nCUYHn5w0y3	application/jar
1319848432.909448	Cwpu4jdQR1cIINo7k	192.168.124.10	1074	31.44.184.48	80	1	GET	onfirland.com	/404.php?type=stats&affid=440&subid=01&awok	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1319848435.139652	CEq2Ff4r4uUN0WWKjh	192.168.124.10	1076	31.44.184.47	80	1	GET	natastead.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FHmjdq1EZSH7lZ9lu9	text/html
1319848437.232936	CyWS2p42mK7QQxCJMk	192.168.124.10	1077	31.44.184.47	80	1	GET	natastead.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F2Ao3S1QUO2BbCSmll	text/html
1319848454.393296	CBDFJt1e2MiMsKA367	192.168.124.10	1078	193.105.154.34	80	1	GET	quick-416336.com	/uuica1/440-direct	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	570	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FPiCVj3dZffPWD7OTh	text/html
#close	2014-04-03-10-09-06
