#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-30-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1347428573.843271	CRTvl84d8INfo2ZU63	192.168.35.10	1036	210.17.245.193	80	unescaped_special_URI_char	-	F	bro
1347428574.206439	-	-	-	-	-	unknown_protocol_2	-	F	bro
1347428600.494824	Ch56kr1krdrARtNFm	192.168.35.10	1060	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.494973	CPT1YWR0hBYVj5NFj	192.168.35.10	1060	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1347428600.49647	CpLVBd3s50vBOIqm79	192.168.35.10	1062	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.496618	CH0DhI10o6MaTG9O02	192.168.35.10	1062	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1347428600.505605	CgPqQ82goxWkkudcu5	192.168.35.10	1064	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.505761	Civ4o9zzWXgTeg8Fh	192.168.35.10	1064	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1347428600.509091	C0xLEt2LtXsVjJqvUk	192.168.35.10	1066	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.509242	CxFaOA33GBi6vLnigc	192.168.35.10	1066	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1347428600.511135	CxO7mn1uhhXmrwYp9	192.168.35.10	1068	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.511291	C5DeMZ6mtZzkC3Id7	192.168.35.10	1068	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1347428600.513227	CoRt8zzr6HgHHuWNi	192.168.35.10	1070	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.513376	Cs9uHk4599x0uuffhe	192.168.35.10	1070	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1347428600.631127	CCSnFJfddeqOI60u8	192.168.35.10	1074	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.631277	CMWV3z1uBJ98aewgpc	192.168.35.10	1074	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1347428600.642496	CYzc004wu62ZouD5Of	192.168.35.10	1076	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.642641	CH5x9D22oniMJk3xWg	192.168.35.10	1076	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
1347428600.682555	CxF3JhklvW07Nrn6	192.168.35.10	1079	91.195.254.70	53	DNS_Conn_count_too_large	-	F	bro
1347428600.682686	Crz6Xi2RleZ2FOtEM	192.168.35.10	1079	66.85.130.234	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-30-33
