#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-14-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331444121.506631	C0iS0g3ahFb3HALCTg	192.168.66.10	1030	85.214.90.35	80	1	GET	sportbaude-waldeck.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1331444121.734808	CUiKxK1zg46LVBrzUk	192.168.66.10	1031	85.214.90.35	80	1	GET	www.sportbaude-waldeck.de	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13619	200	OK	-	-	-	(empty)	-	-	-	-	-	FYlYVZ11xwUv0iuWVi	text/html
1331444122.085685	CxYwWU1lmLDJJN9ts3	192.168.66.10	1032	85.214.90.35	80	1	GET	www.sportbaude-waldeck.de	/index.css	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	628	200	OK	-	-	-	(empty)	-	-	-	-	-	FlDcZtVcllATZUk4g	text/plain
1331444122.303028	CeEwmh3YvlXjerGnF2	192.168.66.10	1033	85.214.90.35	80	1	GET	www.sportbaude-waldeck.de	/marker.js	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	82	200	OK	-	-	-	(empty)	-	-	-	-	-	FoB0G93Vc2AUhLzIBa	text/plain
1331444122.445503	CxYwWU1lmLDJJN9ts3	192.168.66.10	1032	85.214.90.35	80	2	GET	www.sportbaude-waldeck.de	/slice/prijut_01.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	960	200	OK	-	-	-	(empty)	-	-	-	-	-	FKiIle3i1raZyQcwsl	image/jpeg
1331444122.44604	CeEwmh3YvlXjerGnF2	192.168.66.10	1033	85.214.90.35	80	2	GET	www.sportbaude-waldeck.de	/bilder/Benutzer.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	402	200	OK	-	-	-	(empty)	-	-	-	-	-	FqDEpJ1itznWv7B9Ti	image/jpeg
1331444122.555508	CxYwWU1lmLDJJN9ts3	192.168.66.10	1032	85.214.90.35	80	3	GET	www.sportbaude-waldeck.de	/slice/prijut_02.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	388	200	OK	-	-	-	(empty)	-	-	-	-	-	FJaBQw3kZTpFYCuxEi	image/jpeg
1331444122.579571	CeEwmh3YvlXjerGnF2	192.168.66.10	1033	85.214.90.35	80	3	GET	www.sportbaude-waldeck.de	/slice/prijut_03.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	687	200	OK	-	-	-	(empty)	-	-	-	-	-	F9WJIR39erlZagsYpi	image/jpeg
1331444122.602443	CbMQbq2LcuadOMv3q9	192.168.66.10	1034	83.231.205.50	80	1	GET	www.qype.com	/place_widgets/472379-mini.js?color=0BA110&height=121&width=206	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2519	200	OK	-	-	-	(empty)	-	-	-	-	-	FleAOz3lzCublCPu9k	text/html
1331444122.66409	CxYwWU1lmLDJJN9ts3	192.168.66.10	1032	85.214.90.35	80	4	GET	www.sportbaude-waldeck.de	/slice/prijut_04.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6175	200	OK	-	-	-	(empty)	-	-	-	-	-	FA237A326c650fe5Sk	image/jpeg
1331444122.835818	CMoDZtB4f9hEzGVEf	192.168.66.10	1037	74.125.45.101	80	1	GET	www.google-analytics.com	/ga.js	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33407	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ7uwV2NhGFNjtlOmb	text/plain
1331444122.691958	CeEwmh3YvlXjerGnF2	192.168.66.10	1033	85.214.90.35	80	4	GET	www.sportbaude-waldeck.de	/slice/prijut_05.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9725	200	OK	-	-	-	(empty)	-	-	-	-	-	FGZ7EUdzwr6s6rR3i	image/jpeg
1331444122.836137	CxYwWU1lmLDJJN9ts3	192.168.66.10	1032	85.214.90.35	80	5	GET	www.sportbaude-waldeck.de	/slice/prijut_06.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9546	200	OK	-	-	-	(empty)	-	-	-	-	-	FuryJz3AjY6AEvBttb	image/jpeg
1331444122.902754	CRF0Wx3kDejrMgxU5b	192.168.66.10	1035	83.231.205.49	80	1	GET	assets0.qypecdn.net	/images/place_widgets/layer.gif	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	299	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm4jWu4ymbC3wviZ97	image/gif
1331444122.907809	C2Ehnw4yHfQpGIFLN7	192.168.66.10	1036	83.231.205.49	80	1	GET	assets0.qypecdn.net	/images/place_widgets/qype_logo_small.gif	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1301	200	OK	-	-	-	(empty)	-	-	-	-	-	FCSrKW1h6krfVWcNa5	image/gif
1331444122.919961	CeEwmh3YvlXjerGnF2	192.168.66.10	1033	85.214.90.35	80	5	GET	www.sportbaude-waldeck.de	/slice/prijut_07.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2175	200	OK	-	-	-	(empty)	-	-	-	-	-	FmbU2h4UnMbRwWV7r3	image/jpeg
1331444122.989988	CxYwWU1lmLDJJN9ts3	192.168.66.10	1032	85.214.90.35	80	6	GET	www.sportbaude-waldeck.de	/slice/index/prijut_08.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2181	200	OK	-	-	-	(empty)	-	-	-	-	-	FGYNMf2spFSRuw4S9l	image/jpeg
1331444123.315523	CxYwWU1lmLDJJN9ts3	192.168.66.10	1032	85.214.90.35	80	7	GET	www.sportbaude-waldeck.de	/bilder/stern12x12.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	394	200	OK	-	-	-	(empty)	-	-	-	-	-	FaP8Lx1uNUgZHoNZId	image/jpeg
1331444123.315056	CeEwmh3YvlXjerGnF2	192.168.66.10	1033	85.214.90.35	80	6	GET	www.sportbaude-waldeck.de	/bilder/spacer.gif	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	FV18mn4efEpr3Hbye7	image/gif
1331444123.486155	CxYwWU1lmLDJJN9ts3	192.168.66.10	1032	85.214.90.35	80	8	GET	www.sportbaude-waldeck.de	/bilder/prijut_logo.jpg	http://www.sportbaude-waldeck.de/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1461	200	OK	-	-	-	(empty)	-	-	-	-	-	Fl8sio3BEuqWij7Le2	image/jpeg
