#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-49-44
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1317733071.670614	CcYPJt1fgLfMS3iV2i	192.168.96.10	1030	95.168.165.225	80	1	GET	av-protection.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FSbcum4rQOqAc2tnQh	text/html
1317733071.894819	CLzwOZ1uRzkZsBarBe	192.168.96.10	1031	109.236.82.49	80	1	GET	spunky-bee.in	/?site=13	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7725	200	OK	-	-	-	(empty)	-	-	-	-	-	FZMcX61qnf15BNu8kj	text/html
1317733073.780694	CTTCVO1wFYvrLGQ27e	192.168.96.10	1036	109.236.82.49	80	1	GET	spunky-bee.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6064	200	OK	-	-	-	(empty)	-	-	-	-	-	FLytVa4gdfSIOptBQ7	application/jar
1317733073.778743	C2fAWJ2M52VjproLX7	192.168.96.10	1039	109.236.82.49	80	1	GET	1844204081	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14160	200	OK	-	-	-	(empty)	-	-	-	-	-	FlCb1n1xbMTMZs1Yf1	application/x-java-applet
1317733073.787961	CJpWEl4BjlgUSXmGE3	192.168.96.10	1038	109.236.82.49	80	1	GET	1844204081	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14160	200	OK	-	-	-	(empty)	-	-	-	-	-	FvGEFy1JPLlIbvoHC2	application/x-java-applet
1317733073.774745	C0vN3v80uO222ak67	192.168.96.10	1037	109.236.82.49	80	1	GET	spunky-bee.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19703	200	OK	-	-	-	(empty)	-	-	-	-	-	FciFj23j2rvhsocui1	application/jar
1317733074.219691	CTqEQa4tKNqeRhHBa3	192.168.96.10	1040	109.236.82.49	80	1	GET	spunky-bee.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6064	200	OK	-	-	-	(empty)	-	-	-	-	-	Fpmc6F3szwvS5yt0M	application/jar
1317733074.230034	Ce9uWQ2BokGK4da4a2	192.168.96.10	1041	109.236.82.49	80	1	GET	1844204081	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FdgLbx219fnsmD3293	application/x-java-applet
1317733074.236358	CP5Zz23gZ863njeok8	192.168.96.10	1042	109.236.82.49	80	1	GET	1844204081	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FrJdj23xC4vZVVPDye	application/x-java-applet
1317733074.283243	CUlPj44ZL5adavad02	192.168.96.10	1043	109.236.82.49	80	1	GET	spunky-bee.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19703	200	OK	-	-	-	(empty)	-	-	-	-	-	F9MWSlwpgyQRtueAc	application/jar
1317733074.573727	C4vVrO3S9mMySRugbc	192.168.96.10	1045	109.236.82.49	80	1	GET	spunky-bee.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6064	200	OK	-	-	-	(empty)	-	-	-	-	-	FsISAX3mgWS6iCUmWf	application/jar
1317733074.567186	Cd0ye53QeW43jd7mz9	192.168.96.10	1044	109.236.82.49	80	1	GET	109.236.82.49	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	25088	200	OK	-	-	-	(empty)	-	-	-	-	-	FqudY12NB8BfnXV4Va	application/x-dosexec
1317733074.926327	CfigKVlHQu6D7Ep6l	192.168.96.10	1046	109.236.82.49	80	1	GET	spunky-bee.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19703	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb9zzl3EPXU6GynZFg	application/jar
1317733075.578009	CiX67n1CCerMesKuib	192.168.96.10	1047	109.236.82.49	80	1	GET	spunky-bee.in	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	510	200	OK	-	-	-	(empty)	-	-	-	-	-	FVRayW1TiTp5oWcBj6	binary
1317733075.798024	Ci3CPf1JMt3h3hMm2h	192.168.96.10	1049	109.236.82.49	80	1	GET	spunky-bee.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	6064	200	OK	-	-	-	(empty)	-	-	-	-	-	FFBZPo18xPjwKgtVrh	application/jar
1317733075.722872	Cpx9Q61l8D9kzyOOBl	192.168.96.10	1048	109.236.82.49	80	1	GET	spunky-bee.in	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	25088	200	OK	-	-	-	(empty)	-	-	-	-	-	F4CZo022YiS3fkKAQ4	application/x-dosexec
1317733123.799188	CLD3mb2WpRinUC4A7f	192.168.96.10	1051	109.236.82.49	80	1	GET	metartmodelsfuck.in	/dl/ex.php?0	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)ver	0	504320	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg3YUI1o4RozYH96w6	application/x-dosexec
1317733123.80002	CuAz9hwfyKc18EL56	192.168.96.10	1052	109.236.82.49	80	1	GET	metartmodelsfuck.in	/dl/ex.php?0	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)ver	0	504320	200	OK	-	-	-	(empty)	-	-	-	-	-	FkRfBA16mYkv4Y1Tnc	application/x-dosexec
1317733125.200447	CLmrzz4NKBc9FLDso5	192.168.96.10	1053	109.236.82.49	80	1	GET	metartmodelsfuck.in	/dl/ex.php?1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)ver	0	49896	200	OK	-	-	-	(empty)	-	-	-	-	-	FiziwX20TZbI7SS1dg	application/x-dosexec
1317733125.238935	CGxqwn2ibavzgDPXd6	192.168.96.10	1054	109.236.82.49	80	1	GET	metartmodelsfuck.in	/dl/ex.php?1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)ver	0	49896	200	OK	-	-	-	(empty)	-	-	-	-	-	F7FgqO22KindEkYNda	application/x-dosexec
1317733125.729063	Cfa5hx4TqL4qvbV8b4	192.168.96.10	1055	190.123.42.182	80	1	GET	competeary.com	/404.php?type=stats&affid=440&subid=01&awok	-	IE	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1317733125.81739	Cceg2D29bF76WqEv91	192.168.96.10	1056	109.236.82.49	80	1	GET	metartmodelsfuck.in	/dl/ex.php?2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)ver	0	217088	200	OK	-	-	-	(empty)	-	-	-	-	-	FWCZOU3yZKGdThFUdg	application/x-dosexec
1317733125.862125	Ch4uug3UcF7dNdva4a	192.168.96.10	1057	109.236.82.49	80	1	GET	metartmodelsfuck.in	/dl/ex.php?2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)ver	0	217088	200	OK	-	-	-	(empty)	-	-	-	-	-	FFeiKh2IzXIFrPDu4d	application/x-dosexec
1317733126.730585	CGAHxA38ehtvWq15Z8	192.168.96.10	1060	109.236.82.49	80	1	GET	metartmodelsfuck.in	/dl/ex.php?3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)ver	0	260	404	Not Found	-	-	-	(empty)	-	-	-	-	-	Fxwpfi0LddWMa16hg	text/html
1317733126.801048	CGQQOW3xfmMEP493q1	192.168.96.10	1061	109.236.82.49	80	1	GET	metartmodelsfuck.in	/dl/ex.php?3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)ver	0	260	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FhEMMC4ZWbSeCCeP9g	text/html
1317733126.987368	CZObud3wf349Z5dyP8	192.168.96.10	1062	95.64.61.122	80	1	GET	versalsearch.net	/agreement.php?rnd=787716	-	-	0	0	404	Not Found	-	-	-	(empty)	-	-	-	-	-	-	-
1317733126.146802	CeGFTH3Ji2Jt3KBpg	192.168.96.10	1058	86.55.96.169	80	1	GET	www.abc-down.com	/?string=1|{7830B514-F877-47E1-A194-E233916A231E}|1181	-	NSISDL/1.2 (Mozilla)	0	42	200	OK	-	-	-	(empty)	-	-	-	-	-	FnTUQw3abdCJMCpQo3	text/plain
#close	2014-04-03-10-49-46
