#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-57-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1395458223.162681	CcU1U83VEzZhJy3SHd	192.168.3.10	1036	27.121.64.76	80	1	GET	imcstores.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	204	302	Found	-	-	-	(empty)	-	-	-	-	-	Fl87j039clH52N7at3	text/html
1395458223.582296	CrOwAI27MouRwFhgJj	192.168.3.10	1037	74.125.128.100	80	1	GET	goo.gl	/zJ2pGb	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	231	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FNYTlKMWK9yICWkR5	text/html
1395458224.135103	CnFTlm4QD8qlgKZvqg	192.168.3.10	1038	195.66.79.27	80	1	GET	www.filessly.com	/download/1/9210000/Update	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FcKNQznmtJCRdz4s1	text/plain
1395458224.397642	CnFTlm4QD8qlgKZvqg	192.168.3.10	1038	195.66.79.27	80	2	GET	www.filessly.com	/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4248	200	OK	-	-	-	(empty)	-	-	-	-	-	Ftiuo64lEFxuuRxpV4	text/html
1395458224.724097	CnFTlm4QD8qlgKZvqg	192.168.3.10	1038	195.66.79.27	80	3	GET	www.filessly.com	/css/layout1/style.css	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2205	200	OK	-	-	-	(empty)	-	-	-	-	-	FxKvI24a9xoRYXFZb6	text/plain
1395458224.914656	CRQMTM38NGeAvxPvbd	192.168.3.10	1040	195.66.79.27	80	1	GET	www.filessly.com	/js/common.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1174	200	OK	-	-	-	(empty)	-	-	-	-	-	FRceeKKmfiwGNgs0i	text/plain
1395458224.920071	CnFTlm4QD8qlgKZvqg	192.168.3.10	1038	195.66.79.27	80	4	GET	www.filessly.com	/js/jquery.cookie.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1941	200	OK	-	-	-	(empty)	-	-	-	-	-	FqhZNy30C5PZXxQlxj	text/plain
1395458224.930749	CE565G2CRWIU9GZmzj	192.168.3.10	1041	195.66.79.27	80	1	GET	www.filessly.com	/js/jquery.fileDownload.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	16372	200	OK	-	-	-	(empty)	-	-	-	-	-	FNagpC2l0muatUf1Y2	text/plain
1395458224.912585	CZzTXi36vTrBc5KCVg	192.168.3.10	1039	195.66.79.27	80	1	GET	www.filessly.com	/js/jquery-1.8.2.min.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	93434	200	OK	-	-	-	(empty)	-	-	-	-	-	F0BsAw3wRAL0Cp6sbc	text/plain
1395458225.8445	CZzTXi36vTrBc5KCVg	192.168.3.10	1039	195.66.79.27	80	2	GET	www.filessly.com	/images/layout1/vert_line.png	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	522	200	OK	-	-	-	(empty)	-	-	-	-	-	FsoSfFNTq83bZ2JJi	image/png
1395458225.842852	CnFTlm4QD8qlgKZvqg	192.168.3.10	1038	195.66.79.27	80	5	GET	www.filessly.com	/images/layout1/line.jpg	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTU0NTgxMDctZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1517	200	OK	-	-	-	(empty)	-	-	-	-	-	FSULBYegq453sn2za	image/jpeg
