#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327271225.761068	CtdNLV3z6gpReB8yW2	192.168.10.10	1030	207.58.150.187	80	1	GET	leftlanenews.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	293	302	Found	-	-	-	(empty)	-	-	-	-	-	FJs6OrhO9njFnADwb	text/html
1327271225.796412	C1o6iwkA9MpvYfoS4	192.168.10.10	1031	207.58.150.180	80	1	GET	www.leftlanenews.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	470965	200	OK	-	-	-	(empty)	-	-	-	-	-	Fgkv8nfgQzmiyhvti	text/html
1327271226.182195	C1o6iwkA9MpvYfoS4	192.168.10.10	1031	207.58.150.180	80	2	GET	www.leftlanenews.com	/wp-content/themes/lln5/css/resetnew.css	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1016	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ2Bl34ysQwjybhQek	text/plain
1327271226.203183	C1o6iwkA9MpvYfoS4	192.168.10.10	1031	207.58.150.180	80	3	GET	www.leftlanenews.com	/wp-content/themes/lln5/ie/DD_belatedPNG_0.0.8a-min.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7019	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs4kwMSG54ogrQKil	text/plain
1327271226.201691	CIhET7zC871cwQbgd	192.168.10.10	1032	207.58.150.180	80	1	GET	www.leftlanenews.com	/wp-content/themes/lln5/css/allcombinednew5.2.css	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	235047	200	OK	-	-	-	(empty)	-	-	-	-	-	FoCDYa38HzcofaGCPc	text/plain
1327271226.365177	C1o6iwkA9MpvYfoS4	192.168.10.10	1031	207.58.150.180	80	4	GET	www.leftlanenews.com	/wp-content/themes/lln5/ie/generalnew.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	362236	404	not found	-	-	-	(empty)	-	-	-	-	-	F3D1vn1a3SQ5Xotc7i	text/html
1327271226.548589	CIhET7zC871cwQbgd	192.168.10.10	1032	207.58.150.180	80	2	GET	www.leftlanenews.com	/wp-content/themes/lln5/ie/ienew.css	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37886	200	OK	-	-	-	(empty)	-	-	-	-	-	FuVU4s2VVVoHeQNay1	text/plain
1327271226.565952	Cx2py03IWeiRoGwm4b	192.168.10.10	1033	207.58.150.180	80	1	GET	www.leftlanenews.com	/wp-content/themes/lln5/js/general_functions.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21620	200	OK	-	-	-	(empty)	-	-	-	-	-	FR054s3K4iWdqPPcHe	text/plain
1327271226.71122	CIhET7zC871cwQbgd	192.168.10.10	1032	207.58.150.180	80	3	GET	www.leftlanenews.com	/wp-content/themes/lln5/js/allcombined.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	172431	200	OK	-	-	-	(empty)	-	-	-	-	-	FnSJjelPjLfUXp45l	text/plain
1327271226.799374	Cx2py03IWeiRoGwm4b	192.168.10.10	1033	207.58.150.180	80	2	GET	www.leftlanenews.com	/wp-content/themes/lln5/js/jquery.easying.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8097	200	OK	-	-	-	(empty)	-	-	-	-	-	FU0Cx53d3TJiu5Qfjc	text/plain
1327271226.849339	CIhET7zC871cwQbgd	192.168.10.10	1032	207.58.150.180	80	4	GET	www.leftlanenews.com	/wp-content/themes/lln5/js/banner_script.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9461	200	OK	-	-	-	(empty)	-	-	-	-	-	FCfWUyhIVBm8UGIj8	text/plain
1327271226.895751	Cx2py03IWeiRoGwm4b	192.168.10.10	1033	207.58.150.180	80	3	GET	www.leftlanenews.com	/wp-content/themes/lln5/js/jquery_003.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16358	200	OK	-	-	-	(empty)	-	-	-	-	-	FchcJB4tV8mcMFik6b	text/plain
1327271226.960758	C78bQs4B36njQCDHui	192.168.10.10	1035	74.125.229.162	80	1	GET	apis.google.com	/js/plusone.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5853	200	OK	-	-	-	(empty)	-	-	-	-	-	FxF8Fh17wZQyB8wc3	text/plain
1327271226.863881	CimJCu3E4KXnPSU2Gh	192.168.10.10	1034	92.241.191.182	80	1	GET	higolea.com	/preis.php	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2409	200	OK	-	-	-	(empty)	-	-	-	-	-	FypLqJeCUd4JyUPFk	text/html
1327271227.051449	CMC9Wg402RWEgQPe7a	192.168.10.10	1036	74.125.229.33	80	1	GET	www.google-analytics.com	/ga.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33227	200	OK	-	-	-	(empty)	-	-	-	-	-	FmvlRp4Cvha0bv5VZ5	text/plain
1327271227.058002	Ccg7ru1I6AdVOZjide	192.168.10.10	1038	74.125.229.217	80	1	GET	partner.googleadservices.com	/gampad/google_service.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3786	200	OK	-	-	-	(empty)	-	-	-	-	-	FFe2jE4aMk6ashcFg4	text/plain
1327271227.043945	CimJCu3E4KXnPSU2Gh	192.168.10.10	1034	92.241.191.182	80	2	GET	higolea.com	/style.css	http://higolea.com/preis.php	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2535	200	OK	-	-	-	(empty)	-	-	-	-	-	FpFAIo2G9W3uH7Ubih	text/plain
1327271227.363075	CMC9Wg402RWEgQPe7a	192.168.10.10	1036	74.125.229.33	80	2	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.3&utms=1&utmn=196038464&utmhn=www.leftlanenews.com&utmcs=utf-8&utmsr=800x600&utmvp=784x479&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=New and Used Car Reviews & Auto-Industry News \xe2\x80\x93 LeftLaneNews&utmhid=1981128935&utmr=-&utmp=/&utmac=UA-280331-4&utmcc=__utma=195222321.192931159.1327285508.1327285508.1327285508.1;+__utmz=195222321.1327285508.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=q~	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FD0cML1vBBUw3Zfv7l	image/gif
1327271227.505404	Ccg7ru1I6AdVOZjide	192.168.10.10	1038	74.125.229.217	80	2	GET	partner.googleadservices.com	/gampad/google_ads.js	http://www.leftlanenews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	50413	200	OK	-	-	-	(empty)	-	-	-	-	-	FBJHw3384pTv7iNuj6	text/plain
