#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-29-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1355429993.449336	CyOb5w1bPu3MHwYX39	192.168.36.10	1030	87.83.27.65	80	1	GET	goal.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	228	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FgCbVC3YZmef5NcUkf	text/html
1355429993.599764	Cn3P9I1FXhW48UEevi	192.168.36.10	1031	65.112.54.48	80	1	GET	www.goal.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6467	200	OK	-	-	-	(empty)	-	-	-	-	-	FzCyyI3qj9lByv3TB1	text/html
1355429993.967436	Cn3P9I1FXhW48UEevi	192.168.36.10	1031	65.112.54.48	80	2	GET	www.goal.com	/en-us/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	207942	200	OK	-	-	-	(empty)	-	-	-	-	-	FrGDx833kHbLd1IuGd	text/html
1355429994.410011	CSCLg54MAFYmS9xB07	192.168.36.10	1040	65.112.54.18	80	1	GET	i1.goal.com	/web/goal/2012.12.13-v1/css/default/branding.css	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12810	200	OK	-	-	-	(empty)	-	-	-	-	-	FE3XX42zRb5o5cmOw9	text/plain
1355429994.281706	CZ8rQk4iGlkt3Dmjn7	192.168.36.10	1036	65.112.54.26	80	1	GET	i2.goal.com	/web/goal/2012.12.13-v1/css/widget.css	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34208	200	OK	-	-	-	(empty)	-	-	-	-	-	FDJcF11t5ICRJk6u1j	text/plain
1355429994.284103	CXjw9M1I7ntb1TOBK7	192.168.36.10	1037	65.112.54.26	80	1	GET	i2.goal.com	/web/goal/2012.12.13-v1/css/default/flavors/espnmakegood/homepage/index-merged.css	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	256399	200	OK	-	-	-	(empty)	-	-	-	-	-	FTZcgo4YZnQvfDL5Bg	text/plain
1355429995.364567	CSCLg54MAFYmS9xB07	192.168.36.10	1040	65.112.54.18	80	2	GET	i1.goal.com	/web/goal/2012.12.13-v1/images/default/site-elements/youtube-icon.png	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1857	200	OK	-	-	-	(empty)	-	-	-	-	-	FiQCvc3TX6FIPyi7B9	image/png
1355429995.364908	Cn3P9I1FXhW48UEevi	192.168.36.10	1031	65.112.54.48	80	3	GET	www.goal.com	/en-us/	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	207942	200	OK	-	-	-	(empty)	-	-	-	-	-	FzcGWa2MoEUtkvUIcl	text/html
1355429995.489511	CmP0QT385ShYYmiSzk	192.168.36.10	1043	195.93.85.9	80	1	GET	adserver.adtech.de	/addyn|3.0|327.0|3555308|0|225|ADTECH;cookie=info;alias=en-usHPTL;key=homepage:index;kvenv=production;kvpagetype=homepage:index;kvarticleid=;kvteamid=;kvmatchid=;kvsectionid=;loc=100;target=_blank;sub1=[subst];grp=1903830534;misc=1903830534	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1355429995.592036	CmP0QT385ShYYmiSzk	192.168.36.10	1043	195.93.85.9	80	2	GET	adserver.adtech.de	/addyn|3.0|327.0|3555308|0|225|ADTECH;cfp=1;rndc=1355429878;cookie=info;alias=en-usHPTL;key=homepage:index;kvenv=production;kvpagetype=homepage:index;kvarticleid=;kvteamid=;kvmatchid=;kvsectionid=;loc=100;target=_blank;sub1=[subst];grp=1903830534;misc=1903830534	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	590	200	OK	-	-	-	(empty)	-	-	-	-	-	FRGNpD21avBhTWRMs8	text/plain
1355429995.941656	CqI5PT1rYYGgCr7Omk	192.168.36.10	1046	38.111.107.205	80	1	GET	netearserver.com	/bs?id=48954&sid=58393&a=22&s=1	http://www.goal.com/en-us/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	394	200	OK	-	-	-	(empty)	-	-	-	-	-	FLhbC6w82WLOupSD2	text/html
