#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-46-51
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1327630265.199189	CoF9oh4jbaUlcIJLag	192.168.116.10	1030	218.103.249.94	80	1	GET	0p0km.uppinginquiry.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1327630266.218392	CGzyieOjmOKKzTTq8	192.168.116.10	1031	50.18.253.58	80	1	GET	next-step-2012.net	/main.php?page=ce57441e61ae2f12	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79966	200	OK	-	-	-	(empty)	-	-	-	-	-	FNvyZ749gYhlsO0CV1	text/html
1327630280.14948	CGzyieOjmOKKzTTq8	192.168.116.10	1031	50.18.253.58	80	2	GET	next-step-2012.net	/w.php?f=19&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FlZBbs2qmYQmDqGZPf	application/x-dosexec
1327630284.430636	CGzyieOjmOKKzTTq8	192.168.116.10	1031	50.18.253.58	80	3	GET	next-step-2012.net	/content/adfp2.php?f=19	http://next-step-2012.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12886	200	OK	-	-	-	(empty)	-	-	-	-	-	FwUwmI1wfGSBI80A9l	application/pdf
1327630286.003674	CHI3Cq1HdLhtwMlZN2	192.168.116.10	1037	50.18.253.58	80	1	GET	next-step-2012.net	/content/rino.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4378	200	OK	-	-	-	(empty)	-	-	-	-	-	FlTasC16suDWUj5Jmf	application/zip
1327630285.682822	CbP0ExebNnt8Pc3Tl	192.168.116.10	1036	50.18.253.58	80	1	GET	next-step-2012.net	/content/field.swf	http://next-step-2012.net/main.php?page=ce57441e61ae2f12	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1490	200	OK	-	-	-	(empty)	-	-	-	-	-	FRLBTu1BUBnurZwfV5	application/x-shockwave-flash
1327630299.102442	CrRmSD25Gy79eqYWf4	192.168.116.10	1038	50.18.253.58	80	1	GET	next-step-2012.net	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FEV7Td1ssUjjibqzMh	text/html
1327630296.635331	CGzyieOjmOKKzTTq8	192.168.116.10	1031	50.18.253.58	80	4	GET	next-step-2012.net	/w.php?f=19&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FHFVzHwBWZb1W8XE2	application/x-dosexec
1327630300.19902	CrRmSD25Gy79eqYWf4	192.168.116.10	1038	50.18.253.58	80	2	GET	next-step-2012.net	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FmZZ7M2gyxXoSa5HHa	text/html
1327630301.457367	CrRmSD25Gy79eqYWf4	192.168.116.10	1038	50.18.253.58	80	3	GET	next-step-2012.net	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FPZPA1KiXtUhX8eql	text/html
1327630302.740492	CrRmSD25Gy79eqYWf4	192.168.116.10	1038	50.18.253.58	80	4	GET	next-step-2012.net	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FdrUnt16NRf3FAN3pa	text/html
1327630303.936222	CrRmSD25Gy79eqYWf4	192.168.116.10	1038	50.18.253.58	80	5	GET	next-step-2012.net	/w.php?f=19&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	79872	200	OK	-	-	-	(empty)	-	-	-	-	-	FRLLvm1xB161NL2HAf	application/x-dosexec
#close	2014-04-03-10-46-52
