#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-08-45
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314995931.400622	CnILdb3PsSQ1FVjq79	192.168.62.10	1061	74.125.91.147	80	1	GET	www.google.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19300	200	OK	-	-	-	(empty)	-	-	-	-	-	FHcbmrJchVMpr5UG5	text/html
1314995923.13741	CMgVvIqWJQKCT2Dxb	192.168.62.10	1052	91.228.132.34	80	1	GET	actualsecure.ru	/w.php?f=24&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	924160	200	OK	-	-	-	(empty)	-	-	-	-	-	FlGo5A4sThJbG7av7h	application/x-dosexec
1314995926.346201	CuXM7A4zA5CzdEaTQ7	192.168.62.10	1056	91.228.132.34	80	1	GET	actualsecure.ru	/w.php?f=24&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	924160	200	OK	-	-	-	(empty)	-	-	-	-	-	FhkP9Y2ee2tjnua1d5	application/x-dosexec
1314995926.353509	Czf1rc4oNyzMun2RZ2	192.168.62.10	1055	91.228.132.34	80	1	GET	actualsecure.ru	/w.php?f=24&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	924160	200	OK	-	-	-	(empty)	-	-	-	-	-	FkaDhk4zHg3otomjqh	application/x-dosexec
1314995933.79653	Caa3ah3sfLQ1d2sHG1	192.168.62.10	1062	91.228.132.34	80	1	OPTIONS	91.228.132.34	/	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	0	200	OK	-	-	-	(empty)	-	-	-	-	-	-	-
1314995922.291093	CFNRlrMLxMpIoticj	192.168.62.10	1043	91.228.132.34	80	1	GET	actualsecure.ru	/w.php?f=24&e=1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	924160	200	OK	-	-	-	(empty)	-	-	-	-	-	FlBuqb49dkotfgDqg	application/x-dosexec
1314995934.165571	Caa3ah3sfLQ1d2sHG1	192.168.62.10	1062	91.228.132.34	80	2	PROPFIND	91.228.132.34	/pub	-	Microsoft-WebDAV-MiniRedir/5.1.2600	0	408	405	Method Not Allowed	-	-	-	(empty)	-	-	-	-	-	F8N9hi333sWZoYIHok	text/html
1314995937.752292	CnILdb3PsSQ1FVjq79	192.168.62.10	1061	74.125.91.147	80	2	GET	www.google.com	/images/close_sm.gif	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	76	200	OK	-	-	-	(empty)	-	-	-	-	-	FRwI9b3xDMcsvEK858	image/gif
1314995937.762314	CCBw2J3vdvzhSI9mnj	192.168.62.10	1063	74.125.91.147	80	1	GET	www.google.com	/images/icons/product/chrome-48.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1834	200	OK	-	-	-	(empty)	-	-	-	-	-	Foxhh922xwGJyrDlOh	image/png
1314995937.811121	CnILdb3PsSQ1FVjq79	192.168.62.10	1061	74.125.91.147	80	3	GET	www.google.com	/intl/en_ALL/images/srpr/logo1w.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7330	200	OK	-	-	-	(empty)	-	-	-	-	-	Fvn7JH3cpjSAI4YMya	image/png
1314995937.813423	CCBw2J3vdvzhSI9mnj	192.168.62.10	1063	74.125.91.147	80	2	GET	www.google.com	/images/mgyhp_sm.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	331	200	OK	-	-	-	(empty)	-	-	-	-	-	FLvn3044hGEPdFhVg2	image/png
1314995937.826758	CnILdb3PsSQ1FVjq79	192.168.62.10	1061	74.125.91.147	80	4	GET	www.google.com	/images/srpr/nav_logo80.png	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35636	200	OK	-	-	-	(empty)	-	-	-	-	-	FDMogI24JA3gh4mwje	image/png
1314995937.866726	CCBw2J3vdvzhSI9mnj	192.168.62.10	1063	74.125.91.147	80	3	GET	www.google.com	/images/modules/buttons/g-button-chocobo-basic-1.gif	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8987	200	OK	-	-	-	(empty)	-	-	-	-	-	FtUYxiskYeoTjNGp4	image/gif
1314995937.867294	CnILdb3PsSQ1FVjq79	192.168.62.10	1061	74.125.91.147	80	5	GET	www.google.com	/images/modules/buttons/g-button-chocobo-basic-2.gif	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	313	200	OK	-	-	-	(empty)	-	-	-	-	-	FHFJp12UP37MP9IeU1	image/gif
1314995938.014589	CCBw2J3vdvzhSI9mnj	192.168.62.10	1063	74.125.91.147	80	4	GET	www.google.com	/extern_js/f/CgJlbhICdXMrMEU4ACwrMFo4ACwrMA44ACwrMBc4ACwrMDw4ACwrMFE4ACwrMJgBOAAsKzAKOABALywrMBY4ACwrMBk4AJoCAnNoLCswJTgALCswTTgALCswTjgALCswVDgALCswYzgALCswaTgALCswkgE4ACwrMKwBOAAsKzAYOAAsKzAmOAAsgAJQkAJN/0yQW8r7ZDdY.js	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85967	200	OK	-	-	-	(empty)	-	-	-	-	-	FnfPS23Aj5EFXiexh3	text/plain
1314995938.154417	CnILdb3PsSQ1FVjq79	192.168.62.10	1061	74.125.91.147	80	6	GET	www.google.com	/csi?v=3&s=webhp&action=&e=28936,29774,30465,30542,31922,32580&ei=Zj5hTqDeGIPfgQepyqhu&expi=28936,29774,30465,30542,31922,32580&imc=4&imn=4&imp=4&rt=xjsls.110,prt.110,ol.203,iml.156,xjses.344,xjsee.360,xjs.438	http://www.google.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	204	No Content	-	-	-	(empty)	-	-	-	-	-	-	-
1314995926.161188	CbWmcS2pbCBNGTwwi5	192.168.62.10	1054	91.228.132.34	80	1	GET	actualsecure.ru	/w.php?f=24&e=0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	821415	200	OK	-	-	-	(empty)	-	-	-	-	-	Fvvykn1DUUMlyVtWQ3	application/x-dosexec
1314995939.647514	ChQMa31udZP5z70P3d	192.168.62.10	1067	66.249.137.9	80	1	GET	rebeccajessop.com	/fhg/g.php?id=111	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-11-08-46
