#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-58-19
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1343042176.00936	C0e3e54jFSXw805eag	192.168.15.10	1040	89.248.172.19	80	4	GET	boostdeeming.org	/w.php?f=5a20e&e=0	-	Java/1.6.0_10	0	4608	200	OK	-	-	-	(empty)	-	-	-	-	-	FOM6DD4tX3IyXoASX4	application/x-dosexec
1343042178.821223	C0e3e54jFSXw805eag	192.168.15.10	1040	89.248.172.19	80	5	GET	boostdeeming.org	/w.php?f=cf234&e=0	-	Java/1.6.0_10	0	34304	200	OK	-	-	-	(empty)	-	-	-	-	-	FSJlZB46Zs5kALRZz2	application/x-dosexec
1343042183.773838	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	1	GET	iljewscky.h19.ru	/farmspace/load.php?file=0	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	127058	200	OK	-	-	-	(empty)	-	-	-	-	-	FLNYE82CLOwVb3KKd9	application/x-dosexec
1343042185.290352	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	2	GET	iljewscky.h19.ru	/farmspace/load.php?file=0&luck=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FVhXXQosmIHYC8q27	text/html
1343042185.506966	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	3	GET	iljewscky.h19.ru	/farmspace/load.php?file=1	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FEYIlw37y1VExZEkMi	text/html
1343042185.707026	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	4	GET	iljewscky.h19.ru	/farmspace/load.php?file=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FPNQDI26IahBxclq1i	text/html
1343042185.897371	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	5	GET	iljewscky.h19.ru	/farmspace/load.php?file=3	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FWsH9H3yMTiGYtTUIl	text/html
1343042186.087125	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	6	GET	iljewscky.h19.ru	/farmspace/load.php?file=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FGEhIF3D2zQYUqn6E6	text/html
1343042186.280703	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	7	GET	iljewscky.h19.ru	/farmspace/load.php?file=5	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FXWQtj45MBoBUmba24	text/html
1343042186.469883	CLYj9R2xGzvQlgUa71	192.168.15.10	1044	89.108.68.94	80	8	GET	iljewscky.h19.ru	/farmspace/load.php?file=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	776	200	OK	-	-	-	(empty)	-	-	-	-	-	FPrOuu3ITeATqpzmh6	text/html
