#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-15-41
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1318657014.898419	CUpLxX1ZXuywydDpJ1	192.168.34.10	1030	69.89.31.215	80	1	GET	absbodybuilding.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1318657015.676893	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	1	GET	www.absbodybuilding.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	59155	200	OK	-	-	-	(empty)	-	-	-	-	-	FctPKm4RnBFS7XqM68	text/html
1318657016.650829	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	1	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/style.css	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27976	200	OK	-	-	-	(empty)	-	-	-	-	-	FEaIOVrZmBofhHSD4	text/plain
1318657016.967812	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	2	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/includes/js/pngfix.js	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5861	200	OK	-	-	-	(empty)	-	-	-	-	-	FsC06X334zokZaMRhh	text/plain
1318657017.11783	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	2	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/css/reset.css	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2001	200	OK	-	-	-	(empty)	-	-	-	-	-	F8UJsk2nxPKMODmax1	text/plain
1318657017.2567	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	3	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/includes/js/menu.js	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	743	200	OK	-	-	-	(empty)	-	-	-	-	-	FFQ0MS3HCIke9TzLjc	text/plain
1318657017.361542	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	3	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/css/ie6.css	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1869	200	OK	-	-	-	(empty)	-	-	-	-	-	F1SqQc4G1kd0EUI21	text/plain
1318657017.365531	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	4	GET	www.absbodybuilding.com	/wp-content/plugins/cb_goliath/template/post.css?ver=20110606132324	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1587	200	OK	-	-	-	(empty)	-	-	-	-	-	FQsN6X2fSsc1HgmfI5	text/plain
1318657017.44718	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	4	GET	www.absbodybuilding.com	/wp-content/plugins/contact-form-7/styles.css?ver=2.4.5	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	951	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq3xHs2zpBGZa8hDj8	text/plain
1318657017.460141	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	5	GET	www.absbodybuilding.com	/wp-includes/js/l10n.js?ver=20101110	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	308	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo7IwPjw0crNgXjo3	text/plain
1318657017.564189	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	5	GET	www.absbodybuilding.com	/wp-includes/js/jquery/jquery.js?ver=1.4.4	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	79244	200	OK	-	-	-	(empty)	-	-	-	-	-	FTjN5d44b0E71iWbH5	text/plain
1318657017.854935	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	6	GET	www.absbodybuilding.com	/wp-content/uploads/2011/03/jsScroller.php	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3717	200	OK	-	-	-	(empty)	-	-	-	-	-	FwkfmA3QZ0afkS3l7j	text/plain
1318657017.991873	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	6	GET	www.absbodybuilding.com	/wp-includes/js/jquery/ui.core.js?ver=1.8.9	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4324	200	OK	-	-	-	(empty)	-	-	-	-	-	FPrg4G2IjuCBhOmJtc	text/plain
1318657018.08085	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	7	GET	www.absbodybuilding.com	/wp-includes/js/jquery/ui.widget.js?ver=1.8.9	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3273	200	OK	-	-	-	(empty)	-	-	-	-	-	F6svPQHKAH6ciPsvk	text/plain
1318657018.173712	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	7	GET	www.absbodybuilding.com	/wp-includes/js/jquery/ui.tabs.js?ver=1.8.9	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11630	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ3WCN2K1r6sAHrA9g	text/html
1318657018.269221	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	8	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/functions/js/shortcodes.js?ver=1	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2390	200	OK	-	-	-	(empty)	-	-	-	-	-	FmO6Hk2HTLaDD1p31i	text/plain
1318657018.377125	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	8	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/includes/js/superfish.js?ver=5789	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4015	200	OK	-	-	-	(empty)	-	-	-	-	-	FpAvhg4Xv2vjMzijrh	text/plain
1318657018.372136	C8eKuY3cfIoOQIsx1j	192.168.34.10	1037	188.72.201.35	80	1	GET	pop.blogenvy.co.uk	/in.cgi?2	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	184	302	Found	-	-	-	(empty)	-	-	-	-	-	FfEtXo4ZPh8JKlWU02	text/html
1318657018.47079	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	9	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/includes/js/woo_tabs.js?ver=5789	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1903	200	OK	-	-	-	(empty)	-	-	-	-	-	F3kpdS1sSqaWDZJYJc	text/plain
1318657018.610371	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	9	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/includes/js/cufon-yui.js?ver=5789	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	18257	200	OK	-	-	-	(empty)	-	-	-	-	-	F8pCkY9ux7KyJriLb	text/plain
1318657018.752498	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	10	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/includes/js/Liberation.font.js?ver=5789	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	73826	200	OK	-	-	-	(empty)	-	-	-	-	-	FJNri5349MhTQ4KAFd	text/plain
1318657019.087317	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	10	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/includes/js/loopedSlider.js?ver=5789	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7333	200	OK	-	-	-	(empty)	-	-	-	-	-	F1LsUm3nH1cscX6hI	text/html
1318657019.176126	C1HojU1J5bzn4qirae	192.168.34.10	1032	69.89.31.215	80	11	GET	www.absbodybuilding.com	/wp-content/themes/headlines_enhanced/styles/blueline.css	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1369	200	OK	-	-	-	(empty)	-	-	-	-	-	FHCCl03XFk9CMVHuFd	text/plain
1318657019.175797	CuM4nO2kaUotLz3UHj	192.168.34.10	1031	69.89.31.215	80	11	GET	www.absbodybuilding.com	/wp-content/plugins/ReviewAZON/templates/Default/css/default.css	http://www.absbodybuilding.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16367	200	OK	-	-	-	(empty)	-	-	-	-	-	FeNzUz2EeQlQJL2vti	text/plain
