#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-10-06
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1328666710.099891	CMctfG17pe5qADtOb	192.168.26.10	1040	74.125.47.191	80	1	GET	www.blogger.com	/dyn-css/authorization.css?targetBlogID=959989246383132819&zx=10d7e7b5-b41f-444b-83d1-37483f27f1d8	http://www.amoviesz.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1	200	OK	-	-	-	(empty)	-	-	-	-	-	Fws0qM1Spg6yiwwCg6	application/octet-stream
1328666710.23003	Cdq1tC3UTxPvRWCYo9	192.168.26.10	1039	74.125.47.191	80	3	GET	www.blogger.com	/navbar.g?targetBlogID=959989246383132819&blogName=Mediafire+Movies!!+Free+movie+downloa...&publishMode=PUBLISH_MODE_HOSTED&navbarType=BLUE&layoutType=LAYOUTS&searchRoot=http://www.amoviesz.net/search&blogLocale=vi&homepageUrl=http://www.amoviesz.net/&vt=4965158345364062797	http://www.amoviesz.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4786	200	OK	-	-	-	(empty)	-	-	-	-	-	FhiGnC1ADGs7bblAT4	text/html
1328666710.350334	CApA573YCX7Wz7VXx8	192.168.26.10	1042	173.192.107.223	80	1	GET	amoviesz.com	/wp-content/uploads/2012/01/1212.jpg	http://www.amoviesz.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2423	200	OK	-	-	-	(empty)	-	-	-	-	-	FPjgfF2HmhMnpZ9yj4	image/jpeg
1328666710.350685	C1XkwXWcv9AA96iqd	192.168.26.10	1041	199.21.148.98	80	1	GET	ads.clicksor.com	/showAd.php?nid=1&pid=198039&adtype=2&sid=364629&zone=34472	http://www.amoviesz.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1290	200	OK	-	-	-	(empty)	-	-	-	-	-	FH4DEG1y3EaAqi4khg	text/html
1328666710.708181	CY3Ztz1zwXrAmG1DNl	192.168.26.10	1043	74.125.47.191	80	1	GET	img1.blogblog.com	/img/navbar/icons_orange.png	http://www.blogger.com/navbar.g?targetBlogID=959989246383132819&blogName=Mediafire+Movies!!+Free+movie+downloa...&publishMode=PUBLISH_MODE_HOSTED&navbarType=BLUE&layoutType=LAYOUTS&searchRoot=http://www.amoviesz.net/search&blogLocale=vi&homepageUrl=http://www.amoviesz.net/&vt=4965158345364062797	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	981	200	OK	-	-	-	(empty)	-	-	-	-	-	FRHZYA2XGzUMylWYCh	image/png
1328666710.889943	CtlUiJ3uPt9XbRjQyc	192.168.26.10	1044	199.21.148.89	80	1	GET	serw.clicksor.com	/newServing/getkey.php?cb=getkey&ob=Yesup.clicksor.Code[1]&nid=1&pid=198039&sid=364629&spid=0&ns=0&nw=1&zone=34472&url=http://www.amoviesz.net/&lb=0&oe=utf-8&t3243180&txt=Mediafire Movies!! Free movie download with Mediaf	http://www.amoviesz.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	647	200	OK	-	-	-	(empty)	-	-	-	-	-	FRW6sB1DSu9fPannP4	text/plain
1328666710.964477	C4c1N3GkzfDCsEfIe	192.168.26.10	1035	199.21.148.17	80	3	GET	pub.clicksor.net	/newServing/img/logo.png	http://www.amoviesz.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2649	200	OK	-	-	-	(empty)	-	-	-	-	-	FSNfwf3iKmIJwU7Xfg	image/png
1328666711.028351	Cafke03NLztJt6DV21	192.168.26.10	1045	199.21.148.89	80	1	GET	serw.clicksor.com	/newServing/showbanner.php?nid=1&t2611.567608074632&zone=34472&chad=1&oe=utf-8&cs=&adtype=2&sid=364629&pid=198039&spid=0&adu=2&image=3&c1=&c2=&c3=&c4=&memkey=7276474b419589125419654edfd08b1b&qp=YF4lJzD7JSgl-SMy-ywu91tZYCcmLSJ9IjXzZl4r_CAufPxrYSUhL3srLSR9JTUh_F5lJSMs&bdurl=&lq=0&lb=129&orid=6935086	http://www.amoviesz.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4911	200	OK	-	-	-	(empty)	-	-	-	-	-	F1x0g73ZcZemzTv24	text/html
1328666711.306685	C4c1N3GkzfDCsEfIe	192.168.26.10	1035	199.21.148.17	80	4	GET	pub.clicksor.net	/newServing/js/banner.js	http://serw.clicksor.com/newServing/showbanner.php?nid=1&t2611.567608074632&zone=34472&chad=1&oe=utf-8&cs=&adtype=2&sid=364629&pid=198039&spid=0&adu=2&image=3&c1=&c2=&c3=&c4=&memkey=7276474b419589125419654edfd08b1b&qp=YF4lJzD7JSgl-SMy-ywu91tZYCcmLSJ9IjXzZl4r_CAufPxrYSUhL3srLSR9JTUh_F5lJSMs&bdurl=&lq=0&lb=129&orid=6935086	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4860	200	OK	-	-	-	(empty)	-	-	-	-	-	F3D6s74oFGmeMRoL05	text/plain
1328666711.397084	CY3Ztz1zwXrAmG1DNl	192.168.26.10	1043	74.125.47.191	80	2	GET	img1.blogblog.com	/img/icon18_wrench_allbkg.png	http://www.amoviesz.net/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	475	200	OK	-	-	-	(empty)	-	-	-	-	-	F90vpY3MIM962vL6il	image/png
