#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-59-28
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331172455.142038	C3BitY1WM3mJXOZ6Fa	192.168.94.10	1034	67.213.222.13	80	4	GET	www1.safehfantivir.in	/cl/7/main_sprite.jpg	http://www1.safehfantivir.in/usa8v93?ixs8y=jfHYqeTensjb1tTR55re382voaioaJ%2Fjysqim4zC0Nbbs6vIuZ7fq7akkZacjtXUq%2BvfzrmYy%2BHXddvSqqubjt7T593Ps9zZy%2BncrJ%2FWxKO6u4zK3rGgqpekmq%2Bha6%2Bhmp6L29rC4uncs5qY4OHXdbGokYzZ3NKez6Wcq86mmqinb6qZ1dmimZmUn6WgqJyjnZ7Xp%2BbUytSi393YoaLZ29vl2ObUpPPVydXRzMvTnN3XnOPd1NnedeLbwsvV0Io%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23159	200	OK	-	-	-	(empty)	-	-	-	-	-	FJ8KAK1X2TWKWWDqrf	image/jpeg
1331172457.205343	CdZrKA72Rp4hFXxLj	192.168.94.10	1040	67.213.222.13	80	1	GET	www1.safehfantivir.in	/xGCcYMkf.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2467	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbng4b1GI5uXwAcyFf	application/zip
1331172457.322495	CdZrKA72Rp4hFXxLj	192.168.94.10	1040	67.213.222.13	80	2	GET	www1.safehfantivir.in	/xGCcYMkf.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2467	200	OK	-	-	-	(empty)	-	-	-	-	-	FMcMxh3QjmK7BCXPZj	application/zip
1331172457.01117	CvzgT535oC6LjkbhRh	192.168.94.10	1039	46.249.35.83	80	1	GET	www1.powerscanerxpbm.it.cx	/?693gu6f=Wpygy7Kb3tWV7M7WsJuRo5WY7OTOqpdqZpzaapego66WmOfWnp+YpamhmZ9pameN4amjoZ+nnJjUxcPgorTOwIjdn51wmpupig==&t=31	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	92677	200	OK	-	-	-	(empty)	-	-	-	-	-	FQcSWe1gQm6Pluj6Tl	application/x-dosexec
1331172457.525924	CdZrKA72Rp4hFXxLj	192.168.94.10	1040	67.213.222.13	80	3	GET	www1.safehfantivir.in	/xGCcYMkf.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	2467	200	OK	-	-	-	(empty)	-	-	-	-	-	F0pjG41oEQ7YW7kCG7	application/zip
1331172457.671228	CdZrKA72Rp4hFXxLj	192.168.94.10	1040	67.213.222.13	80	4	GET	www1.safehfantivir.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FCMpAa1DBfY0ir7NG	text/html
1331172457.769739	CdZrKA72Rp4hFXxLj	192.168.94.10	1040	67.213.222.13	80	5	GET	www1.safehfantivir.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F9U2S91p2qCc0m1pW1	text/html
1331172457.808744	CdZrKA72Rp4hFXxLj	192.168.94.10	1040	67.213.222.13	80	6	GET	www1.safehfantivir.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F4hpPm45BRABhrR1Kg	text/html
1331172457.809142	CVKFqptKq8dxDhRy9	192.168.94.10	1041	74.82.198.253	80	1	GET	update1.nilafaloptjipag.net	/index.php?8a8e19=mNjf0tXm1J2a09upycfU1JXd3c6mo8ablNKZpKjSncWryZNln8qfwsyW0KSl2ZzN0ZOeZ9SJ	-	Mozilla/3.0	0	64	200	OK	-	-	-	(empty)	-	-	-	-	-	FtzONjqhbACKumwKl	text/plain
1331172457.857006	CdZrKA72Rp4hFXxLj	192.168.94.10	1040	67.213.222.13	80	7	GET	www1.safehfantivir.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	162	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FW24gK2MSbfI6DDokb	text/html
1331172457.914391	C9TNMU26qGJQ9QWMLg	192.168.94.10	1042	67.230.163.30	80	1	GET	report1.nilafaloptjipag.net	/?8a8e19=XeTK4N7k6G5718ze0M/P3+PR4NaP0dHXgufV2XWUXtKana+Y1aPY2GVeoculxZ3Fzqah1Z3K1pbLY6PKppzCapxqn5jR46yjpGFllN7VxaOZnKSgmuHfrdjdhr6L5KHFdYuarMXZ0eHmsWJS	-	Mozilla/3.0	0	6	200	OK	-	-	-	(empty)	-	-	-	-	-	FeutFeoV5BcHsNHdf	binary
1331172458.107817	C1h9YVmdY9S6et8m6	192.168.94.10	1043	67.213.222.14	80	1	GET	www2.hardrisuite.in	/?j37s=jpak16XG6smY3tzZpqyVn2Nd59zNr8WjnKjanaWVnmpomdzUr5WlnKSmoKaYm2dd39ueo5SioJnWy9bXp3WNw47R28ivnJnojQ==&t=15	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	92677	200	OK	-	-	-	(empty)	-	-	-	-	-	FJwnng3GRZRYWodNI2	application/x-dosexec
1331172458.957264	Cvr9yp3cF02Emsxaxe	192.168.94.10	1044	74.82.198.253	80	1	GET	update1.nilafaloptjipag.net	/index.php?8a8e19=mNjf0tXm1J2a09upzs/E3t7Z4t3d0c3Tk+CL1dfS1p62u4FU4c7g1ta15d/VseLZltXbmquXpqaompOkm2GSp4/cysqekuTZ2KehoJaXVNvO2LKjyZXayWVeoculxZ3Fzqah1Z3K1pbLY6PKptnRlpity1U=	-	Mozilla/3.0	0	2953728	200	OK	-	-	-	(empty)	-	-	-	-	-	FlK0gl4zLJCMpBEyy6	binary
1331172467.314272	CGd19D12PseOhNtFK2	192.168.94.10	1045	67.230.163.30	80	1	GET	report1.nilafaloptjipag.net	/?8a8e19=XeTK4N7k6G5718ze0M/P3+PR4NaP0dHXgufV2XWUXtKana+Y1aPY2GVeoculxZ3Fzqah1Z3K1pbLY6PKppzCapxqn5jR46yjpGFllN7VxaOZnKSgmuHfrdjdhr6L5KHFdYuarMXZ0eHmsWFS	-	Mozilla/3.0	0	6	200	OK	-	-	-	(empty)	-	-	-	-	-	FXHNnK17ICLnhggwd8	binary
#close	2014-04-03-10-59-28
