#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-15-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357682629.880593	CmImKo3VeFjx2PUUCk	192.168.105.10	1030	72.29.74.235	80	1	GET	urbangrafic.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	42047	200	OK	-	-	-	(empty)	-	-	-	-	-	F7FYA81bmEfDYl8GY2	text/html
1357682630.443428	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	1	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/2806f527443fc426fe55714d26b44880Y$C.js?origin=01216b17266d	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	68817	200	OK	-	-	-	(empty)	-	-	-	-	-	Fl2wbZCatXcN9vEf6	text/plain
1357682630.55785	Cv6ZH03hKDtglq1fSg	192.168.105.10	1032	5.135.67.198	40621	1	GET	natural9.de	/t/785fe35bdeac16baf69b93434644d75c	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	331	200	OK	-	-	-	(empty)	-	-	-	-	-	F9VKdRu4lhtJpaNM1	text/plain
1357682630.676381	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	2	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/library/pngfix.js	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	957	200	OK	-	-	-	(empty)	-	-	-	-	-	FoCCC912ly1NaJzPYb	text/plain
1357682630.696096	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	1	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/031aac49724b7570a0ec16afc9d4779bY$C.css.Y$DU.css?origin=01216b17266d	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20624	200	OK	-	-	-	(empty)	-	-	-	-	-	FLyGMy4NGYH9fPAQv8	text/plain
1357682630.711863	CekV9131c3QaP1rgGk	192.168.105.10	1035	208.89.13.133	80	1	GET	server.iad.liveperson.net	/hc/57980352/?cmd=repstate&site=57980352&channel=web&&ver=1&imageUrl=http://www.goldencomm.com/liveperson/	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357682630.867936	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	3	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/logo-gsc.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7678	200	OK	-	-	-	(empty)	-	-	-	-	-	FK4mN92q4gZzFuJI6g	image/png
1357682630.868248	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	2	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/banners2011/home-banner-people2.jpg	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	71673	200	OK	-	-	-	(empty)	-	-	-	-	-	FMFAs3GgSHj0OG2yd	image/jpeg
1357682630.92636	CYAIlE2yNpBfdIK1u8	192.168.105.10	1034	72.21.91.87	80	3	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/banners2011/home-banner-ecom.jpg	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	68061	200	OK	-	-	-	(empty)	-	-	-	-	-	FTPzK7oVwFypD6D4	image/jpeg
1357682630.923621	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	4	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/banners2011/home-banner-seminar-big.jpg	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	69083	200	OK	-	-	-	(empty)	-	-	-	-	-	F0EsvvGGGh8vir6T5	image/jpeg
1357682630.981597	CAHHS2q3lniCHAFr7	192.168.105.10	1033	72.21.91.87	80	5	GET	s-ff0102-5064b0975b15f26c4e00a181-0.yottaa.net	/5064b0975b15f26c4e00a181/www.goldencomm.com/v~14/images/icon-seminar-main.png	http://urbangrafic.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27747	200	OK	-	-	-	(empty)	-	-	-	-	-	Fs4y0S2YYowO2AUy12	image/png
