#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-52-33
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338765586.715045	CVnFKc4xZfmx7BNBwd	192.168.41.10	1039	67.209.224.55	80	4	GET	www1.firstncg-suite.uni.me	/cl/7/main_sprite.jpg	http://www1.firstncg-suite.uni.me/m66w61yb?wvox=m%2BDh39um5Nvl38WNotzZpqyWp6aV6M%2FNr6aaz8XJn7DIuciL4%2BmsqZaZqZnj4aDeo8vFj9bO27PR16%2BuqJnu48vLauHj4uzW2u2V28mmx8aa19OkY6ejm6eapaekrZShp5nn4sTbouaymprc4NqsqZaaq5no4s%2BkkKTYnqqZ2K%2BlrJyP5uaxn5aaZaqrnqibqZzT59PK2%2BGx5dreYaHo1tXX66Pk487K5ODtnMbWmpng29jQ5LPe6NLf3%2Bbokg%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23159	200	OK	-	-	-	(empty)	-	-	-	-	-	FOuDAR1u3hrWklDBdh	image/jpeg
1338765586.715312	CahZ3UP1z3VApiQy9	192.168.41.10	1038	67.209.224.55	80	5	GET	www1.firstncg-suite.uni.me	/cl/7/table_divider.gif	http://www1.firstncg-suite.uni.me/m66w61yb?wvox=m%2BDh39um5Nvl38WNotzZpqyWp6aV6M%2FNr6aaz8XJn7DIuciL4%2BmsqZaZqZnj4aDeo8vFj9bO27PR16%2BuqJnu48vLauHj4uzW2u2V28mmx8aa19OkY6ejm6eapaekrZShp5nn4sTbouaymprc4NqsqZaaq5no4s%2BkkKTYnqqZ2K%2BlrJyP5uaxn5aaZaqrnqibqZzT59PK2%2BGx5dreYaHo1tXX66Pk487K5ODtnMbWmpng29jQ5LPe6NLf3%2Bbokg%3D%3D	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12548	200	OK	-	-	-	(empty)	-	-	-	-	-	FHdd4J3UeQfH6taDsh	image/gif
1338765586.834726	CZ7YCqAf3qhpL0bi6	192.168.41.10	1040	174.127.81.215	80	1	GET	www2.topfnetwork.us.to	/?4v98four=WNmmnKPU7dea5NnKq52lp5+Y36jidpuX0qqoqNCpnKKbmuvir5xnqXFvnKSpqKaV3NmrlqSnppjMltirdbm/yZjk2NSjoYvnmw==&t=31	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	120837	200	OK	-	-	-	(empty)	-	-	-	-	-	FwAylB3Ycdd3rMGfHk	application/x-dosexec
1338765587.96941	C0ALcA3OIFUHwHytM1	192.168.41.10	1041	67.209.224.55	80	1	GET	www1.firstncg-suite.uni.me	/FkabLJ.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14215	200	OK	-	-	-	(empty)	-	-	-	-	-	FG2opsKM97KVAwmQ2	application/zip
1338765588.174871	C0ALcA3OIFUHwHytM1	192.168.41.10	1041	67.209.224.55	80	2	GET	www1.firstncg-suite.uni.me	/FkabLJ.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14215	200	OK	-	-	-	(empty)	-	-	-	-	-	FqoWpB1tuQXyQhN5C7	application/zip
1338765588.402019	C0ALcA3OIFUHwHytM1	192.168.41.10	1041	67.209.224.55	80	3	GET	www1.firstncg-suite.uni.me	/FkabLJ.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14215	200	OK	-	-	-	(empty)	-	-	-	-	-	FbEBtI3wjpMrDh2lRi	application/zip
1338765588.539729	CFgfET2lPwgfx9R8ug	192.168.41.10	1042	74.82.198.251	80	1	GET	update.nilaelwspelba.com	/index.php?a8e322=kdjf0tXm1Jrazt6ezc3q25bS1caeY8ajo67Rm8apnZOgoKDClaOv1tOVnpTHYZSl0qmiyJGY	-	Mozilla/3.0	0	64	200	OK	-	-	-	(empty)	-	-	-	-	-	F1JZRw3F1zyaKEG3M5	text/plain
1338765588.880225	CAnq6n3y7ZKU7olJKj	192.168.41.10	1044	67.230.163.30	80	1	GET	report.nilaelwspelba.com	/?a8e322=VuTK4N7k6Gu70s/T1NXl5uTG2M6Hj9PfwdqoynBlWN/O1Kyn12Kkos2YyqGv2KKcoMORZZvS0JFql5llY6jKpKHWpFTa3KmSlZyumeXO0J+ZX5Ofk9iuoqqoisKL4NjWsVTX3L/Vxt7rsKGJ	-	Mozilla/3.0	0	6	200	OK	-	-	-	(empty)	-	-	-	-	-	F5DuoYKn0nM0Pjsre	binary
1338765588.569821	CoX99n1LrwEnMl6wm4	192.168.41.10	1043	174.127.81.215	80	1	GET	www2.power-guardukc.dnset.com	/?cv7msxpqg=h9mk0bDd6NaN5djboqpel6WH5tjhqMaU2Wyjp9mpp5umlevYr16aqJmpmqqfmZWco+CwqaChnpbQ2cfkarrFtZjU3s+glpyqkQ==&t=16	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	120837	200	OK	-	-	-	(empty)	-	-	-	-	-	FyHL4G4ZzYU7BWfwL3	application/x-dosexec
1338765589.876495	CDNSFZ1NV9ES7PHB12	192.168.41.10	1045	74.82.198.251	80	1	GET	update.nilaelwspelba.com	/index.php?a8e322=kdjf0tXm1Jrazt6e0tXa5d/O2tXVj8/b0ueWxcPW12vBucCH2NHr6OC55dLGa9vfk+nk0J6ml2Gfm6OWnc/dq5bV1caeVNjY0bKolZGki5vXzamWyKCtrNGc0ZeZk5Wmodagm5nXyF6gm9KUlqLcp6LJnIY=	-	Mozilla/3.0	0	4171776	200	OK	-	-	-	(empty)	-	-	-	-	-	Fgejsg4IdDUhBfFHk4	binary
1338765610.721147	Cu0EGS2Ej0SW8vYXLg	192.168.41.10	1046	67.230.163.30	80	1	GET	report.nilaelwspelba.com	/?a8e322=VuTK4N7k6Gu70s/T1NXl5uTG2M6Hj9PfwdqoynBlWN/O1Kyn12Kkos2YyqGv2KKcoMORZZvS0JFql5llY6jKpKHWpFTa3KmSlZyumeXO0J+ZX5Ofk9iuoqqoisKL4NjWsVTX3L/Vxt7rsKCJ	-	Mozilla/3.0	0	6	200	OK	-	-	-	(empty)	-	-	-	-	-	FLx8GMVh78SSPuYXh	binary
#close	2014-04-03-10-52-34
