#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-12-49
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1357377504.491036	CyheyF21mxLpjQsjg	192.168.6.10	1030	212.95.58.93	80	1	GET	fapimage.net	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1357377504.845616	CYwjbg38cAyVP7c6ul	192.168.6.10	1031	94.23.76.187	80	1	GET	tiia.11wingerson.info	/?71f990070cc3a8f7d012252731217895=17&1993e5ce1eb94c343e0cd4a60da179b3=	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	520	200	OK	-	-	-	(empty)	-	-	-	-	-	FANcEu14BATS0xDBNf	text/html
1357377505.086085	C4ukrn1rSu91bOn9Ag	192.168.6.10	1032	94.23.76.187	80	1	GET	tiia.11wingerson.info	/6576cb41cac83777ddf1776c0997952b.eot	http://tiia.11wingerson.info/?71f990070cc3a8f7d012252731217895=17&1993e5ce1eb94c343e0cd4a60da179b3=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4190	200	OK	-	-	-	(empty)	-	-	-	-	-	FHaIR343vD82tzfxxe	application/vnd.ms-fontobject
1357377505.812096	Ci8Ok32UzTUlJ2GyQ4	192.168.6.10	1034	94.23.76.187	80	1	GET	94.23.76.187	/?e7ec31b939c1d80e45f9df0520bb7009	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	71680	200	OK	-	-	-	(empty)	-	-	-	-	-	FCocfg2Mk95BqNGsn9	application/x-dosexec
1357377509.564246	CKBGqD1w4Lt3ht8c8i	192.168.6.10	1040	94.23.76.187	80	1	GET	tiia.11wingerson.info	/08d0cdafa69e5031d71486b91d67a1f3/d169fd62ba7e06de5d644b311c99e7f3.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	F4qMry4QAh92Vwoojk	application/jar
1357377509.809057	CIxrqQ2wLD0L2VRPP	192.168.6.10	1042	94.23.76.187	80	1	GET	tiia.11wingerson.info	/08d0cdafa69e5031d71486b91d67a1f3/d169fd62ba7e06de5d644b311c99e7f3.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk1gPY2IeZaqe6Glv3	application/jar
1357377510.095779	CeeTKn3jqy3X4SSrGk	192.168.6.10	1043	94.23.76.187	80	1	GET	tiia.11wingerson.info	/08d0cdafa69e5031d71486b91d67a1f3/d169fd62ba7e06de5d644b311c99e7f3.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9293	200	OK	-	-	-	(empty)	-	-	-	-	-	FOJnMz39ixI2KQLmvb	application/jar
1357377510.37427	Cs7EQc1aj7AvWdlsth	192.168.6.10	1044	94.23.76.187	80	1	GET	tiia.11wingerson.info	/08d0cdafa69e5031d71486b91d67a1f3/0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	71680	200	OK	-	-	-	(empty)	-	-	-	-	-	FP0Fcg1Xv9OCNu3K9j	binary
1357377509.883156	CUXNuN1F8DZMsWCDD3	192.168.6.10	1041	91.201.215.176	80	1	POST	91.201.215.176	/CallBack/SomeScripts/mgsNewPeer.php	-	-	96	58	200	OK	-	-	-	(empty)	-	-	-	Fgp6Qx1C1VNshPCnSl	text/plain	FHRePh3ZAWNUp6lsli	text/html
1357377512.396143	CqniIp2sG0DCPpLyd2	192.168.6.10	1046	91.201.215.176	80	1	POST	91.201.215.176	/CallBack/SomeScripts/mgsGetMGList.php	-	-	99	179	200	OK	-	-	-	(empty)	-	-	-	FKmhgJ3lGPebBw8ZZe	text/plain	FxQ5L9r4GWRuGDX1j	text/html
1357377512.97869	CoQh8f2XNodB08VGm4	192.168.6.10	1045	94.23.76.187	80	1	GET	tiia.11wingerson.info	/08d0cdafa69e5031d71486b91d67a1f3/1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	35800	200	OK	-	-	-	(empty)	-	-	-	-	-	FBQ8h31y7okHjVdRth	binary
1357377513.460298	C0dbzu1YXIX3ykioSi	192.168.6.10	1048	94.23.76.187	80	1	GET	tiia.11wingerson.info	/08d0cdafa69e5031d71486b91d67a1f3/2	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	193024	200	OK	-	-	-	(empty)	-	-	-	-	-	FOBt0BZPCscoYdWR6	binary
1357377522.814858	CEPnQN2577YvQAxB01	192.168.6.10	1058	50.22.196.70	80	1	GET	j.maxmind.com	/app/geoip.js	-	-	0	502	200	OK	-	-	-	(empty)	-	-	-	-	-	FoTAJ62Ih777fiGqdd	text/plain
1357377526.054509	Cs2RtY2W4pJfZRVr6k	192.168.6.10	1055	94.23.76.187	80	1	GET	tiia.11wingerson.info	/08d0cdafa69e5031d71486b91d67a1f3/3	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	581632	200	OK	-	-	-	(empty)	-	-	-	-	-	FNYGX01Dg8bOeVQsFg	binary
1357377540.81494	CbjkbF3Q5xb0R4XN0b	192.168.6.10	1096	94.23.76.187	80	1	GET	tiia.11wingerson.info	/08d0cdafa69e5031d71486b91d67a1f3/4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	167936	200	OK	-	-	-	(empty)	-	-	-	-	-	FdPhAK3oem3ubEuHzj	binary
1357377542.853445	CF2NC1HVT8nZFRf6	192.168.6.10	1102	103.4.225.41	80	1	GET	103.4.225.41	/api/urls/?ts=2b759d24&affid=59800	-	Mozilla/5.0 (compatible; MSIE 6.0; Windows NT 5.1; Trident/5.0);(b:2600;c:AMD-32F0;l:09)	0	54	200	OK	-	-	-	(empty)	-	-	-	-	-	FWLQawTproptFfnBg	text/plain
