#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-07-22
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1395082792.079709	COpniY1SFbFDGxHAm6	192.168.37.10	1036	69.162.121.130	80	1	GET	langveler.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	204	302	Found	-	-	-	(empty)	-	-	-	-	-	F4ikT53rVeDGtZxI44	text/html
1395082792.298668	CyVj892GkO9halemzk	192.168.37.10	1037	173.194.72.101	80	1	GET	goo.gl	/zJ2pGb	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	231	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FyatP31XwCQWc5Z2E1	text/html
1395082792.823275	CgpEgP34AEzG6XSnNf	192.168.37.10	1038	64.71.142.27	80	1	GET	www.filessly.com	/download/1/9210000/Update	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	3	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	Fl1DHUp04RrbHbV8c	text/plain
1395082794.0048	CgpEgP34AEzG6XSnNf	192.168.37.10	1038	64.71.142.27	80	2	GET	www.filessly.com	/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	4248	200	OK	-	-	-	(empty)	-	-	-	-	-	FoFlj6IdUqakV30Ah	text/html
1395082794.44728	CkGY6v2WmW9EfFffz1	192.168.37.10	1039	64.71.142.27	80	1	GET	www.filessly.com	/css/layout1/style.css	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	2205	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ1dbo1jRNEYvEE6j1	text/plain
1395082794.470341	CcvHfPX3Yw3TMHoo1	192.168.37.10	1040	64.71.142.27	80	1	GET	www.filessly.com	/js/common.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1174	200	OK	-	-	-	(empty)	-	-	-	-	-	FiaSFw2IGGo7FZgLWf	text/plain
1395082794.4707	CJ6QLRfO1CuajdaAf	192.168.37.10	1041	64.71.142.27	80	1	GET	www.filessly.com	/js/jquery.cookie.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	1941	200	OK	-	-	-	(empty)	-	-	-	-	-	FD5P142kUwNNJKFFz	text/plain
1395082794.792447	CkGY6v2WmW9EfFffz1	192.168.37.10	1039	64.71.142.27	80	2	GET	www.filessly.com	/js/jquery.fileDownload.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	16372	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe1TIMvO1QCUJHp1b	text/plain
1395082794.44288	CgpEgP34AEzG6XSnNf	192.168.37.10	1038	64.71.142.27	80	3	GET	www.filessly.com	/js/jquery-1.8.2.min.js	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	93434	200	OK	-	-	-	(empty)	-	-	-	-	-	FQ5Ueq2PbJO9bmXXU1	text/plain
1395082795.569342	CgpEgP34AEzG6XSnNf	192.168.37.10	1038	64.71.142.27	80	4	GET	www.filessly.com	/images/layout1/vert_line.png	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	522	200	OK	-	-	-	(empty)	-	-	-	-	-	F5shOU1FfO2Cw8P5H7	image/png
1395082795.544126	CcvHfPX3Yw3TMHoo1	192.168.37.10	1040	64.71.142.27	80	2	GET	www.filessly.com	/images/layout1/ani.gif	http://www.filessly.com/fetch/Update/MS05MjEwMDAwLTEzOTUwODI2NzYtZmY2OWQ2NjM0MjJkMDExYjUwYjJhNDIzNzlmYTZlYzY	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	19763	200	OK	-	-	-	(empty)	-	-	-	-	-	FXH8ui2f6vGoSMrfal	image/gif
