#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-07-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321988854.804754	Cu91uf0cIg0dsqws1	192.168.27.10	1030	66.96.160.139	80	1	GET	greenling.ca	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	226	302	Found	-	-	-	(empty)	-	-	-	-	-	FRFvuA1fOd8B6Nsbu4	text/html
1321988858.168218	C8eZwg1E1mEcVNFp05	192.168.27.10	1031	95.163.89.196	80	1	GET	kilicgunu-izle.info	/early/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1354	200	OK	-	-	-	(empty)	-	-	-	-	-	FPIq2J1HCt1bmDymCk	text/html
1321988858.719721	CzwOTV3kxb2Norjmze	192.168.27.10	1036	95.163.89.196	80	1	GET	zyzul.info	/www.php?page=b5af6db59003531d	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	96474	200	OK	-	-	-	(empty)	-	-	-	-	-	Frs1Z9zOUe6dUkW59	text/html
1321988876.077859	CE1GXD4mK5Q1J47oQ1	192.168.27.10	1037	95.163.89.196	80	1	GET	zyzul.info	/content/g43kb6j34kblq6jh34kb6j3kl4.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5908	200	OK	-	-	-	(empty)	-	-	-	-	-	FZ3GmO2e66NQnTI8X3	application/zip
1321988876.301401	CzwOTV3kxb2Norjmze	192.168.27.10	1036	95.163.89.196	80	2	GET	zyzul.info	/w.php?f=149&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	416768	200	OK	-	-	-	(empty)	-	-	-	-	-	FGj8BM2PqwYvUEHxRh	application/x-dosexec
1321988879.856829	CzwOTV3kxb2Norjmze	192.168.27.10	1036	95.163.89.196	80	3	GET	zyzul.info	/content/2ddfp.php?f=149	http://zyzul.info/www.php?page=b5af6db59003531d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91775	200	OK	-	-	-	(empty)	-	-	-	-	-	FAcXML2LuFCfrArlm1	application/pdf
1321988884.075266	C6W7dbmFvgdbY1TUk	192.168.27.10	1050	212.124.109.242	80	1	GET	212.124.109.242	/api/urls/?affid=20800	http://212.124.109.242	Mozilla/4.0 (compatible; MSIE 7.0; Windows NT 5.1; GTB0.0; .NET CLR 1.1.4322)	0	39	200	OK	-	-	-	(empty)	-	-	-	-	-	FGzmnw2IWjjGMmc0rl	text/plain
1321988880.729937	Ckjsbc1oSHqnyEiWk5	192.168.27.10	1043	95.163.89.196	80	1	GET	zyzul.info	/w.php?f=149&e=1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	416768	200	OK	-	-	-	(empty)	-	-	-	-	-	Fm51U3DeHHSVvU4I2	application/x-dosexec
1321988892.748957	CWdiVz2sGu2KsdAtg8	192.168.27.10	1052	95.163.89.196	80	1	GET	zyzul.info	/content/field.swf	http://zyzul.info/www.php?page=b5af6db59003531d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1379	200	OK	-	-	-	(empty)	-	-	-	-	-	FgIzM53ugRuDf9h97l	application/x-shockwave-flash
1321988892.274928	C7wRnW1i030ym1pryb	192.168.27.10	1045	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	F5oiafgEBJa3p5VO4	application/x-java-applet
1321988892.370237	CPQGeDRtLS0hxY748	192.168.27.10	1049	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	FGDqLV2epZaDgCkivd	application/x-java-applet
