#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-42-36
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1341049513.591332	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	9	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_hdbt_02.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1402	200	OK	-	-	-	(empty)	-	-	-	-	-	FhmJ9RUiK39gGkqbk	image/png
1341049513.590988	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	7	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_lo.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6752	200	OK	-	-	-	(empty)	-	-	-	-	-	F9uUHR3JocbEDHbHI8	image/png
1341049513.666816	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	10	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/icon_new.gif	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2054	200	OK	-	-	-	(empty)	-	-	-	-	-	Ff0W965wmx7DJSA8j	image/gif
1341049513.667147	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	8	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_m05.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10831	200	OK	-	-	-	(empty)	-	-	-	-	-	FGNfe03kWWMBUROB48	image/png
1341049513.729122	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	11	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_bt01.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7595	200	OK	-	-	-	(empty)	-	-	-	-	-	FSvfLk4BmDgXjwHXg2	image/png
1341049513.729414	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	9	GET	imgcdn.pandora.tv	/ptv_img/pandora_images/channel_newtag.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1726	200	OK	-	-	-	(empty)	-	-	-	-	-	FEojYG3X6E0wWoHHx2	image/png
1341049513.792442	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	12	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_hdbt_01.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1563	200	OK	-	-	-	(empty)	-	-	-	-	-	FkmBJs4OYD03Dxjqbg	image/png
1341049513.792744	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	10	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_hdbt_03.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2085	200	OK	-	-	-	(empty)	-	-	-	-	-	FK6Ltyr55UfcCOGWi	image/png
1341049513.857196	CzT8jD2dcektaDFDC9	192.168.80.10	1032	209.137.130.253	80	11	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_hdbt_05.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2304	200	OK	-	-	-	(empty)	-	-	-	-	-	FlJRyj44hqs9COqrre	image/png
1341049513.856932	CBJ01zh6feQLDlsDh	192.168.80.10	1033	209.137.130.253	80	13	GET	imgcdn.pandora.tv	/ptv_img/everyon_img/ev_hdbt_06.png	http://everyon.pandora.tv/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2183	200	OK	-	-	-	(empty)	-	-	-	-	-	FNoxcW279B8Pss8jV6	image/png
