#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-59-16
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1361907280.702813	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	8	GET	cdn.pastemagazine.com	/www/articles/YeahYeahYeahsMosquito.jpeg?1358159193	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	107290	200	OK	-	-	-	(empty)	-	-	-	-	-	Fjkztq4G9kCvZ8CFqa	image/jpeg
1361907280.76949	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	8	GET	cdn.pastemagazine.com	/www/articles/national300.jpg?1361795801	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13830	200	OK	-	-	-	(empty)	-	-	-	-	-	FkiKYi1qGgnM2YOpLg	image/jpeg
1361907280.725026	CFKoqe4a2pkYorT3N1	192.168.44.10	1053	85.17.26.163	80	1	GET	magic.doomsday.cl	/traffic?check=1&banner=7	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	547	200	OK	-	-	-	(empty)	-	-	-	-	-	FymAcH3Sv95gBmXLj9	text/html
1361907280.785074	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	9	GET	cdn.pastemagazine.com	/www/articles/2013/02/25/Untapped-Square.jpg?1361789065	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	57021	200	OK	-	-	-	(empty)	-	-	-	-	-	F6tIi82NNIeuumFuu7	image/jpeg
1361907280.81667	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	9	GET	cdn.pastemagazine.com	/www/blogs/1000words/lead.jpg?1361785850	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	56350	200	OK	-	-	-	(empty)	-	-	-	-	-	FYVuuJPOW5QcNSqG2	image/jpeg
1361907280.816368	CyZe5F3Js8tKBgW12h	192.168.44.10	1054	85.17.26.163	80	1	GET	magic.doomsday.cl	/traffic?check=1&banner=7	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	317	200	OK	-	-	-	(empty)	-	-	-	-	-	FFUFxf1wEAHwqYNiNl	text/html
1361907280.897494	CNvzfd3DJBOzPVbe2j	192.168.44.10	1033	23.33.187.82	80	10	GET	cdn.pastemagazine.com	/www/javascripts/pages/index.js?1340451891	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3023	200	OK	-	-	-	(empty)	-	-	-	-	-	FpPab84kuEApUoLFe1	text/plain
1361907280.919657	CDJmlu9ljnxd0KF1k	192.168.44.10	1055	23.33.187.88	80	1	GET	ds.serving-sys.com	/BurstingRes///Site-6220/Type-0/37da96bc-d533-486e-82dd-17878dc94ed7.jpg	http://magic.doomsday.cl/traffic?check=1&banner=7	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20942	200	OK	-	-	-	(empty)	-	-	-	-	-	Fq88To1LtdykJF1tK5	image/jpeg
1361907281.053563	C7u7A1pxkn8eCAlPk	192.168.44.10	1034	23.33.187.82	80	10	GET	cdn.pastemagazine.com	/www/articles/2013/02/25/1357238210_cover.jpg?1361787312	http://www.pastemagazine.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	39511	200	OK	-	-	-	(empty)	-	-	-	-	-	F0oCfuOxe7GTVJblk	image/jpeg
1361907281.05017	Ck0VyQ2av9ZxLaraY8	192.168.44.10	1057	23.33.187.88	80	1	GET	ds.serving-sys.com	/BurstingRes///Site-6220/Type-0/37da96bc-d533-486e-82dd-17878dc94ed7.jpg	http://magic.doomsday.cl/traffic?check=1&banner=7	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	20942	200	OK	-	-	-	(empty)	-	-	-	-	-	F7vjrs1x7nsL3dbSU9	image/jpeg
