#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-08-31
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1389815579.693765	CKOA6yOtaV5YO6nbl	192.168.12.10	1036	98.124.248.77	80	1	GET	cracked.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	231	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	Fa1wgH2FDj4nbiEif8	text/html
1389815579.721514	CkrYH8NKY0YV6bo4	192.168.12.10	1037	72.21.91.19	80	1	GET	www.cracked.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	71773	200	OK	-	-	-	(empty)	-	-	-	-	-	FzRCqOWR9Wx0Qle6a	text/html
1389815580.54375	C4dXAR3W3LBYOIVFl8	192.168.12.10	1040	198.144.98.88	80	1	GET	i.crackedcdn.com	/ui/mashed/common_header-YTc4MmYzZmE.js	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	43237	200	OK	-	-	-	(empty)	-	-	-	-	-	FRQRvm9BUseFEewJk	text/plain
1389815580.543438	CeaAFpXoCbg6z2Kb3	192.168.12.10	1039	198.144.98.88	80	1	GET	i.crackedcdn.com	/ui/mashed/common_header-ZWY3Y2VmNDI.css	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	130088	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe0abS3JfvYloziYr5	text/plain
1389815580.560937	C3i2ew19QXQT14FRea	192.168.12.10	1042	74.125.224.250	80	1	GET	pagead2.googlesyndication.com	/pagead/js/google_top_exp.js	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	5868	200	OK	-	-	-	(empty)	-	-	-	-	-	FZcJtyQtYvGkv5Q95	text/plain
1389815580.543205	CKaiGB3pEjjiAVrbij	192.168.12.10	1038	198.144.98.88	80	1	GET	i.crackedcdn.com	/ui/mashed/ie_lt9_only-M2Y1YmQ5ZDQ.js	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	284	200	OK	-	-	-	(empty)	-	-	-	-	-	FY2mOF3XJaZrN9Vho2	text/plain
1389815580.581561	C4dXAR3W3LBYOIVFl8	192.168.12.10	1040	198.144.98.88	80	2	GET	i.crackedcdn.com	/ui/mashed/site-home-MzFhYTYzYTY.css	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	30572	200	OK	-	-	-	(empty)	-	-	-	-	-	F5do6l2ljrW2F2O616	text/plain
1389815580.580846	CrSwVm2jEILXkES1mf	192.168.12.10	1043	74.125.20.95	80	1	GET	fonts.googleapis.com	/css?family=Arvo:400,700,400italic,700italic	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	423	200	OK	-	-	-	(empty)	-	-	-	-	-	Fk5lac1IlulSSMYVbf	text/plain
1389815580.619241	CkrYH8NKY0YV6bo4	192.168.12.10	1037	72.21.91.19	80	2	GET	www.cracked.com	/ui/shared/lesscss/font/fontawesome-webfont.eot?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	25395	200	OK	-	-	-	(empty)	-	-	-	-	-	FZnIy34q8ZcXpRq495	application/vnd.ms-fontobject
1389815580.627939	CHkqjg1IfI3FzcE8Ne	192.168.12.10	1044	72.21.91.19	80	1	GET	www.cracked.com	/ui/shared/lesscss/font/proxima_nova_regular/ProximaNova-Reg-webfont.eot?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	19681	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffhd9z4DNZiA7PvFY9	application/vnd.ms-fontobject
1389815580.630322	CdtbGE1Kziod08mi59	192.168.12.10	1045	72.21.91.19	80	1	GET	www.cracked.com	/ui/shared/lesscss/font/proxima_nova_light/ProximaNova-Light-webfont.eot?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	18924	200	OK	-	-	-	(empty)	-	-	-	-	-	FdoKGvkFDQyTk24fh	application/vnd.ms-fontobject
1389815580.657756	CtLlBV27yGF2TRHzZf	192.168.12.10	1046	72.21.91.19	80	1	GET	www.cracked.com	/ui/shared/lesscss/font/proxima_nova_semibold/ProximaNova-Sbold-webfont.eot?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	19409	200	OK	-	-	-	(empty)	-	-	-	-	-	FC8Nb33c7kKKHgHY0c	application/vnd.ms-fontobject
1389815580.670789	ChTJDw2jtdim7jktqg	192.168.12.10	1048	72.21.91.19	80	1	GET	www.cracked.com	/ui/shared/lesscss/font/gothamultra/gothamultra-webfont.eot?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	16685	200	OK	-	-	-	(empty)	-	-	-	-	-	F1KfJ52HN2tC8FxpG	application/vnd.ms-fontobject
1389815580.670252	CFjwLo1VemYIvt0uYa	192.168.12.10	1047	72.21.91.19	80	1	GET	www.cracked.com	/ui/shared/lesscss/font/proxima_nova_bold/ProximaNova-Bold-webfont.eot?	http://www.cracked.com/	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 5.1; Trident/4.0)	0	19686	200	OK	-	-	-	(empty)	-	-	-	-	-	FUuCx010zEeWDcGdo6	application/vnd.ms-fontobject
