#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-02-37
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1338513637.099073	C532PY16iRE1UEGyCb	192.168.107.10	1030	65.254.248.182	80	1	GET	thinkadv.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	215	302	Found	-	-	-	(empty)	-	-	-	-	-	F5Ap6R3tM0uAjZLnu9	text/html
1338513637.475909	CrMDcu3kT1NbpPpJli	192.168.107.10	1031	89.208.48.76	80	1	GET	capsel-blast.ru	/gqwurt?7	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	291	200	OK	-	-	-	(empty)	-	-	-	-	-	FdJBpKu5hCWYF7YT	text/html
1338513638.443857	Cz9Kyk42rrHxm68Wu	192.168.107.10	1032	89.208.48.76	80	1	GET	sega-blast.ru	/hgewoqqtp/ghoqwfla.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1338513639.128423	CRhCe71mdKkXUFH1u7	192.168.107.10	1033	67.213.222.15	80	1	GET	www4.smart-ukharmy.com	/?1fdxrq=VdvN3K+po6WamOSW2aibh97gtmKWlK+Y5efZnqWlj6qbnMarn6tmig==	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	-	-
1338513639.30681	CwNQsu2rIgmDoowUyj	192.168.107.10	1038	67.209.224.55	80	1	GET	www1.firstkscaner.in	/xk6z0?plzb2en=lNPw1m/H5dPj3ujrkejMxaudoqiloNKbyauZj9PV1t2wtrHCi97jqauSYpyU1dyv6urDw4nD18mv0svDp2iL2uDgr+XazOTY2JTI1a3BzYib1aucnaClp6ChlJajk6qlku3Wk9nj2aajmevU16CSnparluDuzm+Yn8ieoqfZpKWVlpTZ5a2drZVqmp+ZnqSlms/i0MLX06/n4/GWYNjbx9vmoOnW28TT296g09vniJnI1qPP59na4+2H	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4985	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz9u4u4ElxbFwJWfz1	text/html
1338513639.358322	CwNQsu2rIgmDoowUyj	192.168.107.10	1038	67.209.224.55	80	2	GET	www1.firstkscaner.in	/pictures/load.gif	http://www1.firstkscaner.in/xk6z0?plzb2en=lNPw1m%2FH5dPj3ujrkejMxaudoqiloNKbyauZj9PV1t2wtrHCi97jqauSYpyU1dyv6urDw4nD18mv0svDp2iL2uDgr%2BXazOTY2JTI1a3BzYib1aucnaClp6ChlJajk6qlku3Wk9nj2aajmevU16CSnparluDuzm%2BYn8ieoqfZpKWVlpTZ5a2drZVqmp%2BZnqSlms%2Fi0MLX06%2Fn4%2FGWYNjbx9vmoOnW28TT296g09vniJnI1qPP59na4%2B2H	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6739	200	OK	-	-	-	(empty)	-	-	-	-	-	FrQKys3wwAYWyo4qk6	image/gif
1338513639.409601	CkM7y04pWNhu6cx7r4	192.168.107.10	1039	67.209.224.55	80	1	GET	www1.firstkscaner.in	/a31628.js	http://www1.firstkscaner.in/xk6z0?plzb2en=lNPw1m%2FH5dPj3ujrkejMxaudoqiloNKbyauZj9PV1t2wtrHCi97jqauSYpyU1dyv6urDw4nD18mv0svDp2iL2uDgr%2BXazOTY2JTI1a3BzYib1aucnaClp6ChlJajk6qlku3Wk9nj2aajmevU16CSnparluDuzm%2BYn8ieoqfZpKWVlpTZ5a2drZVqmp%2BZnqSlms%2Fi0MLX06%2Fn4%2FGWYNjbx9vmoOnW28TT296g09vniJnI1qPP59na4%2B2H	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	80952	200	OK	-	-	-	(empty)	-	-	-	-	-	FVQ8EN26y2hf7Zz36g	text/plain
1338513641.766564	CwNQsu2rIgmDoowUyj	192.168.107.10	1038	67.209.224.55	80	3	GET	www1.firstkscaner.in	/i.html	http://www1.firstkscaner.in/xk6z0?plzb2en=lNPw1m%2FH5dPj3ujrkejMxaudoqiloNKbyauZj9PV1t2wtrHCi97jqauSYpyU1dyv6urDw4nD18mv0svDp2iL2uDgr%2BXazOTY2JTI1a3BzYib1aucnaClp6ChlJajk6qlku3Wk9nj2aajmevU16CSnparluDuzm%2BYn8ieoqfZpKWVlpTZ5a2drZVqmp%2BZnqSlms%2Fi0MLX06%2Fn4%2FGWYNjbx9vmoOnW28TT296g09vniJnI1qPP59na4%2B2H	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	25782	200	OK	-	-	-	(empty)	-	-	-	-	-	FJSWhHrCOLXmlDWC2	text/html
1338513642.608039	CkM7y04pWNhu6cx7r4	192.168.107.10	1039	67.209.224.55	80	2	GET	www1.firstkscaner.in	/wYauuiXtb.pdf	http://www1.firstkscaner.in/i.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9887	200	OK	-	-	-	(empty)	-	-	-	-	-	FbU48T3lEelZbCR74h	application/pdf
1338513646.068596	CwNQsu2rIgmDoowUyj	192.168.107.10	1038	67.209.224.55	80	4	GET	www1.firstkscaner.in	/cl/7/fill_sprite.gif	http://www1.firstkscaner.in/xk6z0?plzb2en=lNPw1m%2FH5dPj3ujrkejMxaudoqiloNKbyauZj9PV1t2wtrHCi97jqauSYpyU1dyv6urDw4nD18mv0svDp2iL2uDgr%2BXazOTY2JTI1a3BzYib1aucnaClp6ChlJajk6qlku3Wk9nj2aajmevU16CSnparluDuzm%2BYn8ieoqfZpKWVlpTZ5a2drZVqmp%2BZnqSlms%2Fi0MLX06%2Fn4%2FGWYNjbx9vmoOnW28TT296g09vniJnI1qPP59na4%2B2H	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2495	200	OK	-	-	-	(empty)	-	-	-	-	-	FDKBnY2NTrKIeB2kK6	image/gif
1338513646.069733	CkM7y04pWNhu6cx7r4	192.168.107.10	1039	67.209.224.55	80	3	GET	www1.firstkscaner.in	/cl/7/icon_sprite.jpg	http://www1.firstkscaner.in/xk6z0?plzb2en=lNPw1m%2FH5dPj3ujrkejMxaudoqiloNKbyauZj9PV1t2wtrHCi97jqauSYpyU1dyv6urDw4nD18mv0svDp2iL2uDgr%2BXazOTY2JTI1a3BzYib1aucnaClp6ChlJajk6qlku3Wk9nj2aajmevU16CSnparluDuzm%2BYn8ieoqfZpKWVlpTZ5a2drZVqmp%2BZnqSlms%2Fi0MLX06%2Fn4%2FGWYNjbx9vmoOnW28TT296g09vniJnI1qPP59na4%2B2H	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8147	200	OK	-	-	-	(empty)	-	-	-	-	-	Fh21P43w3AC1XVuxX7	image/jpeg
