#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-47-14
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1321987735.049816	CIdS0NcNYlTDfVObh	192.168.20.10	1030	66.96.160.134	80	1	GET	chopade.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	220	302	Found	-	-	-	(empty)	-	-	-	-	-	FY7mPg2Wg5qMpWCh7	text/html
1321987735.432488	COfFEC2ejCX503H9a9	192.168.20.10	1031	95.163.89.196	80	1	GET	doacourse.info	/nolg/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1354	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffr0VdIzzGvUJrztl	text/html
1321987738.969434	CEDIYP1D592p2WDmg	192.168.20.10	1032	95.163.89.196	80	1	GET	zyzul.info	/www.php?page=b5af6db59003531d	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	160626	200	OK	-	-	-	(empty)	-	-	-	-	-	FTgpxm3CWwqcrbneH5	text/html
1321987753.947441	Cr1DKF1jrSKrX3L5Q8	192.168.20.10	1037	95.163.89.196	80	1	GET	zyzul.info	/content/g43kb6j34kblq6jh34kb6j3kl4.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5908	200	OK	-	-	-	(empty)	-	-	-	-	-	FN9vFNHPgn1zDgh7e	application/zip
1321987754.975802	CEDIYP1D592p2WDmg	192.168.20.10	1032	95.163.89.196	80	2	GET	zyzul.info	/w.php?f=149&e=4	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	416768	200	OK	-	-	-	(empty)	-	-	-	-	-	FCRanX3cMMQBvImuc1	application/x-dosexec
1321987762.15	CEDIYP1D592p2WDmg	192.168.20.10	1032	95.163.89.196	80	3	GET	zyzul.info	/content/2ddfp.php?f=149	http://zyzul.info/www.php?page=b5af6db59003531d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	154	302	Moved Temporarily	-	-	-	(empty)	-	-	-	-	-	FSpdnn1Luz4e2JY0Zf	text/html
1321987762.633545	COnxv44Q4JwQ0yyf75	192.168.20.10	1050	188.40.61.79	80	1	GET	zqhg.org.in	/index.php?src=72&surl=zyzul.info&sport=80&suri=/content/2ddfp.php?f=149	http://zyzul.info/www.php?page=b5af6db59003531d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1199	200	OK	-	-	-	(empty)	-	-	-	-	-	FqN7UZ1o2yKVBkvuS5	text/html
1321987763.301501	COnxv44Q4JwQ0yyf75	192.168.20.10	1050	188.40.61.79	80	2	GET	zqhg.org.in	/index2.php?src=72&gpr=11&tkr=11221847414153111&tkri=4ad9246240f00620fcd9d3495ebfe780&tkrb=aed2be08a1f1e803fcfd14cb24e6051e&inframe=1	http://zyzul.info/www.php?page=b5af6db59003531d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4864	200	OK	-	-	-	(empty)	-	-	-	-	-	F7BRmq2pRtEdXlkuB5	text/html
1321987763.450892	CYxkNh21pieqRGN1Ak	192.168.20.10	1051	95.163.89.196	80	1	GET	zyzul.info	/content/field.swf	http://zyzul.info/www.php?page=b5af6db59003531d	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1379	200	OK	-	-	-	(empty)	-	-	-	-	-	FHrVY6g3ZExvHTazd	application/x-shockwave-flash
1321987763.598445	COnxv44Q4JwQ0yyf75	192.168.20.10	1050	188.40.61.79	80	3	GET	zqhg.org.in	/index5.php?src=72&gpr=11&tkr=11221847414153111&tkri=4ad9246240f00620fcd9d3495ebfe780&tkrb=aed2be08a1f1e803fcfd14cb24e6051e	http://zqhg.org.in/index2.php?src=72&gpr=11&tkr=11221847414153111&tkri=4ad9246240f00620fcd9d3495ebfe780&tkrb=aed2be08a1f1e803fcfd14cb24e6051e&inframe=1	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	16867	200	OK	-	-	-	(empty)	-	-	-	-	-	FtmSKy1W9FPu61YEP6	text/html
1321987762.881	CBwsYA1gPOenns1Xlf	192.168.20.10	1045	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	F46P1T3uUhBw0QS8Zg	application/x-java-applet
1321987762.88939	CwBH5C5VFZ45VsFRg	192.168.20.10	1043	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	FUBZdBELFeJsBBCIl	application/x-java-applet
1321987762.909423	CmWQHIGX41rBUyVHg	192.168.20.10	1049	219.90.118.78	80	1	GET	3680138830	/dfbgeskdfa/Gmail.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	4349	200	OK	-	-	-	(empty)	-	-	-	-	-	FaVy0JpCP60M0NXn7	application/x-java-applet
