#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-16-30
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1373876389.588571	C522nO3ijRRLrL3jth	192.168.46.10	1030	171.66.121.222	80	1	GET	bmj.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	223	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FsOXtKqNORXeXq5H6	text/html
1373876389.636513	CIXuBa3bwXEUMaEvJe	192.168.46.10	1031	171.67.126.77	80	1	GET	www.bmj.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	90442	200	OK	-	-	-	(empty)	-	-	-	-	-	FD7Wds1DaAcnknSaZe	text/html
1373876390.118063	CJh30L3xZVuVUZQqOi	192.168.46.10	1032	93.184.216.229	80	1	GET	eso-cdn.group.bmj.com	/repository/css/bmj-group-reset.css?1373876272	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1019	200	OK	-	-	-	(empty)	-	-	-	-	-	FZbrhGeCxNNAKsp2	text/plain
1373876390.118828	CA0Jct3MWGE3DauI4g	192.168.46.10	1033	93.184.216.229	80	1	GET	eso-cdn.group.bmj.com	/repository/css/bmj-group-global.css?1373876272	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	81367	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb7cQ24kIGLpAFShMa	text/plain
1373876390.119053	C5m8A34YodCVKPcnZf	192.168.46.10	1034	93.184.216.229	80	1	GET	eso-cdn.www.bmj.com	/sites/default/files/css/cdn_css_http_8e3b3aa5f1aafaad812cdbce566af94e_highwire.style.highwire.css	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	639	200	OK	-	-	-	(empty)	-	-	-	-	-	F12wH04jWxnS5DBLw6	text/plain
1373876390.119273	CnD1s2430VTvVOu5Ji	192.168.46.10	1035	93.184.216.229	80	1	GET	eso-cdn.www.bmj.com	/sites/default/files/css/cdn_css_http_a324cf6579c3fee63fcd1a6e32854042.css	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	45352	200	OK	-	-	-	(empty)	-	-	-	-	-	Fwg95g4qA1lYYo2fOd	text/plain
1373876390.123483	CJh30L3xZVuVUZQqOi	192.168.46.10	1032	93.184.216.229	80	2	GET	eso-cdn.group.bmj.com	/repository/css/bmj-group-grid.css?1373876272	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9454	200	OK	-	-	-	(empty)	-	-	-	-	-	Fg1J4S17NPz6dcAmBd	text/plain
1373876390.125021	C5m8A34YodCVKPcnZf	192.168.46.10	1034	93.184.216.229	80	2	GET	eso-cdn.www.bmj.com	/sites/default/files/css/cdn_css_http_7d3f34fc4444e34d9b9baf390f7b40c7.css	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	135952	200	OK	-	-	-	(empty)	-	-	-	-	-	Fz25ke3mG0J2MWy4vi	text/plain
1373876390.132684	CnD1s2430VTvVOu5Ji	192.168.46.10	1035	93.184.216.229	80	2	GET	eso-cdn.www.bmj.com	/sites/default/files/css/cdn_css_http_41746ee14941a4f9f424822949773373.css	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	924	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa9XPr3MmpSjysB6nl	text/plain
1373876390.129151	CKbB4s3VHmhJHBnaEe	192.168.46.10	1036	171.67.126.77	80	1	GET	www.bmj.com	/sites/default/modules/custom/bmj_core/js/jquery-1.6.2.min.js	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91573	200	OK	-	-	-	(empty)	-	-	-	-	-	FLT8mq38DEuRC78HMd	text/html
1373876390.195692	C38WRJ3IoSL8T2IXnh	192.168.46.10	1037	171.67.126.77	80	1	GET	www.bmj.com	/sites/default/themes/bmj/css/easy-read.css	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5268	200	OK	-	-	-	(empty)	-	-	-	-	-	FZBliW3mmkLjB2QMW9	text/plain
1373876390.270297	CKbB4s3VHmhJHBnaEe	192.168.46.10	1036	171.67.126.77	80	2	GET	www.bmj.com	/sites/default/themes/bmj/js/modernizr-1.5.min.js	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11658	200	OK	-	-	-	(empty)	-	-	-	-	-	F0lA7c3xzuGzWk6TKi	text/plain
1373876390.30366	CA0Jct3MWGE3DauI4g	192.168.46.10	1033	93.184.216.229	80	2	GET	eso-cdn.group.bmj.com	/repository/js/bmj-group-global.js	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	13637	200	OK	-	-	-	(empty)	-	-	-	-	-	FAFkPU25dGSf71zAsg	text/plain
1373876390.345686	C38WRJ3IoSL8T2IXnh	192.168.46.10	1037	171.67.126.77	80	2	GET	www.bmj.com	/sites/default/files/js/js_661ba422d2686107994a008c89b04999.js	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	299090	200	OK	-	-	-	(empty)	-	-	-	-	-	FqCdPn7p8wRXbhHcl	text/plain
1373876390.645914	C2Mmt93D1gMB9HLRKf	192.168.46.10	1038	208.71.121.58	80	1	GET	oas.services.bmj.com	/RealMedia/ads/adstream_mjx.ads/www.bmj.com//1745936009@Top,Right1,Right2,Middle1,Middle2,Position1,Position2,Position3?	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1373876390.724851	C2Mmt93D1gMB9HLRKf	192.168.46.10	1038	208.71.121.58	80	2	GET	oas.services.bmj.com	/RealMedia/ads/adstream_mjx.ads/www.bmj.com//1745936009@Top,Right1,Right2,Middle1,Middle2,Position1,Position2,Position3?_RM_OAX_REDIR_	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2540	200	OK	-	-	-	(empty)	-	-	-	-	-	F7bnur1O0zNo1cgJhd	text/html
1373876391.033935	CKbB4s3VHmhJHBnaEe	192.168.46.10	1036	171.67.126.77	80	3	GET	www.bmj.com	/sites/default/themes/bmj/images/pixel.gif	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	49	200	OK	-	-	-	(empty)	-	-	-	-	-	FYqPPu39nryrLDKGRc	image/gif
1373876391.124872	CnD1s2430VTvVOu5Ji	192.168.46.10	1035	93.184.216.229	80	3	GET	eso-cdn.www.bmj.com	/sites/default/files/imagecache/bmj_channel_carousel_image/attachments/bmj-article/2013/07/guantanamobay.jpg	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19967	200	OK	-	-	-	(empty)	-	-	-	-	-	FNSm7S3p01MIpKKHZg	image/jpeg
1373876391.125848	C5m8A34YodCVKPcnZf	192.168.46.10	1034	93.184.216.229	80	3	GET	eso-cdn.www.bmj.com	/sites/default/files/imagecache/bmj_channel_carousel_image/attachments/bmj-article/2013/07/prematurebaby.jpg	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27692	200	OK	-	-	-	(empty)	-	-	-	-	-	F3OBSy1ccJGm9FDA51	image/jpeg
1373876391.136944	C7k9Lx3DNXfVWYZr6h	192.168.46.10	1041	93.184.216.229	80	1	GET	eso-cdn.resources.bmj.com	/repository/images/pixel.gif	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	43	200	OK	-	-	-	(empty)	-	-	-	-	-	Fy69oH3t8r4Gl4BNei	image/gif
1373876391.137179	C097sX2s7NOfZqkt1l	192.168.46.10	1042	93.184.216.229	80	1	GET	eso-cdn.resources.bmj.com	/repository/images/bmj-awards.gif	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4892	200	OK	-	-	-	(empty)	-	-	-	-	-	Fsjfbh1Q5mRC63AXg5	image/gif
1373876391.271402	CJh30L3xZVuVUZQqOi	192.168.46.10	1032	93.184.216.229	80	3	GET	eso-cdn.group.bmj.com	/repository/images/bmj-group-sprite.gif	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	34924	200	OK	-	-	-	(empty)	-	-	-	-	-	FPsh0o2vVzE7THN1H6	image/gif
1373876391.273568	CI0B6G2B61M51dt5Nc	192.168.46.10	1043	96.17.148.19	80	1	GET	imagec16.247realmedia.com	/0/BMJ/bmj-freetrial-200613/Clinical-relevance-728x90.gif	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31233	200	OK	-	-	-	(empty)	-	-	-	-	-	FogHFV3bZXGKD6T2Oi	image/gif
1373876391.306626	CNIk9r4rVcdQlmS0Bj	192.168.46.10	1044	72.21.91.19	80	1	GET	static.polldaddy.com	/w/44195.js	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26517	200	OK	-	-	-	(empty)	-	-	-	-	-	FO8oJQ3FL2tAus5ez5	text/plain
1373876391.311752	CnD1s2430VTvVOu5Ji	192.168.46.10	1035	93.184.216.229	80	4	GET	eso-cdn.www.bmj.com	/sites/default/files/imagecache/bmj_channel_carousel_image/attachments/bmj-article/2013/07/nicotinereplacementproducts.jpg	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	28073	200	OK	-	-	-	(empty)	-	-	-	-	-	FKa2tD20I1wG98FSIg	image/jpeg
1373876391.313814	C5m8A34YodCVKPcnZf	192.168.46.10	1034	93.184.216.229	80	4	GET	eso-cdn.www.bmj.com	/sites/default/files/imagecache/bmj_channel_carousel_thumb/attachments/bmj-article/2013/07/guantanamobay.jpg	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	865	200	OK	-	-	-	(empty)	-	-	-	-	-	F0lHvdJjJoZXRiTp6	image/jpeg
1373876391.314755	C7k9Lx3DNXfVWYZr6h	192.168.46.10	1041	93.184.216.229	80	2	GET	eso-cdn.resources.bmj.com	/repository/images/on-examination.gif	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3279	200	OK	-	-	-	(empty)	-	-	-	-	-	FUIaGVa96R4J9EfDl	image/gif
1373876391.318046	C097sX2s7NOfZqkt1l	192.168.46.10	1042	93.184.216.229	80	2	GET	eso-cdn.resources.bmj.com	/repository/images/informatica-systems.gif	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3618	200	OK	-	-	-	(empty)	-	-	-	-	-	F0tMLm4GeXvXJhffx6	image/gif
1373876391.389687	CnD1s2430VTvVOu5Ji	192.168.46.10	1035	93.184.216.229	80	5	GET	eso-cdn.www.bmj.com	/sites/default/files/imagecache/bmj_channel_carousel_thumb/attachments/bmj-article/2013/07/prematurebaby.jpg	http://www.bmj.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	998	200	OK	-	-	-	(empty)	-	-	-	-	-	FcvHQd4njboaVOn0Ah	image/jpeg
