#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-09-51-18
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323296161.868353	CTCCcr1syZC1zpgysa	192.168.120.10	1034	74.125.229.172	80	1	GET	s.ytimg.com	/yt/swfbin/cps-vflJOcp78.swf	http://www.youtube.com/v/bsGm-DqbmSA&rel=1&color1=d6d6d6&color2=f0f0f0&border=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	151318	200	OK	-	-	-	(empty)	-	-	-	-	-	F6doKaOvM0gvIPkKd	application/x-shockwave-flash
1323296162.100146	CmJBXGlDL2QGX4RO9	192.168.120.10	1036	74.125.229.166	80	2	GET	www.youtube.com	/v/NkwJ-g0iJ6w&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1174	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffb7Pa4VBGN2S3EC1f	application/x-shockwave-flash
1323296162.096348	CUMVit23fVRTT3NPNi	192.168.120.10	1033	74.125.229.166	80	5	GET	www.youtube.com	/v/HYhRpbqe1Zg&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1144	200	OK	-	-	-	(empty)	-	-	-	-	-	FRj8kH1yEQgr0T0qQd	application/x-shockwave-flash
1323296162.100481	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	8	GET	www.nagnews.com	/blog/wp-content/uploads/2008/07/firefox-wordmark-horizontal1-300x139.png	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	31867	200	OK	-	-	-	(empty)	-	-	-	-	-	F1Fvsod21iB8rTvdb	image/png
1323296162.381972	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	9	GET	www.nagnews.com	/blog/wp-content/uploads/2008/06/4576129-277x300.jpg	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	29419	200	OK	-	-	-	(empty)	-	-	-	-	-	FCWlh53Z6M1ZDRyK0l	image/jpeg
1323296162.105166	C1CUmf4BzqkEIuau8g	192.168.120.10	1037	74.125.229.172	80	1	GET	s.ytimg.com	/yt/swfbin/cps-vflJOcp78.swf	http://www.youtube.com/v/5L7MS8dwvRc&rel=1&color1=d6d6d6&color2=f0f0f0&border=	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	151318	200	OK	-	-	-	(empty)	-	-	-	-	-	FO7EdV2FA3PEgOP278	application/x-shockwave-flash
1323296162.673166	CUMVit23fVRTT3NPNi	192.168.120.10	1033	74.125.229.166	80	6	GET	www.youtube.com	/v/DPt-gvsPuoQ&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1174	200	OK	-	-	-	(empty)	-	-	-	-	-	FcLu101ghPOUzFDTg6	application/x-shockwave-flash
1323296162.671309	CmJBXGlDL2QGX4RO9	192.168.120.10	1036	74.125.229.166	80	3	GET	www.youtube.com	/v/NkwJ-g0iJ6w&rel=1&color1=d6d6d6&color2=f0f0f0&border=	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1147	200	OK	-	-	-	(empty)	-	-	-	-	-	Fkd7Uf3F6Vyrctaqth	application/x-shockwave-flash
1323296162.671866	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	10	GET	www.nagnews.com	/blog/wp-content/uploads/2008/06/medium.jpg	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	69935	200	OK	-	-	-	(empty)	-	-	-	-	-	F8XJRH3Io70OSp1Ayl	image/jpeg
1323296163.173219	CfDOvg1LLxWwNCmQA1	192.168.120.10	1032	72.167.131.113	80	11	GET	www.nagnews.com	/blog/wp-content/themes/metamorph_greenfield/images/back_all2.jpg	http://www.nagnews.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	864	200	OK	-	-	-	(empty)	-	-	-	-	-	FZCHxr1bc2LjCx4skh	image/jpeg
