#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-14-44
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1319848031.524473	Cj1Hps2gOxLoQ39dX9	192.168.1.10	1030	109.236.82.74	80	1	GET	thenpq.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	233	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FROFIC15jPavNKUaFe	text/html
1319848031.737921	CiZOMX2BmgCO0teo9g	192.168.1.10	1031	109.236.82.61	80	1	GET	cyberab.in	/?site=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47064	200	OK	-	-	-	(empty)	-	-	-	-	-	FqBKKg37KhuAO4WxEf	text/html
1319848034.1058	CEfBBi1E7MfIO1FoO7	192.168.1.10	1041	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FrTVqt49jGqhzuwDu8	application/jar
1319848034.093651	CAwNyR1VBPdGYvygea	192.168.1.10	1042	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	F0jGj72GMzEntsLki6	application/x-java-applet
1319848034.102184	CJpNiX1Yl22nHjiLIa	192.168.1.10	1039	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzr98k4q2QdghlCgu7	application/x-java-applet
1319848034.106822	CMTMKv20TYX5xyHSEd	192.168.1.10	1036	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FFJnSr3d9x92rwLBB7	application/x-java-applet
1319848034.108088	ChPNtc3jepsByQLPnf	192.168.1.10	1038	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	Fag46K1DzDkimQErm9	application/x-java-applet
1319848034.114184	CyrY673AYbLk7voZMf	192.168.1.10	1043	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FiVZUi27ODmmXdj7rb	application/x-java-applet
1319848034.117247	CpLegM1vqg5zeQGcMc	192.168.1.10	1037	109.236.82.61	80	1	GET	1844204093	/alpha.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	14289	200	OK	-	-	-	(empty)	-	-	-	-	-	FTWGtC48Rxnq2nJO34	application/x-java-applet
1319848034.091025	CtDLm13AhQYFxbRESf	192.168.1.10	1040	109.236.82.61	80	1	GET	cyberab.in	/dl/apache.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	18854	200	OK	-	-	-	(empty)	-	-	-	-	-	FBhhCSOstHKYCyAL6	application/jar
1319848034.461183	CAr1Fp1nMNcdPOy3W6	192.168.1.10	1044	109.236.82.61	80	1	GET	cyberab.in	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	5875	200	OK	-	-	-	(empty)	-	-	-	-	-	FofEIo1ZGnzp8URnlf	application/jar
