#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-11-02-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1336507683.150272	Cw2tnQ1XAjXQbQGT2a	192.168.123.10	1033	72.21.215.89	80	window_recision	-	F	bro
1336507685.088272	-	-	-	-	-	unknown_protocol_2	-	F	bro
1336507726.989116	CDu2Qs3hYX0PO7pvOe	192.168.123.10	1075	31.193.12.27	80	bad_HTTP_request	-	F	bro
1336507727.530726	C0J8JL3a0b8SvuOCeh	192.168.123.10	1080	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507727.606668	CkWUUY3ZUOPOlzL332	192.168.123.10	1082	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507727.765841	CpiMg7RDsGSnhczi	192.168.123.10	1084	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507727.808173	C1rqjlIdwYvARRZtk	192.168.123.10	1086	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507727.822616	CyiMJF4Sb2Oa1l4Qtl	192.168.123.10	1088	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507727.971001	CmxbdAcUS9ONAEse1	192.168.123.10	1091	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507728.009791	C4rQNceGxznynRHj2	192.168.123.10	1093	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507728.016161	CXIqUd45Bw7hdEgddl	192.168.123.10	1095	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507728.052743	Ct4KPq4nhxC2j3H7yj	192.168.123.10	1097	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507728.055963	CUSFaPovmUD7QkSc5	192.168.123.10	1099	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507728.059019	CkTUv31ajXlpoAV7r3	192.168.123.10	1101	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507728.071869	CnUz6T3TzTW830biZg	192.168.123.10	1103	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507728.275171	CRsa7x3bcHlFp8ySXh	192.168.123.10	1105	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1336507728.298765	CKE057o5ny2tN2c12	192.168.123.10	1107	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-11-02-43
