#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-23-01
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337801078.608722	CppZWE49xuKesZFUxi	192.168.27.10	1030	216.146.38.125	80	1	GET	toytowngermany.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	-	-
1337801078.874699	CYPFwtAInqLXROgA2	192.168.27.10	1031	46.20.229.2	80	1	GET	www.toytowngermany.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	59855	200	OK	-	-	-	(empty)	-	-	-	-	-	FPmRQW2n4pDTryRo3g	text/html
1337801079.55121	Cq5dV148VGNjvg4ht5	192.168.27.10	1032	46.20.229.2	80	1	GET	www.toytowngermany.com	/styles/style2.css?29032012	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	8762	200	OK	-	-	-	(empty)	-	-	-	-	-	FWxOzi3x0F3Ls1xtGd	text/plain
1337801079.792664	CPJ6J51FGLjIfVWHYh	192.168.27.10	1034	74.125.127.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jquery/1.5.2/jquery.min.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85925	200	OK	-	-	-	(empty)	-	-	-	-	-	FNa9lNXnT61oYxXzf	text/plain
1337801079.765611	CYPFwtAInqLXROgA2	192.168.27.10	1031	46.20.229.2	80	2	GET	www.toytowngermany.com	/styles/trivago2.css	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6905	200	OK	-	-	-	(empty)	-	-	-	-	-	F8nt1YswSIY6LyP1l	text/x-c
1337801080.108053	CoNd3mkNBRwmysT02	192.168.27.10	1035	74.125.127.138	80	1	GET	apis.google.com	/js/plusone.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4133	200	OK	-	-	-	(empty)	-	-	-	-	-	FxwJgYfRMwGlji7Xf	text/plain
1337801080.234071	Cg6elU3ixKdHxGpNH4	192.168.27.10	1036	173.241.250.2	80	1	GET	d1.openx.org	/spcjs.php?id=39953	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2252	200	OK	-	-	-	(empty)	-	-	-	-	-	FX56uFTgwqGe5vOxf	text/plain
1337801080.360392	Cg6elU3ixKdHxGpNH4	192.168.27.10	1036	173.241.250.2	80	2	GET	d1.openx.org	/fl.js	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6707	200	OK	-	-	-	(empty)	-	-	-	-	-	FjLzVkEKC12sb4u4d	text/plain
1337801080.4082	C3QNZt4Le10SQCsMFk	192.168.27.10	1037	173.241.250.2	80	1	GET	d1.openx.org	/spc.php?zones=column2a=166113|column2b=166117|column2c=166118|column2d=171035|column3a=165644|column3b=165645|column3c=166106|column3d=185665|subforumIndexTop=172902|leaderboard=173979|&nz=1&source=&r=94237488&charset=utf-8&loc=http://www.toytowngermany.com/	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	59372	200	OK	-	-	-	(empty)	-	-	-	-	-	FaxkIOcLl4bP2I4w9	text/plain
1337801080.560639	Cg6elU3ixKdHxGpNH4	192.168.27.10	1036	173.241.250.2	80	3	GET	d1.openx.org	/ajs.php?zoneid=268162&cb=52521161218&charset=utf-8&loc=http://www.toytowngermany.com/&mmm_fo=1	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	FOBZDnNGbu2DnFmx6	text/plain
1337801080.642697	C3QNZt4Le10SQCsMFk	192.168.27.10	1037	173.241.250.2	80	2	GET	d1.openx.org	/ajs.php?zoneid=268170&cb=93252530773&charset=utf-8&loc=http://www.toytowngermany.com/&context=cDozNjAyNDd8&mmm_fo=1	http://www.toytowngermany.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	155	200	OK	-	-	-	(empty)	-	-	-	-	-	FUkwrsVgb29BpDXYk	text/plain
