#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-09-34
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1337921429.363697	CuXR3fyviWzWmffha	192.168.83.10	1031	67.212.67.193	80	15	GET	www.edakkalathur.com	/js/jquery-1.2.6.min.js	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	55774	200	OK	-	-	-	(empty)	-	-	-	-	-	FLgs7L3L0QBLOnTky3	text/plain
1337921429.112256	Cw82Kl446tBl5JRNZc	192.168.83.10	1039	188.72.248.216	80	1	GET	188.72.248.216	/25600006.html	http://www.edakkalathur.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12170	200	OK	-	-	-	(empty)	-	-	-	-	-	FYI1s03WQ6P7eLkzIg	text/html
1337921429.584034	CuXR3fyviWzWmffha	192.168.83.10	1031	67.212.67.193	80	16	GET	www.edakkalathur.com	/images/top2.png	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3226	200	OK	-	-	-	(empty)	-	-	-	-	-	FGsRML4gPLda3XKkl	image/png
1337921429.583533	CdjHe046yOFvom4j4	192.168.83.10	1038	67.212.67.193	80	13	GET	www.edakkalathur.com	/images/top1.png	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3198	200	OK	-	-	-	(empty)	-	-	-	-	-	FxkK6O2yVhKxtHBVb3	image/png
1337921429.701067	CuXR3fyviWzWmffha	192.168.83.10	1031	67.212.67.193	80	17	GET	www.edakkalathur.com	/images/top3.png	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3073	200	OK	-	-	-	(empty)	-	-	-	-	-	FuVfUH2qFrrEFBlN3	image/png
1337921429.801425	CuXR3fyviWzWmffha	192.168.83.10	1031	67.212.67.193	80	18	GET	www.edakkalathur.com	/images/caption.png	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	5236	200	OK	-	-	-	(empty)	-	-	-	-	-	FL9EUaeLkiVwObKIl	image/png
1337921429.727657	CdjHe046yOFvom4j4	192.168.83.10	1038	67.212.67.193	80	14	GET	www.edakkalathur.com	/images/logo1.png	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	26492	200	OK	-	-	-	(empty)	-	-	-	-	-	FyvkRY3yiJVdgFTkh	image/png
1337921429.583072	C2lDup17ruxic8P0O4	192.168.83.10	1037	201.223.46.95	80	2	GET	rolyjyl.ru	/count30.php	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	200	(empty)	-	-	-	(empty)	-	-	-	-	-	-	-
1337921429.962135	CdjHe046yOFvom4j4	192.168.83.10	1038	67.212.67.193	80	15	GET	www.edakkalathur.com	/images/banner2.jpg	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	302651	200	OK	-	-	-	(empty)	-	-	-	-	-	Fp3lc61Cvq5DLYRNn2	image/jpeg
1337921429.908211	CuXR3fyviWzWmffha	192.168.83.10	1031	67.212.67.193	80	19	GET	www.edakkalathur.com	/images/banner1.jpg	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	309327	200	OK	-	-	-	(empty)	-	-	-	-	-	FKAZjv4vDuGIFU3Fll	image/jpeg
1337921429.988426	Cw82Kl446tBl5JRNZc	192.168.83.10	1039	188.72.248.216	80	2	GET	188.72.248.216	/28629.pdf	http://188.72.248.216/25600006.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	41356	200	OK	-	-	-	(empty)	-	-	-	-	-	FTg5qz1pG85jMPt5Md	application/pdf
1337921430.596266	CdjHe046yOFvom4j4	192.168.83.10	1038	67.212.67.193	80	16	GET	www.edakkalathur.com	/images/banner3.jpg	http://www.edakkalathur.com/banner.html	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	426771	200	OK	-	-	-	(empty)	-	-	-	-	-	FZfymD1pZ81ufjMZyh	image/jpeg
1337921436.371759	CthRMe2DAni28PMlN9	192.168.83.10	1040	67.212.67.193	80	1	GET	www.edakkalathur.com	/css/blank.gif	http://www.edakkalathur.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	473	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F54wcb18dQhSnJP1o2	text/html
1337921436.424363	Cu3DPU2dM4WuCs1MIj	192.168.83.10	1041	67.212.67.193	80	1	GET	www.edakkalathur.com	/overlay.png	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	471	404	Not Found	-	-	-	(empty)	-	-	-	-	-	F8OE5o1ifudUFPrFw8	text/html
1337921436.555589	CthRMe2DAni28PMlN9	192.168.83.10	1040	67.212.67.193	80	2	GET	www.edakkalathur.com	/images/loading.gif	http://www.edakkalathur.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2364	200	OK	-	-	-	(empty)	-	-	-	-	-	FqtASc2SCmLUQXoi7d	image/gif
1337921436.559512	Cu3DPU2dM4WuCs1MIj	192.168.83.10	1041	67.212.67.193	80	2	GET	www.edakkalathur.com	/images/close.gif	http://www.edakkalathur.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	109	200	OK	-	-	-	(empty)	-	-	-	-	-	FbXNI71F9rc6e048h7	image/gif
1337921438.809542	C5dK7a8pAxQySzz4i	192.168.83.10	1042	188.72.248.216	80	1	GET	188.72.248.216	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58622	200	OK	-	-	-	(empty)	-	-	-	-	-	Fv9QEY18omjuPHQoe4	application/zip
1337921440.723937	C5dK7a8pAxQySzz4i	192.168.83.10	1042	188.72.248.216	80	2	GET	188.72.248.216	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58622	200	OK	-	-	-	(empty)	-	-	-	-	-	FMJRoF44SGk5J0tdw8	application/zip
1337921441.85572	C5dK7a8pAxQySzz4i	192.168.83.10	1042	188.72.248.216	80	3	GET	188.72.248.216	/24842.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	58622	200	OK	-	-	-	(empty)	-	-	-	-	-	F44Nsj17xNM1nNEMS2	application/zip
1337921441.728324	Cw82Kl446tBl5JRNZc	192.168.83.10	1039	188.72.248.216	80	3	GET	188.72.248.216	/2.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23552	200	OK	-	-	-	(empty)	-	-	-	-	-	FMS1P61kKJKA567Kq5	application/x-dosexec
1337921442.749192	C5dK7a8pAxQySzz4i	192.168.83.10	1042	188.72.248.216	80	4	GET	188.72.248.216	/1.html	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	23552	200	OK	-	-	-	(empty)	-	-	-	-	-	FNOSGa4W72pk10Wbig	application/x-dosexec
1337921453.001193	CexJua16VVUkDrPaW5	192.168.83.10	1043	178.162.167.31	80	1	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	45056	200	OK	-	-	-	(empty)	-	-	-	-	-	FRZK6sTxwwWSFzwz6	binary
1337921454.316451	CexJua16VVUkDrPaW5	192.168.83.10	1043	178.162.167.31	80	2	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	162816	200	OK	-	-	-	(empty)	-	-	-	-	-	FTjRCw3ARBojohgjEc	binary
1337921455.678114	CexJua16VVUkDrPaW5	192.168.83.10	1043	178.162.167.31	80	3	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	524288	200	OK	-	-	-	(empty)	-	-	-	-	-	FGYsfT3xvT1jo3HGNa	binary
1337921458.655207	CexJua16VVUkDrPaW5	192.168.83.10	1043	178.162.167.31	80	4	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	214016	200	OK	-	-	-	(empty)	-	-	-	-	-	F9Pk932O4pDZ3ZKPDa	binary
1337921459.808071	CexJua16VVUkDrPaW5	192.168.83.10	1043	178.162.167.31	80	5	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	79328	200	OK	-	-	-	(empty)	-	-	-	-	-	F57mul4FGSfXIXZt8	binary
1337921460.506236	CexJua16VVUkDrPaW5	192.168.83.10	1043	178.162.167.31	80	6	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	484930	200	OK	-	-	-	(empty)	-	-	-	-	-	FONeWz26K5I0PaAhc1	binary
1337921462.663068	CexJua16VVUkDrPaW5	192.168.83.10	1043	178.162.167.31	80	7	GET	178.162.167.31	/752912.html	-	User-Agent: Opera/10.60 Presto/2.2.30	0	162304	200	OK	-	-	-	(empty)	-	-	-	-	-	FOKE5v3UGdy42Gurl	binary
