#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-44-05
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331754382.802365	CuxURL1GN6ZTpuZSCg	192.168.105.10	1030	199.102.249.25	80	1	GET	business.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	301	MOVED PERMANENTLY	-	-	-	(empty)	-	-	-	-	-	-	-
1331754382.864296	ClFGVl2sF4Quc447V8	192.168.105.10	1031	68.142.118.145	80	1	GET	www.business.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	27474	200	OK	-	-	-	(empty)	-	-	-	-	-	Fzu57V3iHqA91EFNHe	text/html
1331754383.472675	Cn5QrT3d5d574VQyZh	192.168.105.10	1034	68.142.118.145	80	1	GET	www.business.com	/css/blueprint/screen.css?v=84	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11790	200	OK	-	-	-	(empty)	-	-	-	-	-	F9MwIq5WCt2gy51u4	text/plain
1331754383.472334	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	1	GET	www.business.com	/css/hp2.css?v=84	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7892	200	OK	-	-	-	(empty)	-	-	-	-	-	FHQ9W81RXjyulkU2Gh	text/plain
1331754383.476021	Cn5QrT3d5d574VQyZh	192.168.105.10	1034	68.142.118.145	80	2	GET	www.business.com	/css/blueprint/print.css?v=84	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1701	200	OK	-	-	-	(empty)	-	-	-	-	-	FHXSFw42bTX2jrB844	text/plain
1331754383.474293	C70xlE2XfAYCWQ7Mha	192.168.105.10	1035	74.125.65.95	80	1	GET	ajax.googleapis.com	/ajax/libs/jqueryui/1.8/themes/start/jquery-ui.css?v=84	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33307	200	OK	-	-	-	(empty)	-	-	-	-	-	FQGOTZ1vIo07CUbOqh	text/plain
1331754383.472502	Cv2Zr62W250FdGh1Qc	192.168.105.10	1033	74.125.65.95	80	1	GET	fonts.googleapis.com	/css?family=Open+Sans:400,600&v=84	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	533	200	OK	-	-	-	(empty)	-	-	-	-	-	F5ytIO1SN73O9KknRe	text/plain
1331754383.479109	CzPf1Ii1ySQ65YDr4	192.168.105.10	1032	68.142.118.145	80	2	GET	www.business.com	/css/business.css?v=84	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6338	200	OK	-	-	-	(empty)	-	-	-	-	-	FkANLCIWmFYaHkcT7	text/plain
1331754383.481904	Cn5QrT3d5d574VQyZh	192.168.105.10	1034	68.142.118.145	80	3	GET	www.business.com	/css/search_widget.css?v=84	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	594	200	OK	-	-	-	(empty)	-	-	-	-	-	FdAQdo3a4tR2zV7Nri	text/plain
1331754383.483527	Cn5QrT3d5d574VQyZh	192.168.105.10	1034	68.142.118.145	80	4	GET	www.business.com	/js/jquery-1.6.1.min.js	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	91342	200	OK	-	-	-	(empty)	-	-	-	-	-	FHenZLlLBtRE7Wfrd	text/html
1331754383.528999	CzjRq01Z3qCRXU0k53	192.168.105.10	1036	74.125.45.132	80	1	GET	themes.googleusercontent.com	/static/fonts/opensans/v6/cJZKeOuBrn4kERxqtaUH3fY6323mHUZFJMgTvxaG2iE.eot	http://www.business.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19216	200	OK	-	-	-	(empty)	-	-	-	-	-	F88Cms3au5hSzWBkCf	application/vnd.ms-fontobject
