#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-20-47
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1356897545.673239	C9hTwd4KDRhh5ZQw5e	192.168.82.10	1030	174.36.15.34	80	1	GET	i4u.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	227	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FiCcxf22RIxCLJyiEl	text/html
1356897567.551489	C07psh4u9qjWVM20ib	192.168.82.10	1036	93.184.216.229	80	1	GET	static2.i4u.com	/sites/all/themes/i4u/engine/css/overlay-minimal.css	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	673	200	OK	-	-	-	(empty)	-	-	-	-	-	FQFdQn3rvt2hzICDl4	text/plain
1356897567.551256	CycWZ24kzXURvmKUBl	192.168.82.10	1037	93.184.216.229	80	1	GET	static2.i4u.com	/sites/all/themes/i4u/engine/css/videolightbox.css	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	514	200	OK	-	-	-	(empty)	-	-	-	-	-	FiXLcGalXHFqfTrR7	text/plain
1356897567.570256	C07psh4u9qjWVM20ib	192.168.82.10	1036	93.184.216.229	80	2	GET	static2.i4u.com	/sites/all/themes/i4u/engine/js/jquery.tools.min.js	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	74693	200	OK	-	-	-	(empty)	-	-	-	-	-	Ffozsw4oeBNYbkgwHl	text/plain
1356897567.662911	CycWZ24kzXURvmKUBl	192.168.82.10	1037	93.184.216.229	80	2	GET	static2.i4u.com	/sites/all/themes/i4u/engine/js/swfobject.js	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	9759	200	OK	-	-	-	(empty)	-	-	-	-	-	FVy5HnRwMnkpkDnJc	text/plain
1356897545.725599	Cy1QsA4meylJsS9NTi	192.168.82.10	1031	93.184.216.229	80	1	GET	www.i4u.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	277638	200	OK	-	-	-	(empty)	-	-	-	-	-	Fhvh9q2CGgkXHmu1vg	text/html
1356897567.741099	C07psh4u9qjWVM20ib	192.168.82.10	1036	93.184.216.229	80	3	GET	static2.i4u.com	/sites/all/themes/i4u/engine/js/videolightbox.js	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3027	200	OK	-	-	-	(empty)	-	-	-	-	-	Fytytm3U8RS7AAcAW9	text/plain
1356897567.800911	CycWZ24kzXURvmKUBl	192.168.82.10	1037	93.184.216.229	80	3	GET	static2.i4u.com	/sites/all/themes/i4u/css/styles.css	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	40686	200	OK	-	-	-	(empty)	-	-	-	-	-	FwTJPC4JgJtM9InBd7	text/plain
1356897567.80125	C07psh4u9qjWVM20ib	192.168.82.10	1036	93.184.216.229	80	4	GET	static2.i4u.com	/sites/all/themes/i4u/css/ie.css	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1096	200	OK	-	-	-	(empty)	-	-	-	-	-	FQhrDy45Ny4UT4Jwfc	text/plain
1356897567.868596	C65gw13fPqNyG4bf0k	192.168.82.10	1039	74.125.228.8	80	1	GET	www.google-analytics.com	/ga.js	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	37362	200	OK	-	-	-	(empty)	-	-	-	-	-	F68r1b4jG9MfFFt5Zi	text/plain
1356897567.835643	CycWZ24kzXURvmKUBl	192.168.82.10	1037	93.184.216.229	80	4	GET	static2.i4u.com	/sites/all/themes/i4u/css/fonts/League_Gothic-webfont.eot	http://www.i4u.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	23614	200	OK	-	-	-	(empty)	-	-	-	-	-	Fb0jHh3L1SkVjAKt72	application/vnd.ms-fontobject
