#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-22-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1325214512.842304	CDUsKU18po4rEGQmS1	192.168.81.10	1030	78.108.81.160	80	1	GET	facturazemli.ru	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	291	302	Found	-	-	-	(empty)	-	-	-	-	-	FL4AD21Ozr9gII6fdg	text/html
1325214513.213611	CqQDBd4CEujckmxODb	192.168.81.10	1031	79.137.237.80	80	1	GET	float-spacer.ru	/access/index.php	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1276	200	OK	-	-	-	(empty)	-	-	-	-	-	FlufxK1hLYyR3nHZyf	text/html
1325214513.869636	CbCBU72DAp9fRO7Txl	192.168.81.10	1032	79.137.237.80	80	1	GET	line-display.ru	/main.php?page=b67137fa79c9e463	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	85192	200	OK	-	-	-	(empty)	-	-	-	-	-	Fcc4YZ1YZ3bkXWxaFb	text/html
1325214524.568341	CbCBU72DAp9fRO7Txl	192.168.81.10	1032	79.137.237.80	80	2	GET	line-display.ru	/w.php?f=25&e=2	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	330752	200	OK	-	-	-	(empty)	-	-	-	-	-	Fbalae2qUCDJGGjaM3	application/x-dosexec
1325214527.168973	CbCBU72DAp9fRO7Txl	192.168.81.10	1032	79.137.237.80	80	3	GET	line-display.ru	/content/fdp2.php?f=25	http://line-display.ru/main.php?page=b67137fa79c9e463	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	95924	200	OK	-	-	-	(empty)	-	-	-	-	-	FP4uey4FujeifTYeYl	application/pdf
1325214528.54013	CbCBU72DAp9fRO7Txl	192.168.81.10	1032	79.137.237.80	80	4	GET	line-display.ru	/content/field.swf	http://line-display.ru/main.php?page=b67137fa79c9e463	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1416	200	OK	-	-	-	(empty)	-	-	-	-	-	FHpty61u4LmT4MuPRi	application/x-shockwave-flash
1325214534.929448	CuRmPz4cIguVa1rg3d	192.168.81.10	1038	85.17.212.158	80	1	GET	xybobimaholos.com	/1004000112	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	F8zlLD3HlPx9jjrwxg	text/plain
1325214536.779566	COMLAj3rl4c1bbji85	192.168.81.10	1083	64.209.36.105	80	1	GET	fpdownload2.macromedia.com	/get/flashplayer/update/current/xml/version_en_win_ax.xml	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1568	200	OK	-	-	-	(empty)	-	-	-	-	-	FsUcdy3FAVBgojfd7a	text/html
1325214536.767958	CbCBU72DAp9fRO7Txl	192.168.81.10	1032	79.137.237.80	80	5	GET	line-display.ru	/content/score.swf	http://line-display.ru/content/field.swf	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6804	200	OK	-	-	-	(empty)	-	-	-	-	-	F2O9oH3OIi7nN7bpf4	application/x-shockwave-flash
1325214545.99998	CKG3EF31sQTany3xye	192.168.81.10	1084	79.137.237.80	80	1	GET	line-display.ru	/content/v1.jar	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3654	200	OK	-	-	-	(empty)	-	-	-	-	-	FsC08G2tRIDdYgg1uc	application/zip
#close	2014-04-03-10-22-33
