#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-03-40
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1314547884.537523	Cdq4sy2sDFS6EVArQ7	192.168.22.10	1030	95.168.165.223	80	1	GET	searchhero.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	252	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FVgyHl241i9pO7aIIl	text/html
1314547884.782977	CHJoKl41xxBCoBs8sb	192.168.22.10	1031	109.236.82.46	80	1	GET	a.daddies-dirty-daughter.com	/?site=23	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	7379	200	OK	-	-	-	(empty)	-	-	-	-	-	Fvl35B11mWQ5LvPq33	text/html
1314547886.634716	CzIfxv3uU7N1MSbHui	192.168.22.10	1038	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	FcPKamI69cqw1LArd	application/jar
1314547886.623604	CFwDO74TMbZbKon1Pb	192.168.22.10	1036	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12296	200	OK	-	-	-	(empty)	-	-	-	-	-	FRbaPb3FRqhYyt4RB8	application/x-java-applet
1314547886.63552	CFjIPM1b80sU9Ebwu	192.168.22.10	1039	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	12296	200	OK	-	-	-	(empty)	-	-	-	-	-	FkeVf91Z1cGQVM89dc	application/x-java-applet
1314547886.632182	CDpNP91beRfqR5v2O	192.168.22.10	1037	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	FRXxOQ1ccHCiFyE8x4	application/jar
1314547887.150654	CNnozh3WsqD9XNBqRi	192.168.22.10	1040	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	F6OHkY1b5KJlzhfNff	application/x-java-applet
1314547887.151483	ChNY202SOe2KgvvChg	192.168.22.10	1041	109.236.82.46	80	1	GET	1844204078	/saturn.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8529	200	OK	-	-	-	(empty)	-	-	-	-	-	FnYxwU2Csx7RPdNgd3	application/x-java-applet
1314547887.170866	CzOYTcpBLZe6fvqy8	192.168.22.10	1042	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	F3TMzzgBstfxEjnLk	application/jar
1314547887.279919	C5hceU3QF6IfBjmwef	192.168.22.10	1043	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	FlnfmP2IIYhKV0XsGf	application/jar
1314547887.57739	CPETZY3HxJnMymTuL8	192.168.22.10	1045	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	F3BmTK2M4nQrfm77A1	application/jar
1314547887.954313	CDp1dP3ernhhmG4MNf	192.168.22.10	1046	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/bingo.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	19716	200	OK	-	-	-	(empty)	-	-	-	-	-	FAacyYQ9oya4jzu4h	application/jar
1314547888.615819	CDjzTgVqw4V3cnoa9	192.168.22.10	1047	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/jsm_text.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	514	200	OK	-	-	-	(empty)	-	-	-	-	-	Fug3poklT2xTg1gLl	binary
1314547888.89346	CLNvx2q7olJtdw96i	192.168.22.10	1049	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/jsm.php	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	8534	200	OK	-	-	-	(empty)	-	-	-	-	-	F5XvrB11JTaEgeyWt3	application/jar
1314547888.602514	CbJ5224kG3GJ84Ppwf	192.168.22.10	1048	109.236.82.46	80	1	GET	a.bouquet-tube.com	/dl/dl.php?1	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	833536	200	OK	-	-	-	(empty)	-	-	-	-	-	FavBPq18Jafe4RK9m7	application/x-dosexec
1314547887.494535	CV55w8TqIsoTnJpz9	192.168.22.10	1044	109.236.82.46	80	1	GET	109.236.82.46	/dl/dl.php?4	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	833536	200	OK	-	-	-	(empty)	-	-	-	-	-	F6Ruf8kyrzzDCkUsk	application/x-dosexec
1314547895.177269	CNUCGP1V4j28WmEp61	192.168.22.10	1050	205.234.129.135	80	1	GET	yazminx.com	/scripts/ss.php?id=120	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	F2YQ7R1ZFQLFu4K4Wd	text/plain
1314547895.836879	CbXonp3SNcy3pFMY3j	192.168.22.10	1051	213.175.213.140	80	1	GET	sophiassecrets.com	/video/s.php?id=120	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2	200	OK	-	-	-	(empty)	-	-	-	-	-	FbYQ1a3raUXlbjmiVi	text/plain
#close	2014-04-03-11-03-41
