#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-16-12
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323454544.892168	C24aom3YOapOCvU0h	192.168.64.10	1030	95.168.165.224	80	1	GET	whitetreeinfo.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	237	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FSjXHo48ysSDVf0M8d	text/html
1323454545.042633	Cn1Ojj1SNqX5IjhBdb	192.168.64.10	1031	69.4.230.25	80	1	GET	backupfun2.in	/?site=18	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	0	302	Found	-	-	-	(empty)	-	-	-	-	-	-	-
1323454545.261271	C4H2x3E32n7txaGIb	192.168.64.10	1032	109.123.116.51	80	1	GET	googleads6.in	/redir.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	349	200	OK	-	-	-	(empty)	-	-	-	-	-	FBXSdZ1b1nqUrjtpt	text/html
1323454545.525713	Clcwsr37PZWMXjO7pa	192.168.64.10	1037	109.123.116.51	80	1	GET	googleads6.in	/in.cgi?default	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	184	302	Found	-	-	-	(empty)	-	-	-	-	-	Foj8Pa4POGkMmdMeK1	text/html
1323454545.665548	CCm7ay4cYHedafHYR3	192.168.64.10	1038	69.4.230.25	80	1	GET	backupfun2.in	/?site=8	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	457	200	OK	-	-	-	(empty)	-	-	-	-	-	FzbUXI3NZy6V8esgOj	text/html
1323454547.50824	C1dtF84QPoTAlmAQm3	192.168.64.10	1044	69.4.230.25	80	1	GET	backupfun2.in	/?162d75f9d10859328a5c1575ecf99742	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10395	200	OK	-	-	-	(empty)	-	-	-	-	-	FEKBPU1JeuzTB95jU5	application/jar
1323454547.514495	CQnFAf4jH94nqitXy8	192.168.64.10	1043	69.4.230.25	80	1	GET	backupfun2.in	/?c20d5d40d23478ccf798227259c8d1a0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9602	200	OK	-	-	-	(empty)	-	-	-	-	-	Fi0lYZ2NArZNWvimVg	application/jar
1323454547.667108	CuqpAs3aoSBDYY2ksa	192.168.64.10	1046	69.4.230.25	80	1	GET	backupfun2.in	/?c20d5d40d23478ccf798227259c8d1a0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9602	200	OK	-	-	-	(empty)	-	-	-	-	-	FEu92S1F2ulV5Sjpoi	application/jar
1323454547.701948	C29y633NE7gGOx1mg5	192.168.64.10	1045	69.4.230.25	80	1	GET	backupfun2.in	/?162d75f9d10859328a5c1575ecf99742	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10395	200	OK	-	-	-	(empty)	-	-	-	-	-	F0sqKc3OKlsFGyODV2	application/jar
1323454547.865125	Crtx8y4IGFukCQmUW9	192.168.64.10	1047	69.4.230.25	80	1	GET	backupfun2.in	/?c20d5d40d23478ccf798227259c8d1a0	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	9602	200	OK	-	-	-	(empty)	-	-	-	-	-	FGGyHyn3IkQ8j6v1	application/jar
1323454548.12014	CY4O8r4l1wRYMwVTK4	192.168.64.10	1048	69.4.230.25	80	1	GET	backupfun2.in	/?162d75f9d10859328a5c1575ecf99742	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	10395	200	OK	-	-	-	(empty)	-	-	-	-	-	FymAL14NLYkfWnXKN4	application/jar
