#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-11-11-50
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1333652396.951112	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	8	GET	www.livescore.in	/res/_in/image/header_logo.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	4249	200	OK	-	-	-	(empty)	-	-	-	-	-	FdkqKi4WwsNYdija81	image/gif
1333652397.069627	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	9	GET	www.livescore.in	/res/_in/image/left_head_green.jpg	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	624	200	OK	-	-	-	(empty)	-	-	-	-	-	FUSCN01NsjJDqxrXa4	image/jpeg
1333652396.935429	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	6	GET	www.livescore.in	/res/_in/image/header_soccer.jpg	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	33417	200	OK	-	-	-	(empty)	-	-	-	-	-	FHqRe3V4dyZ4vkrXj	image/jpeg
1333652397.211313	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	10	GET	www.livescore.in	/res/_in/image/left_menu_arrow.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	132	200	OK	-	-	-	(empty)	-	-	-	-	-	FxeAGB3MSK36YuwTl3	image/gif
1333652397.294638	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	7	GET	www.livescore.in	/res/image/flag-list.2.png	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15913	200	OK	-	-	-	(empty)	-	-	-	-	-	FzQY5rcVUTMPtPwI7	image/png
1333652397.325745	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	11	GET	www.livescore.in	/res/image/advert/icon-adverth.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1204	200	OK	-	-	-	(empty)	-	-	-	-	-	FO1avK2PNgIQTUJQ0l	image/gif
1333652397.412654	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	8	GET	www.livescore.in	/res/image/icon-facebook.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1458	200	OK	-	-	-	(empty)	-	-	-	-	-	FRbnFa1ikefJPsfQyl	image/gif
1333652397.440353	CppZc64IVwBeBFijNc	192.168.4.10	1031	188.92.41.197	80	12	GET	www.livescore.in	/res/image/icon-google-plus.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	1450	200	OK	-	-	-	(empty)	-	-	-	-	-	FInnmH3q0kMAP9WBSa	image/gif
1333652397.527073	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	9	GET	www.livescore.in	/res/_in/image/right_head_first.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3006	200	OK	-	-	-	(empty)	-	-	-	-	-	FS57xR3RqZLYtXVH73	image/gif
1333652397.644151	CblXAM3Vqu7ZhYaLIk	192.168.4.10	1032	188.92.41.197	80	10	GET	www.livescore.in	/res/_in/image/right_yellow.gif	http://www.livescore.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	102	200	OK	-	-	-	(empty)	-	-	-	-	-	F8RPRk2WSL6JvmjUBe	image/gif
