#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2014-04-03-10-37-09
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer
#types	time	string	addr	port	addr	port	string	string	bool	string
1334280545.717302	COoDOz8J3sAaGb9	192.168.37.10	1040	174.35.22.157	80	unescaped_special_URI_char	-	F	bro
1334280546.64498	-	-	-	-	-	unknown_protocol_2	-	F	bro
1334280582.329785	CUlbXWycxoSDGmkD7	192.168.37.10	1059	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280582.378154	Cl0O2y1D9dw3W1Aqri	192.168.37.10	1061	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280582.565219	CePBj04hlH2WrArUff	192.168.37.10	1063	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280582.629854	C3IGAB1IGmjDmvLAS7	192.168.37.10	1066	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280582.659256	C0svpTErqzLqs34d5	192.168.37.10	1068	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280582.78775	CTXfLu3VSyGEKuDBkf	192.168.37.10	1070	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280583.032782	Ciw62Z3VdAITU60Lmi	192.168.37.10	1072	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280583.096253	CR0Gub12f2mP3PbFA6	192.168.37.10	1074	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280583.752417	CC6msc3cLs9bGjNeP3	192.168.37.10	1077	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280583.846074	CvwVnB2TkFANUw6w6	192.168.37.10	1079	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280583.877413	CKVkhj1wi3jEQu1bu3	192.168.37.10	1081	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280584.221017	C1no0I3n1oxgLwGV4h	192.168.37.10	1084	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280584.581528	CuSs1g1Wk8tb6qGtf6	192.168.37.10	1086	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280585.440062	C5U8EEsEZIYVMFQ54	192.168.37.10	1088	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280597.309798	CTdVEP3NTEPfjxriZi	192.168.37.10	1232	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
1334280597.311211	CteajC1Wa0gGJ5Nrp4	192.168.37.10	1234	94.242.250.64	53	DNS_Conn_count_too_large	-	F	bro
#close	2014-04-03-10-37-10
