#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-20-11
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1322081125.61618	CLpGmL1tN0K37X54k6	192.168.83.10	1030	109.236.82.74	80	1	GET	redirportal6.info	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	235	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	F90gC83FQAwNFsYYC6	text/html
1322081125.827944	C7QcKA1DUg16RapWO6	192.168.83.10	1031	109.236.82.77	80	1	GET	aeroclub3.in	/?site=6	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	152	200	OK	-	-	-	(empty)	-	-	-	-	-	FYkJIXnLaICcIcYO3	text/html
1322081127.707252	C70GZs1Iij8YiyhKQ9	192.168.83.10	1032	109.236.82.77	80	1	GET	aeroclub3.in	/?7c7a70a3222d3b840b443e20be0aa096	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3978	200	OK	-	-	-	(empty)	-	-	-	-	-	F7bQpS2BHhqNueMf5b	application/jar
1322081127.984512	CYRNLX1azSY0qbsrFi	192.168.83.10	1037	109.236.82.77	80	1	GET	aeroclub3.in	/?7c7a70a3222d3b840b443e20be0aa096	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	3978	200	OK	-	-	-	(empty)	-	-	-	-	-	FWQklE3L8DiT7rc81g	application/jar
1322081131.754022	CuZu4x3bIiVK5aAcrj	192.168.83.10	1039	109.236.82.77	80	1	GET	aeroclub3.in	/com.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FYCAvN3OwC2ilcaOSd	text/html
1322081132.018736	CVC8wD4ltDcrIpluDj	192.168.83.10	1040	109.236.82.77	80	1	GET	aeroclub3.in	/edu.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FPd6gi3cz1y3Nx9K9e	text/html
1322081132.289761	Crhl1C45AYYenOEp2i	192.168.83.10	1041	109.236.82.77	80	1	GET	aeroclub3.in	/net.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FqK8382sj7IdkLt2l5	text/html
1322081132.552679	C1b56L3xa1hDCliMgi	192.168.83.10	1042	109.236.82.77	80	1	GET	aeroclub3.in	/org.class	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	208	404	Not Found	-	-	-	(empty)	-	-	-	-	-	FU08bj2K2lqEjncydi	text/html
1322081132.993165	CJZ1cJ3oTUp4G36p0k	192.168.83.10	1043	109.236.82.77	80	1	GET	aeroclub3.in	/?88a44c8b0a98c77d5e1edafe3dc479cd	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	232448	200	OK	-	-	-	(empty)	-	-	-	-	-	FVVMi034KPYwd7RXDl	application/x-dosexec
1322081128.360713	C2TuXC3U4YZNyVuocj	192.168.83.10	1038	109.236.82.77	80	1	GET	aeroclub3.in	/?7c7a70a3222d3b840b443e20be0aa096	-	Mozilla/4.0 (Windows XP 5.1) Java/1.6.0_10	0	0	-	-	-	-	-	(empty)	-	-	-	-	-	-	-
#close	2014-04-03-10-20-11
