#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-38-02
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1323467221.570831	Cv7jHK2xmttZGy7jci	192.168.85.10	1030	64.120.179.138	80	1	GET	aksheyaa.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	229	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FZXNeo2OPaW7RgGvid	text/html
1323467221.677773	CW1WHz2Nih7yCOtmA4	192.168.85.10	1031	67.218.96.180	80	1	GET	www.ace.ac.in	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	47126	200	OK	-	-	-	(empty)	-	-	-	-	-	FTVFYVuwuGytM09D3	text/html
1323467221.911354	CgJ0CW1nh1MsjlA92l	192.168.85.10	1032	67.218.96.180	80	1	GET	www.ace.ac.in	/style.css	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	14487	200	OK	-	-	-	(empty)	-	-	-	-	-	FsGJen4omrhGyyLlZ7	text/plain
1323467222.143293	CW1WHz2Nih7yCOtmA4	192.168.85.10	1031	67.218.96.180	80	2	GET	www.ace.ac.in	/current.js	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	6656	200	OK	-	-	-	(empty)	-	-	-	-	-	FUMNBQ1ttcNt6d9jFf	text/plain
1323467222.257942	CgJ0CW1nh1MsjlA92l	192.168.85.10	1032	67.218.96.180	80	2	GET	www.ace.ac.in	/lome.js	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11232	200	OK	-	-	-	(empty)	-	-	-	-	-	FMtqv7PXJLuBDJO9h	text/plain
1323467222.373613	CW1WHz2Nih7yCOtmA4	192.168.85.10	1031	67.218.96.180	80	3	GET	www.ace.ac.in	/stm31.js	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	46544	200	OK	-	-	-	(empty)	-	-	-	-	-	Fo1eMw1qDK3hUcE5J6	text/html
1323467222.585125	CgJ0CW1nh1MsjlA92l	192.168.85.10	1032	67.218.96.180	80	3	GET	www.ace.ac.in	/mm_menu.js	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	30988	200	OK	-	-	-	(empty)	-	-	-	-	-	F1lWio3aOWbqB1Uso5	text/plain
1323467222.821296	CCvjn73d8tcqWxPbG1	192.168.85.10	1033	74.125.65.101	80	1	GET	www.google-analytics.com	/ga.js	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	32614	200	OK	-	-	-	(empty)	-	-	-	-	-	FKXriH3t0ohnR6UlM8	text/plain
1323467222.818418	CW1WHz2Nih7yCOtmA4	192.168.85.10	1031	67.218.96.180	80	4	GET	www.ace.ac.in	/images/bgbodyyellow.jpg	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	341	200	OK	-	-	-	(empty)	-	-	-	-	-	FpjxjQ3LIHPQpBaJl9	image/jpeg
1323467222.818741	CgJ0CW1nh1MsjlA92l	192.168.85.10	1032	67.218.96.180	80	4	GET	www.ace.ac.in	/images/bglink.jpg	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	365	200	OK	-	-	-	(empty)	-	-	-	-	-	F6wY3k4tFa2zMZFBaj	image/jpeg
1323467222.952972	CW1WHz2Nih7yCOtmA4	192.168.85.10	1031	67.218.96.180	80	5	GET	www.ace.ac.in	/images/reee.jpg	http://www.ace.ac.in/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	531	200	OK	-	-	-	(empty)	-	-	-	-	-	FXB7kF4GunB145H1sl	image/jpeg
