#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-51-32
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1340872261.428882	CeXKGu3s2ROwY7J8gf	192.168.115.10	1030	46.4.57.189	80	1	GET	davidtmurton.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	425	301	Moved Permanently	-	-	-	(empty)	-	-	-	-	-	FC2Wgg4FbeJeUo04q1	text/html
1340872261.696555	CymYu03bdLpyDvSmQ2	192.168.115.10	1031	207.226.174.229	80	1	GET	www.ginotrack.com	/18010/download/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	2484	200	OK	-	-	-	(empty)	-	-	-	-	-	FzPFom21YWz65FxMak	text/html
1340872261.899049	CbIj1YMPpCDxS8Lwe	192.168.115.10	1032	207.226.174.229	80	1	GET	www.ginotrack.com	/css.css	http://www.ginotrack.com/18010/download/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	595	200	OK	-	-	-	(empty)	-	-	-	-	-	FZYemi3rgw83lVxJv	text/plain
1340872261.858473	CymYu03bdLpyDvSmQ2	192.168.115.10	1031	207.226.174.229	80	2	GET	www.ginotrack.com	/img/logo.png	http://www.ginotrack.com/18010/download/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11435	200	OK	-	-	-	(empty)	-	-	-	-	-	Fu19nj1tWUw9Zjpkkc	image/png
1340872262.040081	CymYu03bdLpyDvSmQ2	192.168.115.10	1031	207.226.174.229	80	3	GET	www.ginotrack.com	/img/bg2.jpg	http://www.ginotrack.com/18010/download/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	10217	200	OK	-	-	-	(empty)	-	-	-	-	-	F0ahXV2qHXqKUSWCbk	image/jpeg
1340872261.995935	CbIj1YMPpCDxS8Lwe	192.168.115.10	1032	207.226.174.229	80	2	GET	www.ginotrack.com	/img/txt.png	http://www.ginotrack.com/18010/download/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	15504	200	OK	-	-	-	(empty)	-	-	-	-	-	F8LaPcEKcaZVarey2	image/png
1340872262.311335	CbIj1YMPpCDxS8Lwe	192.168.115.10	1032	207.226.174.229	80	3	GET	www.ginotrack.com	/img/down.png	http://www.ginotrack.com/18010/download/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	12418	200	OK	-	-	-	(empty)	-	-	-	-	-	FWt3m82lgnyAc90VAj	image/png
1340872262.11958	CymYu03bdLpyDvSmQ2	192.168.115.10	1031	207.226.174.229	80	4	GET	www.ginotrack.com	/img/gbg.jpg	http://www.ginotrack.com/18010/download/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	244076	200	OK	-	-	-	(empty)	-	-	-	-	-	FwOnkh2F3MUltp7Nd8	image/jpeg
1340872262.77796	CbIj1YMPpCDxS8Lwe	192.168.115.10	1032	207.226.174.229	80	4	GET	www.ginotrack.com	/download/18010	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21744	200	OK	-	-	-	(empty)	-	-	-	-	-	FHJi7t1jlRxBQuonQ4	application/x-dosexec
#close	2014-04-03-10-51-32
