#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-04-03-10-41-56
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1331340576.996282	Ch0NYJgVz5rTM3mPa	192.168.64.10	1042	69.164.9.55	80	3	GET	blogs.miaminewtimes.com	/crossfade/MadonnaMiamiConcertSoldOutSmall.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3407	200	OK	-	-	-	(empty)	-	-	-	-	-	F4RoeRwFSPs78L5x1	image/jpeg
1331340577.017289	Ckndvw4W4qBDOR7784	192.168.64.10	1035	74.125.47.139	80	3	GET	www.google-analytics.com	/__utm.gif?utmwv=5.2.5&utms=2&utmn=682395931&utmhn=www.miaminewtimes.com&utmcs=iso-8859-1&utmsr=800x600&utmvp=784x463&utmsc=24-bit&utmul=en-us&utmje=1&utmfl=10.0 r32&utmdt=Miami News, Events, Restaurants, Music&utmhid=257168969&utmr=-&utmp=/&utmac=UA-28661610-7&utmcc=__utma=53740212.1973928072.1331354858.1331354858.1331354858.1;+__utmz=53740212.1331354858.1.1.utmcsr=(direct)|utmccn=(direct)|utmcmd=(none);&utmu=qRAgAAAAAAAAAAAAAAAAAAB~	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	35	200	OK	-	-	-	(empty)	-	-	-	-	-	FNuRxm44zIigxcbS56	image/gif
1331340576.996545	CMcI473ES8BzladOm9	192.168.64.10	1037	192.204.3.26	80	3	GET	imagec12.247realmedia.com	/RealMedia/ads/Creatives/TheVoice/all_VMG-GAPOutletClothing_030912_300_ROS_NatRem/vmgGAP300.jpg/1331309946	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	36810	200	OK	-	-	-	(empty)	-	-	-	-	-	FEnEzi4YJWE5OWTdDc	image/jpeg
1331340576.676762	CnDXMr3qRcOwkJxai3	192.168.64.10	1036	192.204.3.26	80	1	GET	imagec12.247realmedia.com	/RealMedia/ads/Creatives/TheVoice/mia_House-MNTBrewAtTheZoo_030912_HmTop/154608.0.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	19277	200	OK	-	-	-	(empty)	-	-	-	-	-	FETAmh1GguWMaZwbCl	image/jpeg
1331340576.85164	CgyB5r4qk1gjhUaZz4	192.168.64.10	1043	85.93.18.196	80	1	GET	statimps.com	/?campaignid=737567&type=tracking	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	11093	200	OK	-	-	-	(empty)	-	-	-	-	-	FK6QPF1FOAGLHX1OQk	text/plain
1331340576.996748	CcXPEO1eaZrbYJtO5e	192.168.64.10	1041	69.164.9.55	80	3	GET	blogs.miaminewtimes.com	/riptide/mascot200.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	21625	200	OK	-	-	-	(empty)	-	-	-	-	-	FN6WEr4M4gmJhU7gi4	image/jpeg
1331340577.012162	Ch0NYJgVz5rTM3mPa	192.168.64.10	1042	69.164.9.55	80	4	GET	blogs.miaminewtimes.com	/cultist/feature_juan_of_the_dead.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	24725	200	OK	-	-	-	(empty)	-	-	-	-	-	FwXveX17M8ebQ9S1t7	image/jpeg
1331340577.410186	CcXPEO1eaZrbYJtO5e	192.168.64.10	1041	69.164.9.55	80	4	GET	blogs.miaminewtimes.com	/crossfade/AmtracGrandCentralMiamiReviewSmall.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3837	200	OK	-	-	-	(empty)	-	-	-	-	-	FNsfIgCeEWuI9DZZ8	image/jpeg
1331340577.542779	Ce3kE81MK3C1jtEgol	192.168.64.10	1039	69.164.10.161	80	4	GET	media.miaminewtimes.com	/artopia-2012-at-villa-221.7696152.54.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3525	200	OK	-	-	-	(empty)	-	-	-	-	-	FPBHvH2wcUccPwTwd8	image/jpeg
1331340577.543208	CNhip92yyVyILqquyk	192.168.64.10	1040	69.164.10.161	80	5	GET	media.miaminewtimes.com	/dali-miami-at-moore-building.7694148.54.jpg	http://www.miaminewtimes.com/	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	3717	200	OK	-	-	-	(empty)	-	-	-	-	-	FqsNDZ2c83HOaC61ie	image/jpeg
